地域,Area,平成24年(2012)（棟）,平成29年(2017)（棟）
八王子市,Hachioji,148217,152198
立川市,Tachikawa,38081,39914
武蔵野市,Musashino,27228,27504
三鷹市,Mitaka,37995,39128
青梅市,Ome,46684,47791
府中市,Fuchu,52212,54125
昭島市,Akishima,26328,27427
調布市,Chofu,42581,44595
町田市,Machida,108159,114407
小金井市,Koganei,26508,27833
小平市,Kodaira,44504,47216
日野市,Hino,43147,45320
東村山市,Higashimurayama,37381,38602
国分寺市,Kokubunji,28661,30061
国立市,Kunitachi,16016,16694
福生市,Fussa,14996,15296
狛江市,Komae,16686,17556
東大和市,Higashiyamato,20039,21024
清瀬市,Kiyose,16476,17776
東久留米市,Higashikurume,27923,29708
武蔵村山市,Musashimurayama,22774,24330
多摩市,Tama,20554,21460
稲城市,Inagi,15764,16720
羽村市,Hamura,16053,16475
あきる野市,Akiruno,36255,37107
西東京市,Nishitokyo,42240,44229
瑞穂町,Mizuho,14890,15454
日の出町,Hinode,9200,9293
