地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
八王子市,Hachioji,17.6,11,63.8,7,0.6
立川市,Tachikawa,16.4,13.4,62.6,6.3,1.4
武蔵野市,Musashino,17.2,10.6,70.1,1.9,0.2
三鷹市,Mitaka,20.2,8.1,67.5,4,0.3
青梅市,Ome,16.5,9.7,62.8,10.1,0.9
府中市,Fuchu,18,13.3,58.1,10.3,0.4
昭島市,Akishima,14.5,14.9,57.5,12.9,0.2
調布市,Chofu,16.1,11.7,67.9,3.9,0.4
町田市,Machida,13.4,9.3,73.2,3.6,0.5
小金井市,Koganei,20.9,7,70.3,1.5,0.3
小平市,Kodaira,18.8,8.8,65.4,6.9,0.2
日野市,Hino,13.3,6.8,70.9,8.8,0.2
東村山市,Higashimurayama,17.4,8.9,68.1,4.9,0.7
国分寺市,Kokubunji,15,7.8,75.1,1.5,0.7
国立市,Kunitachi,24,9,61.7,5,0.3
福生市,Fussa,12.2,12.5,69.1,5.6,0.6
狛江市,Komae,11,6.9,79.4,2.3,0.4
東大和市,Higashiyamato,11.7,12.4,69.4,5.3,1.2
清瀬市,Kiyose,26,6.1,63,2.4,2.5
東久留米市,Higashikurume,12.8,11.1,68.5,5.3,2.3
武蔵村山市,Musashimurayama,11.9,12.5,63.4,11.8,0.5
多摩市,Tama,20.6,11.8,64.6,2.7,0.3
稲城市,Inagi,15.6,11.9,65,6.7,0.8
羽村市,Hamura,10.5,10.2,51.8,26.4,1.1
あきる野市,Akiruno,12.4,10.4,67.2,8.2,1.7
西東京市,Nishitokyo,13,9,74.8,2.9,0.3
瑞穂町,Mizuho,8.4,12.1,45,29.7,4.8
日の出町,Hinode,23,9.1,48.4,14.8,4.7
