総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/加工食品,工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/プラスチック製品,工業製品/石油・石炭製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/一般機器,工業製品/電気機器,工業製品/輸送用機器,工業製品/精密機器,工業製品/その他工業製品,農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）/輸出物価指数,（参考）/輸入物価指数,（参考）/国内・輸出・輸入の平均指数
品目数,,,910,,,862,109,47,18,37,145,20,12,43,50,32,43,84,108,13,27,74,29,6,8,5,222,275,1407
ウエイト,,,1000,-,-,919.4,117.4,19.8,12.7,30.3,78.3,38.4,36.6,30.9,36.8,20.3,39.6,103.3,161.4,99.2,11.3,83.1,25.5,6.3,46.6,2.2,1000,1000,1000
平成13年平均,2001,,97.7,-2.3,-,97.7,99.1,98.4,98.8,99.4,99.4,98.5,105.3,99.1,97.5,100.2,99,98.6,90.7,97.7,99,99.6,98.7,97.6,99.7,85,103.1,102.5,99.1
平成14年平均,2002,,95.7,-2,-,95.6,98.5,97.6,97.3,97.3,97,96.1,110.6,97.4,97.5,100.8,98.23,97.1,83.6,95.9,98,98.8,96.7,95.8,96.6,104.5,101.9,101,97.2
平成15年平均,2003,,94.9,-0.7,-,94.8,98.4,97.5,97.6,99.4,98.3,95.4,116.5,96.8,102.8,101.1,98.6,95.8,78,94.1,96.9,98.2,98.2,94.6,94.2,136.8,97.8,100.1,96
平成16年平均,2004,,96.1,1.3,-,95.9,98.8,97.5,99,100.8,101.5,96.6,127.3,97.3,117,114.2,101.4,95.3,74.5,93.1,95.8,98.1,102.6,95,93.6,178.5,96.4,104.3,97.1
平成13年度平均,2001,,97.1,-2.4,-,97,99,98.1,98.1,98.5,98.6,98.1,105.2,98.8,96.6,100.1,98.7,98.2,88.6,97.2,98.7,99.4,97.8,97,100,85.2,103.5,102,98.6
平成14年度平均,2002,,95.5,-1.6,-,95.4,98.4,97.5,97.3,97.8,97.3,95.6,114.7,97,98.6,100.6,98.2,96.9,82.1,95.4,97.8,98.6,96.7,95.5,95,115.4,100.3,101.2,96.8
平成15年度平均,2003,,95,-0.5,-,94.7,98.6,97.5,97.8,99.9,98.4,95.4,115.8,96.9,104.9,103.5,98.8,95.5,77,93.8,96.6,98.1,101,94.4,94.3,148.6,96.8,99.4,95.7
平成16年度平均,2004,,96.4,1.5,-,96.3,98.8,97.6,99,100.7,103.1,97.7,131.8,97.5,121.1,116.5,102.4,95.2,73.6,92.8,95.3,97.9,101.1,95.2,93.2,175.6,96.6,106,97.5
平成16年11月,2004,11,96.8,0.1,2,96.8,98.8,98.2,99,99.9,105.3,98.4,139.2,97.8,124.2,117.4,102.6,95.3,73.1,92.4,95.3,97.4,99.1,95,92.1,182.7,96.1,106.1,97.7
平成16年12月,2004,12,96.7,-0.1,1.8,96.6,98.6,97.9,98.7,99.9,105.5,99.2,136,97.8,124.4,117.2,102.6,95.1,72.8,92.5,95.3,97.4,102.4,95,92.2,174.5,95.5,104.5,97.4
平成17年１月,2005,1,96.4,-0.3,1.3,96.4,98.8,96.6,98.5,99.9,105.2,99.4,132.5,98,125.2,117.8,102.9,95,72.5,92.4,94.8,97.2,98.9,95,91.3,166.5,94.9,103.7,97
平成17年２月,2005,2,96.5,0.2,1.3,96.5,98.7,97.3,98.3,99.9,105.4,99.5,133.1,98.2,125.5,119,103.2,95,72.4,92.4,94.7,97.1,102.2,95,91.4,168,96.3,106.6,97.6
平成17年３月,2005,3,96.8,0.3,1.4,96.7,98.6,98,98.3,100,105.8,100.2,137.2,98.3,126.2,121,103.1,95,72.2,92.4,94.5,97.1,101.4,95,91.4,182.6,96.9,108.5,98.1
平成17年４月,2005,4,97.5,0.6,1.8,97.6,98.9,98.4,98,100,107.3,100.5,149.3,98.5,130.2,122.8,104.2,95.2,71.8,92.3,94.5,97.4,99.5,95.1,90,182.5,97.9,116.4,99.7
平成17年５月,2005,5,97.4,-0.1,1.8,97.6,98.7,98.4,98,99.8,106.7,100.5,151.6,98.6,130.7,120.8,104.6,95,71.6,92.2,94.7,97.5,100.4,95.1,90,167.8,96.6,115.8,99.4
平成17年６月,2005,6,97.3,-0.1,1.4,97.5,98.7,98,98,99.7,106.2,101.2,149.1,98.6,131.4,123.9,104.7,95.2,71.4,91.9,94.6,97.5,99.6,95.1,90,161.2,97.1,115.8,99.4
平成17年７月,2005,7,97.9,0.6,1.5,97.9,98.6,97,97.8,99.8,107,101.4,156.6,98.7,131.2,126.6,104.8,95.1,71.4,92.1,94.5,97.6,100.7,95.1,93.9,160,98.8,120.7,100.6
平成17年８月,2005,8,98.1,0.2,1.7,98.1,98.7,97.7,97.9,99.6,107.2,101.6,160.9,98.6,131.4,128.6,104.8,95.1,71.1,92.1,94.5,97.7,99.4,95.1,94,181.7,98.4,120.8,100.8
平成17年９月,2005,9,98.3,0.2,1.7,98.3,98.8,98.8,97.8,99.6,107.2,101.6,164,99,131.3,129.6,104.6,95.1,70.9,92.1,94.5,97.7,100.7,95.1,94,186.4,98.5,123,101.1
平成17年10月,2005,10,98.6,0.2,1.9,98.8,98.6,99.3,97.7,99.3,109.4,102.7,168.4,99.1,131.8,133.9,104.7,95.2,70.7,92.3,94.7,97.6,97.8,95.2,91.3,188,100.4,127.2,102.1
平成17年11月,2005,11,98.6,0,-1.9,98.8,98.6,99.2,97.8,99.1,109.6,102.7,167.2,99.2,131.6,138.8,104.6,95.1,70.6,92.4,94.8,97.5,97,95.2,91.5,195.4,102,129.3,102.6
