総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269,,,,,,,,
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643,,,,,,,,
平成16年平均,2004,,96.8,98.4,88.4,82.1,96.2,96.3,96.6,91.9,99.3,100.7,101.7,100,102.5,99.2,94.4,99.8,,,,,,,,
平成17年平均,2005,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,
平成18年平均,2006,,104.3,102.2,113.7,120.7,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.5,100.6,,,,,,,,
平成19年平均,2007,,107.4,104,122.4,132.3,109.7,110.4,106.7,114.9,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4,,,,,,,,
平成16年度平均,2006,,97.4,98.8,90.3,84.1,97.2,97.3,97.8,93.2,99.4,100.4,101.2,99.9,101.8,99.1,95.4,100,,,,,,,,
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100,,,,,,,,
平成18年度平均,2006,,104.9,102.5,115.5,122.2,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.6,100.9,,,,,,,,
平成19年度平均,2007,,108.6,104.9,125,139.5,110.9,111.1,107.2,119.3,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4,,,,,,,,
平成19年４月,2007,4,106.5,103.5,119.5,126,109,110.3,106.9,109.8,102.8,99.4,99.1,99.5,94.6,101.7,111.3,101.6,,,,,,,,
平成19年５月,2007,5,107.5,103.8,123.7,132.1,109.9,111,107.1,112.6,103.1,99.7,99.1,100.1,94.5,102.5,112.8,101.7,,,,,,,,
平成19年６月,2007,6,108,103.9,125.7,134.4,110.3,111.4,107.1,113.8,103.1,99.9,99.1,100.3,94.2,102.9,113.5,101.7,,,,,,,,
平成19年７月,2007,7,108.5,104.6,125.4,135.3,111,111.7,107.1,118.1,103.5,100,99.3,100.3,94.2,103,114.2,101.8,,,,,,,,
平成19年８月,2007,8,108,104.6,122.7,134.8,110.4,110.7,107,118.6,103.5,99.6,98.7,100,93.8,102.7,113.6,101.4,,,,,,,,
平成19年９月,2007,9,107.7,104.5,121.5,133.4,110.1,110.5,106.7,117.5,103.9,99.5,98.6,99.9,93.7,102.6,113.2,101.2,,,,,,,,
平成19年10月,2007,10,108.7,104.8,125.5,139.7,110.9,111.3,107,118.2,104.6,99.8,98.7,100.3,93.1,103.4,114.7,101.4,,,,,,,,
平成19年11月,2007,11,108.7,105,124.7,140.7,110.9,110.8,106.7,121.4,104.7,99.7,98.2,100.4,93,103.6,114.9,100.9,,,,,,,,
平成19年12月,2007,12,109.9,105.4,129.8,150.7,111.4,111,106.6,124.5,104.8,100.1,98.2,101,92.7,104.6,116.6,100.9,,,,,,,,
平成20年１月,2008,1,109.6,105.6,126.8,146.6,111.7,111.1,106.8,125.8,105.7,99.7,98.1,100.4,92.2,104,116.3,100.9,,,,,,,,
平成20年２月,2008,2,110.4,106.1,128.8,150.9,112.4,111.8,108,125.5,105.9,99.9,98.1,100.8,92.3,104.5,117.4,101.3,,,,,,,,
平成20年３月,2008,3,110.1,106.7,125.3,148.8,112.4,111.6,109.2,126,105.7,99.7,97.9,100.6,91.8,104.5,117.2,101.5,,,,,,,,
平成20年４月,2008,4,111.7,107.3,130.7,159.7,114.2,113.4,112.3,127.1,106.6,99.2,98.1,99.7,91.7,103.2,120.2,102.6,,,,,,,,
対前月比(%),,,1.5,0.6,4.3,7.3,1.6,1.6,2.8,0.9,0.9,-0.5,0.2,-0.9,-0.1,-1.2,2.6,1.1,,,,,,,,
対前年同月比(%),,,4.9,3.7,9.4,26.7,4.8,2.8,5.1,15.8,3.7,-0.2,-1,0.2,-3.1,1.5,8,1,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成20年5月,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,
