階層,類・品目符号,含類総連番,品目,ウエイト(生鮮食品),ウエイト,2009年7月,2010年2月,2010年3月,2010年4月,2010年5月,2010年6月,2010年7月,2010年7月変化率（％）／前月比,2010年7月変化率（％）／前年同月比
0,1,1,総合,,10000,99.7,98.6,99,99.2,99.1,99.1,98.5,-0.6,-1.2
1,2,2,食料,,2460,101.9,101.2,101.4,102.7,102,102.6,100.9,-1.7,-1
3,3,3,食料／穀類,,196,102.7,100.1,100.3,100.6,99.8,100.2,99.5,-0.7,-3.1
5,4,4,食料／穀類／米類,,75,92.6,90.2,89.9,90.2,90.2,90.3,88.8,-1.7,-4.1
6,1000,5,食料／穀類／米類／うるち米,,72,92.5,90.1,89.8,89.9,90,90.1,88.7,-1.6,-4.1
7,1001,6,食料／穀類／米類／うるち米／国産米Ａ,,23,91.3,90,89.3,89.9,89.4,89.4,87.9,-1.7,-3.7
7,1002,7,食料／穀類／米類／うるち米／国産米Ｂ,,33,94.9,91.7,91.5,91.2,92,91.9,90.2,-1.8,-5
7,1003,8,食料／穀類／米類／うるち米／ブレンド米,,16,89.4,86.9,86.9,87.2,86.9,87.4,86.6,-0.9,-3.1
6,1011,9,食料／穀類／米類／もち米,,3,95.6,93.8,92.8,95.9,94,95.8,93.1,-2.8,-2.6
5,5,10,食料／穀類／パン,,73,111.3,108.8,109,109.7,107,108,107.6,-0.4,-3.3
6,1021,11,食料／穀類／パン／食パン,,37,108.8,104.1,104.5,105.6,101.8,103.6,103.1,-0.5,-5.2
6,1022,12,食料／穀類／パン／あんパン,,14,113.1,114.8,113.2,114,113.8,113.3,113.3,0,0.2
6,1023,13,食料／穀類／パン／カレーパン,,21,114.4,113,113.9,113.9,111.5,112.3,111.8,-0.4,-2.3
5,6,14,食料／穀類／めん類,,37,105.2,103.6,103.2,103.3,104.3,103.6,104.3,0.7,-0.9
6,1031,15,食料／穀類／めん類／ゆでうどん,,8,107.8,105.3,107.8,108.6,111.5,110.1,111.4,1.2,3.3
6,1041,16,食料／穀類／めん類／干しうどん,,5,108.7,101.8,101.9,100.2,99.8,98.6,98.8,0.2,-9.1
6,1042,17,食料／穀類／めん類／スパゲッティ,,3,122,115.6,112.3,110.9,110.2,114.3,112.6,-1.5,-7.7
6,1051,18,食料／穀類／めん類／即席めん,,11,102.6,104.3,104,103.9,104.3,105.1,104.7,-0.4,2
6,1052,19,食料／穀類／めん類／生中華めん,,10,99.4,98.8,96.9,98,99.4,96.2,98.8,2.7,-0.6
5,7,21,食料／穀類／他の穀類,,12,105.3,98.2,102.8,101.7,102,103.4,101.7,-1.6,-3.4
6,1071,22,食料／穀類／他の穀類／小麦粉,,2,122.5,121.5,120.8,119.6,119,120.2,119,-1,-2.9
6,1081,23,食料／穀類／他の穀類／もち,,10,102,93.8,99.4,98.4,98.8,100.3,98.5,-1.8,-3.4
3,8,24,食料／魚介類,,215,101.6,98.2,100.5,100.8,101.5,100.9,99.9,-1,-1.7
5,9,25,食料／魚介類／生鮮魚介,,128,100.7,96.6,100.8,101.9,102.8,102,101,-1,0.3
6,1101,26,食料／魚介類／生鮮魚介／まぐろ,35,35,101.6,98.8,99.5,101.9,99.9,102.8,100.9,-1.8,-0.7
6,1102,27,食料／魚介類／生鮮魚介／あじ,6,6,106.2,96.9,124.3,114.5,108.2,100.6,100.4,-0.2,-5.5
6,1103,28,食料／魚介類／生鮮魚介／いわし,2,2,73,78.5,87.9,83.8,85.6,73.7,81.5,10.6,11.6
6,1104,29,食料／魚介類／生鮮魚介／かつお,14,7,112.3,0,138.3,125.4,127.7,117.7,100.4,-14.7,-10.6
6,1105,30,食料／魚介類／生鮮魚介／かれい,4,5,109.5,105.8,114.2,103.1,99.3,103.4,108.5,4.9,-0.9
6,1106,31,食料／魚介類／生鮮魚介／さけ,14,13,99,104,102.4,106.7,107.1,104.3,107.7,3.3,8.8
6,1107,32,食料／魚介類／生鮮魚介／さば,3,3,86.8,97.3,117.3,93.8,99.1,104.6,96.9,-7.4,11.6
