国/年月,西暦（年）,月,国/日本,国/アメリカ,国/カナダ,国/イギリス,国/ドイツ,国/フランス,国/イタリア,国/中国,国/韓国
前年比(%)/2011年平均,2011,,-0.3,3.2,2.9,4.5,2.1,2.1,2.8,5.4,4
前年比(%)/2012年平均,2012,,0,2.1,1.5,2.8,2,2,3,2.6,2.2
前年比(%)/2013年平均,2013,,0.4,1.5,0.9,2.6,1.5,0.9,1.2,2.6,1.3
前年比(%)/2014年平均,2014,,2.7,1.6,2,1.5,0.9,0.5,0.2,2,1.3
前年比(%)/2015年平均,2015,,0.8,0.1,1.1,0,0.3,0,0.1,1.4,0.7
前年比(%)/2016年平均,2016,,-0.1,1.3,1.4,0.7,0.5,0.2,-0.1,2,1
前年比(%)/2017年平均,2017,,0.5,2.1,-,2.7,1.8,1,1.2,1.6,1.9
前年同月比(%)/2016年7月,2016,7,-0.4,0.8,1.3,0.6,0.4,0.2,-0.1,1.8,0.4
前年同月比(%)/2016年8月,2016,8,-0.5,1.1,1.1,0.6,0.4,0.2,-0.1,1.3,0.5
前年同月比(%)/2016年9月,2016,9,-0.5,1.5,1.3,1,0.7,0.4,0.1,1.9,1.3
前年同月比(%)/2016年10月,2016,10,0.1,1.6,1.5,0.9,0.8,0.4,-0.2,2.1,1.5
前年同月比(%)/2016年11月,2016,11,0.5,1.7,1.2,1.2,0.8,0.5,0.1,2.3,1.5
前年同月比(%)/2016年12月,2016,12,0.3,2.1,1.5,1.6,1.7,0.6,0.5,2.1,1.3
前年同月比(%)/2017年1月,2017,1,0.4,2.5,2.1,1.8,1.9,1.3,1,2.5,2
前年同月比(%)/2017年2月,2017,2,0.3,2.7,2,2.3,2.2,1.2,1.6,0.8,1.9
前年同月比(%)/2017年3月,2017,3,0.2,2.4,1.6,2.3,1.6,1.1,1.4,0.9,2.2
前年同月比(%)/2017年4月,2017,4,0.4,2.2,1.6,2.7,2,1.2,1.9,1.2,1.9
前年同月比(%)/2017年5月,2017,5,0.4,1.9,1.3,2.9,1.5,0.8,1.4,1.5,2
前年同月比(%)/2017年6月,2017,6,0.4,1.6,1,2.6,1.6,0.7,1.2,1.5,1.9
前年同月比(%)/2017年7月,2017,7,0.4,1.7,1.2,2.6,1.7,0.7,1.1,1.4,2.2
前年同月比(%)/2017年8月,2017,8,0.7,1.9,1.4,2.9,1.8,0.9,1.2,1.8,2.6
前年同月比(%)/2017年9月,2017,9,0.7,2.2,1.6,3,1.8,1,1.1,1.6,2.1
前年同月比(%)/2017年10月,2017,10,0.2,2,1.4,3,1.6,1.1,1,1.9,1.8
前年同月比(%)/2017年11月,2017,11,0.6,2.2,2.1,3.1,1.8,1.2,0.9,1.7,1.3
前年同月比(%)/2017年12月,2017,12,1,2.1,-,3,1.7,1.2,0.9,1.8,1.5
,,,,,,,,,,,
東京の物価／平成30年1月,,,,,,,,,,,
参考表６　主要国の消費者物価指数変化率,,,,,,,,,,,
資料　総務省統計局,,,,,,,,,,,
