年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さ　やいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ又はつがる)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和元年６月,2019,6,449,102,82,197,317,113,84,660,283,172,369,327,125,...,280,168,740,189,716,316,159,664,1934,577,346,892,165,365,947,272,2425,821,1582,1703,2185,488,470,664,610,803,1695,778,456,673,...,...,648,...,415,530,...,...,2088,...,...,...,428,707,...,3496,259,977,...,192,221,327
令和元年７月,2019,7,449,101,82,194,326,118,96,660,284,152,362,314,128,...,271,154,917,188,741,299,158,620,1913,602,363,1130,159,379,961,244,2188,815,1550,1402,2173,530,570,698,612,918,1626,856,467,671,...,...,683,...,359,507,...,...,1600,2825,...,1137,391,636,...,2800,257,952,...,194,219,324
令和元年８月,2019,8,448,119,107,191,334,130,83,653,306,154,354,328,127,...,273,188,1232,221,758,405,156,631,1666,602,371,1076,171,374,938,246,1490,782,1555,1235,2032,531,510,665,608,896,1583,635,471,672,...,707,...,...,350,505,...,687,1294,1786,...,1004,385,678,...,...,257,996,...,193,227,326
令和元年９月,2019,9,436,111,97,190,333,122,149,644,289,162,349,312,128,...,264,177,1302,270,725,481,156,845,1741,584,334,889,175,360,912,244,1075,767,1570,1233,2673,508,635,665,801,946,1601,828,497,724,...,555,...,663,340,490,...,553,1327,1519,...,1070,...,...,...,...,259,956,...,194,226,324
令和元年10月,2019,10,449,118,93,192,331,121,140,646,290,182,356,325,132,430,270,154,992,207,710,433,157,740,1784,530,329,799,169,366,900,230,973,797,1617,...,2553,473,545,719,883,889,1663,1095,527,744,...,548,...,588,337,496,...,608,...,1558,545,...,...,...,...,...,255,961,...,197,229,330
令和元年11月,2019,11,447,107,97,...,320,126,109,643,295,181,351,333,126,384,261,161,1153,169,652,577,156,705,1626,544,321,764,177,349,849,235,947,788,1658,...,2506,455,667,800,843,871,1608,...,498,733,...,...,513,587,362,487,...,...,...,...,503,...,...,...,...,...,257,925,...,196,226,339
令和元年12月,2019,12,448,108,96,...,322,108,106,645,291,146,353,341,126,367,277,154,987,167,654,524,159,580,1759,539,322,730,151,356,873,237,995,782,1639,...,2428,485,752,891,770,908,1589,...,531,782,...,...,511,623,409,502,...,...,...,...,569,...,...,...,2275,...,252,968,...,201,234,352
令和２年１月,2020,1,437,116,88,...,398,117,99,642,294,154,357,334,126,369,276,152,927,157,664,506,157,539,2172,534,325,711,144,354,883,242,1082,777,1598,...,2398,491,838,859,672,1107,1647,...,554,789,517,...,551,665,443,533,...,...,...,...,...,...,...,...,2202,...,259,998,831,197,232,347
令和２年２月,2020,2,443,101,85,...,387,112,98,640,290,159,354,327,124,358,269,128,762,147,522,414,157,495,1962,493,323,694,126,352,862,241,1036,761,1606,...,2239,518,818,922,709,1326,1517,...,505,729,513,...,530,740,444,524,766,...,...,...,...,...,...,...,2013,...,252,1021,855,197,229,350
令和２年３月,2020,3,446,109,79,193,377,112,96,634,280,153,365,313,119,362,277,149,773,183,500,389,157,552,1807,491,324,697,141,395,852,237,1172,782,1573,...,2186,514,618,843,713,1206,1573,936,491,690,513,...,552,899,426,510,715,...,...,...,...,...,...,...,1786,...,251,1012,847,198,229,341
令和２年４月,2020,4,446,120,85,198,362,119,99,640,277,169,341,312,116,...,274,264,898,389,559,493,160,772,1899,524,342,682,192,456,889,240,1613,778,1534,...,2292,514,582,770,761,1147,1549,944,568,770,509,...,621,...,415,497,866,...,...,...,...,...,...,...,1756,...,265,1088,923,189,213,334
令和２年５月,2020,5,426,104,77,196,360,109,101,637,280,189,345,325,120,...,288,266,799,375,693,462,158,633,2067,531,375,745,199,450,866,232,1785,780,1530,...,2265,513,491,707,666,1111,1563,914,605,829,509,...,729,...,392,503,985,...,...,...,...,...,471,798,1699,...,271,1040,913,211,220,341
令和２年５月上旬,2020,5上,441,105,78,202,...,118,100,642,291,192,...,...,...,...,...,319,906,434,665,575,...,706,2188,...,...,...,216,...,...,235,1816,...,...,...,2316,513,537,762,716,1182,...,997,...,...,...,...,693,...,...,...,943,...,...,...,...,...,509,839,1721,...,...,...,...,235,218,348
令和２年５月中旬,2020,5中,409,113,73,186,360,106,102,652,283,184,345,325,120,...,288,250,753,367,689,429,158,592,2100,531,375,745,193,450,866,232,1772,780,1530,...,2259,506,479,711,672,1131,1563,901,605,829,509,...,743,...,392,503,1003,...,...,...,...,...,464,784,1712,...,271,1040,913,205,221,345
