年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
令和3年2月,2021,2,99.8,99.8,99.7,99.5,100.4,101.3,93.7,102.1,98.2,100,100,99.5,100.8,100.8
令和3年3月,2021,3,99.8,100,99.7,99.1,100.4,101.4,94.7,102.6,99.8,99.9,99.8,99.5,101.2,100.8
令和3年4月,2021,4,99.1,99.3,98.9,98.9,100.3,101.2,96.4,102.7,101.2,99.6,91.6,100.6,101.9,101.1
令和3年5月,2021,5,99.5,99.6,99.3,99.2,100.4,101.3,98.9,102.3,101,99.8,91.9,100.9,102.4,101
令和3年6月,2021,6,99.5,99.5,99.4,99.7,100.4,101.3,99.7,102,100.8,99.7,91.8,101,101.5,101
令和3年7月,2021,7,99.8,99.8,99.7,99.7,100.4,101.3,100.1,103.2,99.4,99.7,92.7,101,103,101.1
令和3年8月,2021,8,99.8,99.9,99.7,99.8,100.6,101.6,99.8,103.9,99,99.9,91.7,101,103.9,101
令和3年9月,2021,9,100.1,99.8,100.1,101.1,100.6,101.8,101.2,103.4,101.4,99.8,91.3,101,101.8,101.3
令和3年10月,2021,10,99.9,99.8,99.9,100.5,100.7,101.9,102.8,103,101,99.4,89.8,101,102.6,101.6
令和3年11月,2021,11,100,100,100,100.6,100.7,102,104.2,102.5,101.7,99.4,89.9,101,102.2,101.6
令和3年12月,2021,12,100.1,100,100,100.5,100.7,102.1,105.5,101.6,101.1,99.3,89.7,101,102.9,101.6
令和4年1月,2022,1,100.3,99.9,100.3,101.9,100.7,102,107,101.6,98.7,99.2,89.6,101,101.7,101.4
令和4年2月,2022,2,100.7,100.4,100.8,102.3,100.9,102.1,110.7,101.6,99.7,99.2,89.6,101,102.3,101.6
令和4年3月,2022,3,101.1,100.8,101.2,102.4,100.8,102,113.9,103,100.7,99,89.9,101,102.6,101.8
令和4年4月,2022,4,101.5,101.3,101.9,103,100.8,102.2,115.1,105.2,101.9,98.7,89.8,101.6,103.8,102.3
令和4年5月,2022,5,101.9,101.5,102.2,103.6,101.1,102.7,116.6,105.7,101.5,98.7,89.8,101.1,104.2,102.2
令和4年6月,2022,6,101.8,101.6,102.2,103.6,101.2,103,117.2,106.5,101.3,98.8,89.7,101.1,103,102.2
令和4年7月,2022,7,102.3,102.1,102.7,104.1,101.1,102.7,119.6,106.7,100.1,98.9,91.5,101.1,103.8,102.4
令和4年8月,2022,8,102.7,102.4,103.2,104.5,101.2,102.8,121.2,107.4,99.4,98.9,91.8,101.1,105.4,102.6
令和4年9月,2022,9,102.9,102.7,103.5,105.4,101.1,102.7,121.8,109.1,102.8,98.9,91.1,101.1,104,102.8
令和4年10月,2022,10,103.5,103.2,104.2,106.7,101.3,103.3,124.2,108.9,103.4,99.5,91.3,101.1,103.5,103
令和4年11月,2022,11,103.8,103.6,104.6,107.5,101.3,103.4,126.6,110.1,104.4,99.4,91.5,101.1,101.8,103.1
令和4年12月,2022,12,104,103.9,104.9,107.5,101.4,103.6,129.2,108.7,104.6,99.4,92,101.1,102.5,103.1
令和5年1月,2023,1,104.7,104.2,105.7,109.4,101.4,103.6,131.4,108.8,103.8,99.6,91.9,101.1,103.3,103.1
令和5年2月,2023,2,104.1,103.6,105,109.9,101.4,103.8,116.2,110.6,104,100,91.9,101.7,103.6,103.4
令和5年3月,2023,3,104.4,104,105.4,110.2,101.4,104,114.6,112.4,105,100.4,92.4,101.9,104.9,103.5
令和5年4月,2023,4,105.1,104.8,106.3,111.5,101.5,104.1,112.8,115.8,106.4,100.5,92.8,103,107.1,103.7
令和5年5月,2023,5,105.1,104.7,106.2,111.9,101.5,104.2,108.1,115.2,106.6,100.9,93,103.1,108.1,103.8
令和5年6月,2023,6,105.1,104.8,106.2,111.9,101.6,104.3,110.1,114.1,106.5,101.3,92.8,103.2,106.6,104.2
令和5年7月,2023,7,105.5,105.2,106.8,113,101.6,104.3,106.7,115,105.2,101.3,94.4,103.2,109.1,104
令和5年8月,2023,8,105.6,105.3,106.9,113,101.6,104.3,103,114.5,105,101.6,95.1,103.2,111.5,104.8
令和5年9月,2023,9,105.8,105.2,107.1,114.6,101.6,104.3,100.3,115.3,107.7,101.5,94.4,103.2,109.5,104.9
令和5年10月,2023,10,106.8,106,108.4,116,101.7,104.5,107.7,116.1,108,101.6,94.9,103.2,111.1,105
令和5年11月,2023,11,106.5,106,108,115,101.8,104.7,107.2,115,108.3,101.7,94.8,103.2,110.8,105.2
令和5年12月,2023,12,106.5,106.1,107.9,114.6,101.8,104.8,107,114.8,108.5,101.8,94.8,103.2,111.6,105.1
令和6年1月,2024,1,106.6,106,108,115.3,101.9,105,107.2,114.4,106.6,101.8,94.5,103.2,111.7,104.8
令和6年2月,2024,2,106.7,106.2,108.2,115.1,101.9,105,107.5,115.4,107.1,101.9,94.4,103.6,112.9,105.2
前月比(％)／令和5年2月,2023,2,-0.5,-0.5,-0.7,0.4,0,0.2,-11.6,1.6,0.2,0.4,-0.1,0.6,0.2,0.3
前月比(％)／令和5年3月,2023,3,0.3,0.4,0.4,0.3,0,0.2,-1.3,1.6,1,0.4,0.5,0.1,1.3,0
前月比(％)／令和5年4月,2023,4,0.7,0.7,0.9,1.2,0,0.1,-1.6,3.1,1.3,0.1,0.5,1.1,2.1,0.2
前月比(％)／令和5年5月,2023,5,0,0,0,0.3,0,0.1,-4.1,-0.6,0.2,0.4,0.2,0.1,1,0.1
前月比(％)／令和5年6月,2023,6,0,0.1,0,0,0.1,0.1,1.8,-0.9,-0.1,0.4,-0.3,0,-1.4,0.4
前月比(％)／令和5年7月,2023,7,0.4,0.4,0.5,1,0,0,-3.1,0.8,-1.2,0,1.7,0,2.3,-0.2
前月比(％)／令和5年8月,2023,8,0.1,0.2,0.1,0,0,0,-3.5,-0.4,-0.1,0.3,0.8,0,2.2,0.8
前月比(％)／令和5年9月,2023,9,0.1,-0.1,0.2,1.4,0,0.1,-2.6,0.7,2.6,-0.1,-0.7,0,-1.7,0.1
前月比(％)／令和5年10月,2023,10,1,0.7,1.2,1.2,0.1,0.2,7.4,0.6,0.3,0.1,0.5,0,1.4,0.1
前月比(％)／令和5年11月,2023,11,-0.3,0,-0.3,-0.8,0.1,0.2,-0.4,-0.9,0.3,0.1,-0.1,0,-0.3,0.1
前月比(％)／令和5年12月,2023,12,0,0.1,-0.1,-0.4,0,0.1,-0.3,-0.2,0.2,0.1,0,0,0.8,-0.1
前月比(％)／令和6年1月,2024,1,0.1,0,0.1,0.7,0.1,0.2,0.2,-0.3,-1.8,0,-0.3,0,0.1,-0.3
前月比(％)／令和6年2月,2024,2,0.1,0.2,0.2,-0.2,0,0,0.3,0.8,0.5,0,-0.1,0.4,1.1,0.4
前年同月比(％)／令和5年2月,2023,2,3.4,3.3,4.2,7.4,0.6,1.7,4.9,8.9,4.3,0.8,2.6,0.8,1.3,1.8
前年同月比(％)／令和5年3月,2023,3,3.3,3.2,4.1,7.6,0.7,1.9,0.6,9.1,4.3,1.4,2.7,0.9,2.3,1.6
前年同月比(％)／令和5年4月,2023,4,3.5,3.5,4.3,8.3,0.6,1.8,-2,10.1,4.5,1.8,3.4,1.4,3.1,1.4
前年同月比(％)／令和5年5月,2023,5,3.2,3.1,4,8,0.3,1.5,-7.3,9,5,2.2,3.6,2,3.8,1.5
前年同月比(％)／令和5年6月,2023,6,3.2,3.2,3.9,8,0.4,1.3,-6.1,7.1,5.2,2.5,3.4,2,3.5,1.9
前年同月比(％)／令和5年7月,2023,7,3.2,3,3.9,8.6,0.4,1.5,-10.8,7.8,5.1,2.4,3.1,2,5.1,1.6
前年同月比(％)／令和5年8月,2023,8,2.9,2.8,3.6,8.2,0.4,1.5,-15,6.6,5.7,2.8,3.6,2,5.8,2.1
前年同月比(％)／令和5年9月,2023,9,2.8,2.5,3.5,8.8,0.5,1.6,-17.6,5.7,4.8,2.6,3.7,2,5.4,2.1
前年同月比(％)／令和5年10月,2023,10,3.2,2.7,4,8.7,0.4,1.2,-13.3,6.6,4.4,2.2,4,2,7.3,2
前年同月比(％)／令和5年11月,2023,11,2.7,2.3,3.3,7,0.4,1.2,-15.3,4.4,3.7,2.3,3.7,2,8.8,2
前年同月比(％)／令和5年12月,2023,12,2.4,2.1,2.9,6.5,0.4,1.2,-17.2,5.6,3.8,2.4,3.1,2,8.9,1.9
前年同月比(％)／令和6年1月,2024,1,1.8,1.8,2.2,5.4,0.5,1.3,-18.4,5.2,2.7,2.2,2.8,2.1,8.1,1.6
前年同月比(％)／令和6年2月,2024,2,2.6,2.5,3.1,4.8,0.5,1.1,-7.4,4.3,3,1.9,2.7,1.8,9,1.7
,,,,,,,,,,,,,,,,
東京の物価／令和６年２月,,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,,
２０２０年＝１００  ／（令和２年＝１００）,,,,,,,,,,,,,,,,
