地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,産業分類階層,大分類,中分類,産業分類名称,総数（経営組織）／事業所数／総数（従業者規模）（事業所）,総数（経営組織）／事業所数／従業者規模1～4人（事業所）,総数（経営組織）／事業所数／従業者規模5～9人（事業所）,総数（経営組織）／事業所数／従業者規模10～19人（事業所）,総数（経営組織）／事業所数／従業者規模20～29人（事業所）,総数（経営組織）／事業所数／従業者規模30～49人（事業所）,総数（経営組織）／事業所数／従業者規模50～99人（事業所）,総数（経営組織）／事業所数／従業者規模100～199人（事業所）,総数（経営組織）／事業所数／従業者規模200～299人（事業所）,総数（経営組織）／事業所数／従業者規模300人以上（事業所）,総数（経営組織）／事業所数／出向・派遣従業者のみ（事業所）,総数（経営組織）／従業者数（人）,総数（経営組織）／従業者数／男（人）,総数（経営組織）／従業者数／女（人）,民営／事業所数／総数（従業者規模）（事業所）,民営／事業所数／従業者規模1～4人（事業所）,民営／事業所数／従業者規模5～9人（事業所）,民営／事業所数／従業者規模10～19人（事業所）,民営／事業所数／従業者規模20～29人（事業所）,民営／事業所数／従業者規模30～49人（事業所）,民営／事業所数／従業者規模50～99人（事業所）,民営／事業所数／従業者規模100～199人（事業所）,民営／事業所数／従業者規模200～299人（事業所）,民営／事業所数／従業者規模300人以上（事業所）,民営／事業所数／出向・派遣従業者のみ（事業所）,民営／従業者数（人）,民営／従業者数／男（人）,民営／従業者数／女（人）,国、地方公共団体／事業所数／総数（従業者規模）（事業所）,国、地方公共団体／事業所数／従業者規模1～4人（事業所）,国、地方公共団体／事業所数／従業者規模5～9人（事業所）,国、地方公共団体／事業所数／従業者規模10～19人（事業所）,国、地方公共団体／事業所数／従業者規模20～29人（事業所）,国、地方公共団体／事業所数／従業者規模30～49人（事業所）,国、地方公共団体／事業所数／従業者規模50～99人（事業所）,国、地方公共団体／事業所数／従業者規模100～199人（事業所）,国、地方公共団体／事業所数／従業者規模200～299人（事業所）,国、地方公共団体／事業所数／従業者規模300人以上（事業所）,国、地方公共団体／事業所数／出向・派遣従業者のみ（事業所）,国、地方公共団体／従業者数（人）,国、地方公共団体／従業者数／男（人）,国、地方公共団体／従業者数／女（人）
4,13305,1330500000,日の出町,,,日の出町,0,A-S,00,全産業,754,364,170,105,39,39,20,8,4,2,3,9674,5023,4651,729,352,165,105,32,39,20,7,4,2,3,9248,4812,4436,25,12,5,-,7,-,-,1,-,-,-,426,211,215
4,13305,1330500000,日の出町,,,日の出町,9,A-R,00,全産業（Ｓ公務を除く）,746,358,170,105,38,39,20,7,4,2,3,9459,4902,4557,729,352,165,105,32,39,20,7,4,2,3,9248,4812,4436,17,6,5,-,6,-,-,-,-,-,-,211,90,121
4,13305,1330500000,日の出町,,,日の出町,1,A-B,00,農林漁業,8,4,2,1,-,1,-,-,-,-,-,74,62,12,8,4,2,1,-,1,-,-,-,-,-,74,62,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,2,A,00,農業，林業,8,4,2,1,-,1,-,-,-,-,-,74,62,12,8,4,2,1,-,1,-,-,-,-,-,74,62,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,A,01,農業,5,3,2,-,-,-,-,-,-,-,-,20,14,6,5,3,2,-,-,-,-,-,-,-,-,20,14,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,A,02,林業,3,1,-,1,-,1,-,-,-,-,-,54,48,6,3,1,-,1,-,1,-,-,-,-,-,54,48,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,2,B,00,漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,B,03,漁業（水産養殖業を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,B,04,水産養殖業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,1,C-S,00,非農林漁業,746,360,168,104,39,38,20,8,4,2,3,9600,4961,4639,721,348,163,104,32,38,20,7,4,2,3,9174,4750,4424,25,12,5,-,7,-,-,1,-,-,-,426,211,215
4,13305,1330500000,日の出町,,,日の出町,9,C-R,00,非農林漁業（Ｓ公務を除く）,738,354,168,104,38,38,20,7,4,2,3,9385,4840,4545,721,348,163,104,32,38,20,7,4,2,3,9174,4750,4424,17,6,5,-,6,-,-,-,-,-,-,211,90,121
4,13305,1330500000,日の出町,,,日の出町,2,C,00,鉱業，採石業，砂利採取業,2,2,-,-,-,-,-,-,-,-,-,4,4,-,2,2,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,C,05,鉱業，採石業，砂利採取業,2,2,-,-,-,-,-,-,-,-,-,4,4,-,2,2,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,2,D,00,建設業,94,65,20,6,1,2,-,-,-,-,-,474,389,85,94,65,20,6,1,2,-,-,-,-,-,474,389,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,D,06,総合工事業,41,28,7,4,-,2,-,-,-,-,-,252,215,37,41,28,7,4,-,2,-,-,-,-,-,252,215,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,D,07,職別工事業（設備工事業を除く）,34,25,7,1,1,-,-,-,-,-,-,138,109,29,34,25,7,1,1,-,-,-,-,-,-,138,109,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,D,08,設備工事業,19,12,6,1,-,-,-,-,-,-,-,84,65,19,19,12,6,1,-,-,-,-,-,-,-,84,65,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,2,E,00,製造業,103,42,26,14,4,8,6,2,1,-,-,1768,1273,495,103,42,26,14,4,8,6,2,1,-,-,1768,1273,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,E,09,食料品製造業,4,1,1,-,-,-,2,-,-,-,-,169,89,80,4,1,1,-,-,-,2,-,-,-,-,169,89,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,E,10,飲料・たばこ・飼料製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13305,1330500000,日の出町,,,日の出町,3,E,11,繊維工業,2,-,1,1,-,-,-,-,-,-,-,16,5,11,2,-,1,1,-,-,-,-,-,-,-,16,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
