地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13214,1321400000,国分寺市,,,国分寺市,1,1000,民営,34623,18208,16412,1132,804,328,283,59,224,2388,1639,749,30820,15706,15111,28840,14837,14000,13765,8844,4918,15075,5993,9082,1980,869,1111,254,186,68,758,502,256,35127,18524,16600
4,13214,1321400000,国分寺市,,,国分寺市,2,1100,個人,3952,1595,2357,1132,804,328,283,59,224,-,-,-,2537,732,1805,2172,628,1544,824,249,575,1348,379,969,365,104,261,12,5,7,52,18,34,3992,1608,2384
4,13214,1321400000,国分寺市,,,国分寺市,3,1210,会社,24853,14104,10748,-,-,-,-,-,-,2188,1512,676,22665,12592,10072,21342,11973,9368,9880,6942,2937,11462,5031,6431,1323,619,704,239,180,59,661,470,191,25275,14394,10880
4,13214,1321400000,国分寺市,,,国分寺市,3,1220,会社以外の法人,5794,2499,3293,-,-,-,-,-,-,197,126,71,5597,2373,3222,5306,2227,3077,3057,1649,1406,2249,578,1671,291,146,145,3,1,2,44,13,31,5835,2511,3322
4,13214,1321400000,国分寺市,,,国分寺市,2,1300,法人でない団体,24,10,14,-,-,-,-,-,-,3,1,2,21,9,12,20,9,11,4,4,-,16,5,11,1,-,1,-,-,-,1,1,-,25,11,14
5,13214,1321400400,国分寺市,国分寺市泉町,,国分寺市泉町,1,1000,民営,2010,915,1095,47,36,11,8,3,5,123,69,54,1832,807,1025,1710,738,972,625,395,230,1085,343,742,122,69,53,2,2,-,5,2,3,2013,915,1098
5,13214,1321400400,国分寺市,国分寺市泉町,,国分寺市泉町,2,1100,個人,223,86,137,47,36,11,8,3,5,-,-,-,168,47,121,154,36,118,44,8,36,110,28,82,14,11,3,-,-,-,-,-,-,223,86,137
5,13214,1321400400,国分寺市,国分寺市泉町,,国分寺市泉町,3,1210,会社,1327,622,705,-,-,-,-,-,-,107,63,44,1220,559,661,1118,505,613,346,225,121,772,280,492,102,54,48,2,2,-,4,2,2,1329,622,707
5,13214,1321400400,国分寺市,国分寺市泉町,,国分寺市泉町,3,1220,会社以外の法人,460,207,253,-,-,-,-,-,-,16,6,10,444,201,243,438,197,241,235,162,73,203,35,168,6,4,2,-,-,-,1,-,1,461,207,254
5,13214,1321400400,国分寺市,国分寺市泉町,,国分寺市泉町,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321400401,国分寺市,国分寺市泉町,１丁目,国分寺市泉町１丁目,1,1000,民営,128,61,67,7,4,3,1,-,1,19,10,9,101,47,54,67,38,29,50,33,17,17,5,12,34,9,25,2,2,-,2,1,1,128,60,68
6,13214,1321400401,国分寺市,国分寺市泉町,１丁目,国分寺市泉町１丁目,2,1100,個人,11,6,5,7,4,3,1,-,1,-,-,-,3,2,1,2,1,1,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,11,6,5
6,13214,1321400401,国分寺市,国分寺市泉町,１丁目,国分寺市泉町１丁目,3,1210,会社,117,55,62,-,-,-,-,-,-,19,10,9,98,45,53,65,37,28,48,32,16,17,5,12,33,8,25,2,2,-,2,1,1,117,54,63
