地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,総数／従業者数（人）,開設時期／昭和59年以前／事業所数（事業所）,開設時期／昭和59年以前／従業者数（人）,開設時期／昭和60年～平成６年／事業所数（事業所）,開設時期／昭和60年～平成６年／従業者数（人）,開設時期／平成７年～平成16年／事業所数（事業所）,開設時期／平成７年～平成16年／従業者数（人）,開設時期／平成17年／事業所数（事業所）,開設時期／平成17年／従業者数（人）,開設時期／平成18年／事業所数（事業所）,開設時期／平成18年／従業者数（人）,開設時期／平成19年／事業所数（事業所）,開設時期／平成19年／従業者数（人）,開設時期／平成20年／事業所数（事業所）,開設時期／平成20年／従業者数（人）,開設時期／平成21年／事業所数（事業所）,開設時期／平成21年／従業者数（人）,開設時期／平成22年／事業所数（事業所）,開設時期／平成22年／従業者数（人）,開設時期／平成23年／事業所数（事業所）,開設時期／平成23年／従業者数（人）,開設時期／平成24年／事業所数（事業所）,開設時期／平成24年／従業者数（人）,開設時期／平成25年／事業所数（事業所）,開設時期／平成25年／従業者数（人）,開設時期／平成26年／事業所数（事業所）,開設時期／平成26年／従業者数（人）,開設時期／平成27年／事業所数（事業所）,開設時期／平成27年／従業者数（人）,開設時期／平成28年／事業所数（事業所）,開設時期／平成28年／従業者数（人）,開設時期／不詳／事業所数（事業所）,開設時期／不詳／従業者数（人）
0,1300000000,東京都,,,東京都,621671,9005511,182716,2421703,86699,977475,128689,2015434,16668,273758,17346,274978,16637,297821,15960,233067,16384,281317,18636,312943,20951,339256,20230,330459,19029,335955,18131,296285,14033,229540,6868,110646,22694,274874
1,1310000000,区部,,,区部,494337,7550364,148319,1980345,66453,784767,100318,1681868,13174,232690,13504,233365,12778,244752,12607,198410,12820,239508,15054,273200,17072,298693,16514,288946,15141,293455,14626,260311,11160,202391,5528,97828,19269,239835
2,1310100000,千代田区,,,千代田区,31065,942339,7125,242051,3120,60030,6967,230701,1101,32775,1087,27699,1097,32542,987,21073,1033,31458,1299,28369,1402,32389,1376,51760,1179,43660,948,42443,676,27945,340,14722,1328,22722
3,1310100100,千代田区,丸の内,,丸の内,2559,172189,287,46341,130,6585,644,37995,83,9973,84,3612,188,7036,81,1616,107,8923,150,3672,103,2835,213,15438,130,8039,92,10728,58,2479,25,1185,184,5732
4,1310100101,千代田区,丸の内,丸の内１丁目,丸の内１丁目,1285,94410,112,17172,83,4145,239,24502,28,1696,27,540,147,6422,52,995,49,5135,97,2819,51,1420,137,11696,62,4234,52,8337,28,1448,14,934,107,2915
4,1310100102,千代田区,丸の内,丸の内２丁目,丸の内２丁目,873,60643,86,22761,22,1952,286,9390,46,7613,50,2989,31,500,20,345,47,3519,38,702,35,509,36,3278,60,3589,30,2329,19,394,7,167,60,606
4,1310100103,千代田区,丸の内,丸の内３丁目,丸の内３丁目,401,17136,89,6408,25,488,119,4103,9,664,7,83,10,114,9,276,11,269,15,151,17,906,40,464,8,216,10,62,11,637,4,84,17,2211
3,1310100200,千代田区,大手町,,大手町,876,91278,119,19194,37,2318,190,28043,20,835,27,1772,14,308,18,1959,81,6896,39,2312,30,2187,104,4854,65,8924,46,4724,33,1642,17,4374,36,936
4,1310100201,千代田区,大手町,大手町１丁目,大手町１丁目,626,80667,85,17229,16,1449,112,24692,13,791,15,1006,11,77,12,1846,75,6426,26,1887,16,1548,91,4519,53,8454,36,4318,24,1508,14,4203,27,714
4,1310100202,千代田区,大手町,大手町２丁目,大手町２丁目,250,10611,34,1965,21,869,78,3351,7,44,12,766,3,231,6,113,6,470,13,425,14,639,13,335,12,470,10,406,9,134,3,171,9,222
3,1310100300,千代田区,内幸町,,内幸町,737,35854,169,10121,57,985,168,10242,28,290,17,1000,25,326,24,555,30,330,41,956,57,2474,44,6372,23,387,17,1359,7,63,9,70,21,324
