地域別階層コード,地域コード,地域,性別コード,性別,令和６年,令和５年,対前年増減率,総人口に占める割合
0,13000,東京都,0,男女計,10,10.4,-3.55,0.75
0,13000,東京都,1,男,5.1,5.3,-3.02,0.38
0,13000,東京都,2,女,4.9,5.1,-4.1,0.37
1,13100,区部,0,男女計,6.3,6.5,-2.66,0.48
1,13100,区部,1,男,3.2,3.3,-2.66,0.24
1,13100,区部,2,女,3.1,3.2,-2.67,0.24
1,13500,市町村部,0,男女計,3.7,3.9,-5.05,0.28
1,13500,市町村部,1,男,1.9,2,-3.64,0.14
1,13500,市町村部,2,女,1.8,1.9,-6.51,0.13
,,,,,,,,
令和６年の辰年生まれの人口(推計)、二十歳人口(推計),,,,,,,,
参考表１　東京都の18歳人口（推計：令和６年１月１日時点）,,,,,,,,
注１）住民基本台帳人口（日本人人口）を基に推計した人口です。ただし、令和５年は実績値です。,,,,,,,,
注２）数値は、千人未満を四捨五入しているため、内訳の計は必ずしも合計に一致しません。,,,,,,,,
注３）増減率、割合は表章単位未満を含んだ数値から算出しています。,,,,,,,,
地域階層（0:東京都　1:区部・市町村部）,,,,,,,,
性別コード（0:男女計　1:男　2:女）,,,,,,,,
