地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,タイ,インド,ブラジル,オーストラリア,フランス,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,354676,121667,103203,31713,18059,7644,5902,5625,4847,4015,4174,47827,354250,426
1,13100,区部,294016,102395,86707,24492,14932,6750,4765,5113,2825,3520,3915,38602,295148,-1132
4,13101,千代田区,2012,533,392,69,248,86,24,74,13,31,160,382,1854,158
4,13102,中央区,2958,1141,709,88,196,115,56,111,14,40,60,428,2650,308
4,13103,港区,17721,2077,2741,986,4172,1472,169,628,249,915,689,3623,17140,581
4,13104,新宿区,28243,9337,11265,779,730,443,570,165,142,218,880,3714,29226,-983
4,13105,文京区,6549,2312,2117,237,309,116,108,138,47,65,221,879,6536,13
4,13106,台東区,9838,3315,4369,813,122,61,153,357,39,34,36,539,9768,70
4,13107,墨田区,8076,3004,2130,1338,83,64,346,47,34,14,12,1004,7895,181
4,13108,江東区,14218,6082,4250,1514,202,87,304,315,137,98,39,1190,13525,693
4,13109,品川区,9991,3245,2297,842,630,299,130,420,99,139,120,1770,9974,17
4,13110,目黒区,7910,1540,1531,679,961,375,129,220,72,202,183,2018,8141,-231
4,13111,大田区,15881,5377,3958,2152,528,250,345,272,333,103,73,2490,15930,-49
4,13112,世田谷区,14745,3126,3961,1033,1659,590,188,374,166,337,319,2992,15405,-660
4,13113,渋谷区,10935,1928,1759,472,2177,1133,149,213,115,488,502,1999,11529,-594
4,13114,中野区,11038,4493,2991,475,402,263,177,282,64,135,93,1663,11368,-330
4,13115,杉並区,11062,4023,3067,567,688,304,147,153,103,173,101,1736,11396,-334
4,13116,豊島区,16506,9189,3131,575,357,232,219,103,93,101,143,2363,16780,-274
4,13117,北区,13617,7121,3178,1033,140,122,129,118,178,49,37,1512,13541,76
4,13118,荒川区,13014,3964,7314,563,97,59,118,64,40,33,24,738,12902,112
4,13119,板橋区,15330,7753,3485,1415,251,194,180,70,166,84,55,1677,15213,117
4,13120,練馬区,12261,4291,3753,1098,469,175,227,227,169,92,78,1682,12373,-112
4,13121,足立区,21224,5940,8989,3581,175,96,391,117,298,62,29,1546,21725,-501
4,13122,葛飾区,11457,4272,3994,1512,126,78,170,51,111,27,21,1095,11082,375
4,13123,江戸川区,19430,8332,5326,2671,210,136,336,594,143,80,40,1562,19195,235
1,13200,市部,59713,19181,16346,6915,3068,885,1109,507,1906,493,259,9044,58171,1542
4,13201,八王子市,7926,2828,1896,1106,222,87,87,55,240,50,29,1326,7484,442
4,13202,立川市,3309,1309,943,385,124,23,40,22,154,10,8,291,3187,122
4,13203,武蔵野市,2344,964,516,81,223,79,24,41,39,23,27,327,2478,-134
4,13204,三鷹市,2831,913,672,177,315,101,67,21,25,45,37,458,2905,-74
4,13205,青梅市,1355,248,273,323,55,13,52,10,125,4,0,252,1300,55
