地域階層,地域コード,地域,平成20年1月,平成20年2月,平成20年3月,平成20年4月,平成20年5月,平成20年6月,平成20年7月,平成20年8月,平成20年9月,平成20年10月,平成20年11月,平成20年12月,平成21年1月
0,130000,総数,390321,391683,390989,395169,401298,400497,401919,403504,403011,405060,408314,408249,408284
1,13100,区部,324294,325712,325268,328623,334009,333159,334354,335701,335554,337254,340120,340006,340130
1,13200,市部,65056,65000,64757,65581,66330,66377,66606,66842,66502,66828,67282,67331,67237
2,13300,郡部,739,739,734,740,734,739,738,742,738,760,695,692,696
2,13350,島部,232,232,230,225,225,222,221,219,217,218,217,220,221
1,13100,区部,324294,325712,325268,328623,334009,333159,334354,335701,335554,337254,340120,340006,340130
4,13101,千代田区,2632,2686,2699,2730,2715,2708,2725,2719,2711,2777,2756,2715,2710
4,13102,中央区,4225,4277,4341,4446,4529,4589,4621,4672,4747,4793,4891,4901,4877
4,13103,港区,21806,21915,21827,21931,22064,22092,22152,22096,22266,22300,22366,22450,22354
4,13104,新宿区,31856,31935,31859,32497,33777,32891,32926,33010,32840,33282,33582,33511,33555
4,13105,文京区,6933,6925,6899,7045,7162,6988,7026,7039,6957,7146,7236,7179,7179
4,13106,台東区,10891,11034,11002,11159,11371,11304,11371,11469,11514,11564,11835,11839,11817
4,13107,墨田区,8879,8878,8896,9005,9175,9132,9113,9101,9088,9074,9107,9131,9200
4,13108,江東区,18013,18145,18217,18288,18398,18498,18615,18705,18743,18819,18854,18679,18664
4,13109,品川区,11501,11541,11550,11683,11778,11765,11833,11859,11928,11771,11837,11869,11833
4,13110,目黒区,7895,7917,7898,7850,7932,7974,8041,8004,7946,7916,7991,8010,7979
4,13111,大田区,17431,17525,17510,17607,17779,17856,17865,17950,18068,17846,17965,18072,18231
4,13112,世田谷区,15094,15087,15061,15132,15495,15433,15539,15549,15576,15595,15752,15713,15704
4,13113,渋谷区,11347,11333,11334,11337,11345,11387,11438,11349,11247,11329,11280,11234,11148
4,13114,中野区,11040,11168,11081,11264,11662,11470,11449,11648,11401,11608,11822,11671,11656
4,13115,杉並区,11061,11058,11029,11074,11151,11137,11146,11165,11160,11350,11378,11402,11475
4,13116,豊島区,15913,15935,15974,16196,16734,16700,16725,16952,16963,16964,17130,17169,17163
4,13117,北区,14740,14835,14760,15021,15191,15179,15278,15252,15218,15299,15480,15487,15530
4,13118,荒川区,14522,14593,14764,14937,15256,15216,15300,15437,15428,15472,15702,15668,15709
4,13119,板橋区,16491,16711,16540,16695,17082,17123,17113,17192,17315,17526,17705,17718,17625
