地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,ベトナム,ネパール,米国,インド,タイ,ミャンマー,英国,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,455316,187852,93610,29875,23200,19434,16801,9702,7357,7227,5652,54606,421639,33677
1,13100,区部,384222,160941,79100,22481,19594,17208,13799,8997,5982,6936,4939,44245,354895,29327
4,13101,千代田区,2636,1163,410,58,53,54,176,77,43,7,70,525,2501,135
4,13102,中央区,5713,2462,1184,135,144,109,309,282,72,31,119,866,5287,426
4,13103,港区,18949,3960,3415,960,130,126,3293,602,164,41,780,5478,18708,241
4,13104,新宿区,38596,13722,10136,706,3319,3034,1005,246,707,1722,372,3627,36128,2468
4,13105,文京区,8378,3560,1777,217,498,300,310,81,198,208,98,1131,7786,592
4,13106,台東区,14048,6423,3339,683,681,549,219,655,300,100,78,1021,13287,761
4,13107,墨田区,10964,5359,2047,1268,356,278,126,80,366,69,69,946,9895,1069
4,13108,江東区,24664,12586,4518,1502,690,460,406,1689,341,301,129,2042,22965,1699
4,13109,品川区,11333,4288,2317,706,351,644,542,356,173,215,185,1556,10836,497
4,13110,目黒区,7821,1868,1544,480,128,266,815,179,152,52,335,2002,7383,438
4,13111,大田区,20612,8128,3714,2282,902,1694,573,235,421,201,184,2278,19482,1130
4,13112,世田谷区,17076,4961,4078,803,448,410,1377,391,229,90,664,3625,15838,1238
4,13113,渋谷区,9710,2170,1518,317,231,183,1334,153,164,52,650,2938,9226,484
4,13114,中野区,14170,5663,2879,436,1263,1046,447,82,208,268,165,1713,12513,1657
4,13115,杉並区,13159,4957,2638,452,890,1242,618,105,206,138,258,1655,11680,1479
4,13116,豊島区,24638,12369,2492,452,2601,2444,418,165,286,1486,143,1782,21996,2642
4,13117,北区,17960,9214,2668,790,1269,801,210,135,164,806,65,1838,16242,1718
4,13118,荒川区,16894,7145,5643,516,1213,769,127,91,161,378,55,796,16165,729
4,13119,板橋区,20457,11525,3138,1332,1078,688,332,118,271,235,130,1610,18129,2328
4,13120,練馬区,14904,6233,4032,956,445,453,499,132,259,81,159,1655,13795,1109
4,13121,足立区,26169,11148,7836,3413,763,330,230,121,413,86,89,1740,24185,1984
4,13122,葛飾区,17018,8838,3294,1496,672,540,157,76,230,171,49,1495,15265,1753
4,13123,江戸川区,28353,13199,4483,2521,1469,788,276,2946,454,198,93,1926,25603,2750
1,13200,市部,70066,26755,14342,7114,3509,2224,2941,702,1348,290,710,10131,65807,4259
4,13201,八王子市,10338,4273,1947,1162,463,387,270,96,171,47,58,1464,9480,858
4,13202,立川市,3601,1696,804,318,84,94,126,61,46,8,23,341,3344,257
4,13203,武蔵野市,2637,959,560,83,79,95,322,22,44,16,70,387,2516,121
4,13204,三鷹市,3086,1054,663,166,107,53,303,27,45,32,81,555,2918,168
4,13205,青梅市,1616,430,246,388,93,26,58,4,63,1,6,301,1478,138
4,13206,府中市,4424,1743,774,496,171,67,241,44,84,23,41,740,4237,187
4,13207,昭島市,2333,761,563,258,166,163,52,53,27,9,7,274,2236,97
4,13208,調布市,3771,1466,1019,285,124,57,134,48,86,29,51,472,3576,195
4,13209,町田市,5175,2037,1040,549,216,53,198,70,122,7,66,817,5006,169
4,13210,小金井市,2208,976,301,105,85,109,143,22,50,14,38,365,2026,182
4,13211,小平市,4148,1512,1378,246,166,64,101,25,74,11,28,543,3898,250
4,13212,日野市,2689,1140,494,235,252,89,60,4,50,26,26,313,2582,107
4,13213,東村山市,2378,909,558,246,104,92,46,10,47,13,16,337,2233,145
4,13214,国分寺市,1850,860,375,97,77,99,56,7,22,3,22,232,1746,104
4,13215,国立市,1421,567,338,72,52,74,59,15,23,1,14,206,1341,80
4,13218,福生市,3237,774,248,356,678,421,109,31,104,4,4,508,2814,423
4,13219,狛江市,1112,439,209,98,35,72,52,12,36,7,23,129,1023,89
4,13220,東大和市,1083,401,299,247,12,9,25,3,18,1,10,58,1064,19
4,13221,清瀬市,1102,430,170,175,41,44,35,7,23,2,2,173,1056,46
4,13222,東久留米市,1805,614,312,246,41,25,208,43,43,11,23,239,1742,63
4,13223,武蔵村山市,1364,496,173,311,130,3,32,3,28,0,1,187,1220,144
4,13224,多摩市,2148,900,486,220,79,61,62,26,29,8,18,259,2062,86
4,13225,稲城市,1109,418,276,164,25,9,29,13,24,0,12,139,1113,-4
4,13227,羽村市,1151,203,92,212,26,7,44,6,13,1,10,537,1155,-4
4,13228,あきる野市,696,150,141,110,76,2,50,8,21,0,5,133,664,32
4,13229,西東京市,3584,1547,876,269,127,49,126,42,55,16,55,422,3277,307
1,13550,町村部,1028,156,168,280,97,2,61,3,27,1,3,230,937,91
2,13300,郡部,770,142,87,214,87,2,46,3,20,1,1,167,690,80
4,13303,瑞穂町,633,102,66,186,81,1,26,3,18,1,0,149,571,62
4,13305,日の出町,97,34,12,20,2,1,15,0,1,0,0,12,78,19
4,13307,檜原村,11,0,6,2,0,0,3,0,0,0,0,0,12,-1
4,13308,奥多摩町,29,6,3,6,4,0,2,0,1,0,1,6,29,0
2,13350,島部,258,14,81,66,10,0,15,0,7,0,2,63,247,11
3,13360,大島支庁,89,8,10,5,3,0,4,0,5,0,1,53,75,14
3,13380,三宅支庁,46,0,19,19,7,0,1,0,0,0,0,0,50,-4
3,13400,八丈支庁,102,4,45,41,0,0,3,0,2,0,0,7,104,-2
3,13420,小笠原支庁,21,2,7,1,0,0,7,0,0,0,1,3,18,3
,,,,,,,,,,,,,,,,
外国人人口　平成28年4月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人人口 （平成28年4月１日現在）,,,,,,,,,,,,,,,,
注２）国籍は、平成２８年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注３）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
