地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,ベトナム,ネパール,米国,インド,タイ,ミャンマー,英国,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,477354,198168,94443,30531,26352,21530,17118,10211,7609,7993,5814,57585,440496,36858
1,13100,区部,402697,170063,79723,22895,22189,18969,13978,9458,6191,7665,5067,46499,371186,31511
4,13101,千代田区,2636,1209,418,50,40,60,176,66,40,6,65,506,2580,56
4,13102,中央区,6016,2668,1222,135,166,116,323,276,89,33,116,872,5459,557
4,13103,港区,19149,4161,3429,999,137,116,3192,631,165,46,796,5477,18787,362
4,13104,新宿区,40518,14645,10246,767,3435,3305,1020,238,727,1853,366,3916,37861,2657
4,13105,文京区,9049,3974,1790,230,593,315,328,79,214,208,113,1205,8215,834
4,13106,台東区,14362,6451,3338,706,822,564,220,684,303,105,75,1094,13638,724
4,13107,墨田区,11256,5478,2056,1267,413,290,146,89,372,85,80,980,10425,831
4,13108,江東区,25511,13055,4540,1524,760,527,421,1788,353,336,134,2073,23805,1706
4,13109,品川区,11636,4406,2340,743,381,635,552,395,179,203,192,1610,10953,683
4,13110,目黒区,8055,1896,1563,500,110,283,856,187,166,51,348,2095,7661,394
4,13111,大田区,21163,8257,3695,2322,1021,1862,564,228,414,254,185,2361,19991,1172
4,13112,世田谷区,17957,5338,4141,799,564,425,1457,441,240,95,686,3771,16463,1494
4,13113,渋谷区,9937,2265,1544,317,224,176,1314,179,172,63,646,3037,9581,356
4,13114,中野区,15193,6207,2906,438,1413,1162,469,91,227,305,172,1803,13457,1736
4,13115,杉並区,14043,5340,2697,442,1028,1427,659,100,218,135,274,1723,12424,1619
4,13116,豊島区,26390,12898,2526,466,3056,2720,383,152,313,1697,154,2025,23791,2599
4,13117,北区,19002,9692,2674,803,1445,940,215,153,163,852,68,1997,17207,1795
4,13118,荒川区,17510,7326,5600,523,1460,866,151,92,158,406,63,865,16675,835
4,13119,板橋区,22002,12561,3199,1371,1166,802,346,122,269,286,121,1759,19341,2661
4,13120,練馬区,15904,6891,4113,978,529,494,497,132,272,117,161,1720,14302,1602
4,13121,足立区,26926,11576,7847,3432,905,363,229,126,417,95,91,1845,25103,1823
4,13122,葛飾区,18288,9651,3294,1527,842,647,169,73,251,193,70,1571,16050,2238
4,13123,江戸川区,30194,14118,4545,2556,1679,874,291,3136,469,241,91,2194,27417,2777
1,13200,市部,73613,27958,14555,7349,4060,2556,3076,747,1389,327,744,10852,68301,5312
4,13201,八王子市,11059,4496,1936,1238,619,451,287,111,179,59,61,1622,9928,1131
4,13202,立川市,3774,1750,818,324,120,115,137,56,50,6,24,374,3471,303
4,13203,武蔵野市,2774,1051,545,87,83,108,319,26,42,14,72,427,2537,237
4,13204,三鷹市,3370,1185,693,174,117,66,340,39,54,33,98,571,3007,363
4,13205,青梅市,1639,424,257,393,101,32,59,4,61,1,6,301,1526,113
4,13206,府中市,4629,1773,795,495,177,75,245,41,100,32,45,851,4401,228
4,13207,昭島市,2451,767,554,275,215,186,59,52,27,7,7,302,2279,172
4,13208,調布市,3947,1578,1023,301,135,76,139,50,85,30,50,480,3771,176
4,13209,町田市,5404,2171,1040,543,239,81,201,74,117,10,67,861,5135,269
4,13210,小金井市,2345,1020,316,114,103,120,164,25,50,13,38,382,2111,234
4,13211,小平市,4436,1582,1506,258,167,77,105,28,77,12,29,595,4193,243
4,13212,日野市,2753,1127,472,236,296,94,71,5,60,31,25,336,2723,30
4,13213,東村山市,2464,943,563,245,114,102,44,12,52,12,19,358,2316,148
4,13214,国分寺市,1875,872,383,97,85,112,58,3,20,3,22,220,1816,59
4,13215,国立市,1516,584,346,91,61,85,63,21,25,4,16,220,1396,120
4,13218,福生市,3300,760,247,361,713,451,104,37,96,5,3,523,2924,376
4,13219,狛江市,1160,448,200,102,42,76,65,17,41,6,22,141,1076,84
4,13220,東大和市,1083,389,307,242,12,17,23,3,17,1,10,62,1084,-1
4,13221,清瀬市,1141,431,176,180,46,50,34,7,23,9,2,183,1094,47
4,13222,東久留米市,1827,617,304,249,42,24,216,47,39,10,25,254,1745,82
4,13223,武蔵村山市,1408,532,164,326,143,4,36,3,29,1,1,169,1275,133
4,13224,多摩市,2369,1004,517,229,113,69,57,23,27,11,15,304,2120,249
4,13225,稲城市,1171,438,277,164,30,15,31,7,24,0,22,163,1112,59
4,13227,羽村市,1207,197,94,238,36,10,42,7,15,1,10,557,1151,56
4,13228,あきる野市,702,148,138,113,87,2,47,6,20,0,4,137,698,4
4,13229,西東京市,3809,1671,884,274,164,58,130,43,59,16,51,459,3412,397
1,13550,町村部,1044,147,165,287,103,5,64,6,29,1,3,234,1184,-140
2,13300,郡部,784,131,83,220,92,4,50,6,22,1,1,174,749,35
4,13303,瑞穂町,666,112,63,194,84,3,28,6,20,1,0,155,632,34
4,13305,日の出町,79,13,12,18,4,1,17,0,1,0,0,13,77,2
4,13307,檜原村,10,0,5,2,0,0,3,0,0,0,0,0,13,-3
4,13308,奥多摩町,29,6,3,6,4,0,2,0,1,0,1,6,27,2
2,13350,島部,260,16,82,67,11,1,14,0,7,0,2,60,435,-175
3,13360,大島支庁,89,9,11,5,4,1,5,0,5,0,1,48,260,-171
3,13380,三宅支庁,45,1,20,16,7,0,0,0,0,0,0,1,51,-6
3,13400,八丈支庁,104,4,44,44,0,0,3,0,2,0,0,7,103,1
3,13420,小笠原支庁,22,2,7,2,0,0,6,0,0,0,1,4,21,1
,,,,,,,,,,,,,,,,
外国人人口　平成28年10月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人人口 （平成28年10月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成２８年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
