地域階層,地域コード,国・地域(人),総数,中国,韓国,ベトナム,フィリピン,ネパール,台湾,米国,インド,ミャンマー,タイ,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,577329,231196,93595,38227,33818,26150,20998,19129,13689,10056,8071,82400,551683,25646
1,13100,区部,485967,198579,79795,30540,25289,22756,18020,15721,12691,9476,6575,66525,465191,20776
4,13101,千代田区,3228,1386,488,78,64,27,204,211,84,12,43,631,2996,232
4,13102,中央区,8474,3708,1529,184,137,95,417,431,305,41,87,1540,7651,823
4,13103,港区,20314,4232,3498,154,1054,102,771,3102,689,54,182,6476,20057,257
4,13104,新宿区,42598,15120,10150,3042,748,2909,1951,980,249,1865,678,4906,43068,-470
4,13105,文京区,11635,5211,1706,1003,226,308,552,382,107,337,204,1599,10808,827
4,13106,台東区,15757,7029,3040,839,766,547,520,291,720,123,360,1522,15433,324
4,13107,墨田区,12979,6115,1965,712,1337,279,424,224,142,89,376,1316,12645,334
4,13108,江東区,31021,15657,4553,1093,1603,642,748,492,2363,458,378,3034,29472,1549
4,13109,品川区,13900,4751,2580,618,827,726,678,622,369,300,181,2248,13042,858
4,13110,目黒区,9673,1969,1542,212,551,245,498,1043,228,48,181,3156,9102,571
4,13111,大田区,25287,8895,3565,1834,2528,2293,1088,611,351,292,467,3363,24199,1088
4,13112,世田谷区,23034,6562,4479,1004,983,478,1106,1808,524,155,275,5660,21379,1655
4,13113,渋谷区,11266,2348,1682,359,337,195,629,1468,215,50,165,3818,10639,627
4,13114,中野区,20095,7445,3383,1899,544,1850,1004,532,147,441,265,2585,19326,769
4,13115,杉並区,18576,6356,2910,1527,561,2230,1051,797,114,190,251,2589,17722,854
4,13116,豊島区,29672,13525,2610,3194,554,2831,1332,447,168,2007,286,2718,30223,-551
4,13117,北区,23550,11706,2459,2099,830,1286,581,262,212,1015,206,2894,22621,929
4,13118,荒川区,19298,7848,4869,1862,561,1125,414,191,133,503,169,1623,19131,167
4,13119,板橋区,28782,15367,3401,1754,1618,1259,1114,390,127,381,324,3047,26759,2023
4,13120,練馬区,21490,9448,4529,957,1170,748,895,545,124,201,265,2608,19653,1837
4,13121,足立区,34040,15310,7345,1983,3686,495,719,310,169,227,476,3320,31706,2334
4,13122,葛飾区,23126,12058,3121,1362,1683,887,536,228,116,268,251,2616,21849,1277
4,13123,江戸川区,38172,16533,4391,2771,2921,1199,788,354,5035,419,505,3256,35710,2462
1,13200,市部,90092,32471,13654,7476,8220,3389,2963,3341,994,555,1454,15575,85300,4792
4,13201,八王子市,13210,5157,1860,1130,1339,542,328,315,152,76,178,2133,12936,274
4,13202,立川市,4598,2016,759,300,404,177,122,139,50,15,42,574,4374,224
4,13203,武蔵野市,3364,1188,529,113,108,163,186,302,50,14,35,676,3240,124
4,13204,三鷹市,3943,1227,716,201,188,98,234,336,68,22,62,791,3813,130
4,13205,青梅市,1955,355,206,335,427,40,76,63,7,12,59,375,1877,78
4,13206,府中市,5604,1858,854,373,555,94,215,268,48,45,103,1191,5302,302
4,13207,昭島市,2784,744,488,298,387,271,48,66,65,6,30,381,2688,96
4,13208,調布市,4824,1702,1059,283,316,95,223,161,52,50,85,798,4629,195
4,13209,町田市,6862,2692,968,527,613,125,182,231,90,34,117,1283,6228,634
4,13210,小金井市,2985,1262,294,172,138,132,100,208,33,35,61,550,2792,193
4,13211,小平市,5451,1994,1066,300,271,126,211,122,33,19,93,1216,5204,247
4,13212,日野市,3343,1292,503,369,322,94,65,93,31,32,71,471,3139,204
4,13213,東村山市,3008,1227,461,157,270,160,95,44,11,25,43,515,2826,182
4,13214,国分寺市,2572,1173,387,121,106,202,90,76,24,12,21,360,2365,207
4,13215,国立市,1839,730,353,125,75,81,65,68,30,9,22,281,1706,133
4,13218,福生市,3809,700,213,974,389,511,95,101,67,9,110,640,3816,-7
4,13219,狛江市,1408,502,214,90,116,89,43,56,21,8,39,230,1312,96
4,13220,東大和市,1185,404,192,57,240,24,23,32,4,3,23,183,1157,28
4,13221,清瀬市,1308,470,153,96,215,54,39,33,5,8,26,209,1262,46
4,13222,東久留米市,2221,733,320,148,250,54,56,221,58,7,36,338,2092,129
4,13223,武蔵村山市,1732,599,144,322,368,38,21,29,1,3,24,183,1640,92
4,13224,多摩市,2838,1211,520,179,232,69,77,70,25,52,37,366,2648,190
4,13225,稲城市,1448,440,267,103,165,28,32,37,19,0,23,334,1321,127
4,13227,羽村市,1444,211,92,173,279,33,22,52,14,1,19,548,1392,52
4,13228,あきる野市,973,146,114,216,147,8,23,59,2,14,20,224,839,134
4,13229,西東京市,5384,2438,922,314,300,81,292,159,34,44,75,725,4702,682
1,13550,町村部,1270,146,146,211,309,5,15,67,4,25,42,300,1192,78
2,13300,郡部,991,134,72,191,246,5,14,51,4,20,34,220,915,76
4,13303,瑞穂町,835,114,52,174,213,4,9,28,4,18,27,192,782,53
4,13305,日の出町,116,17,12,13,21,1,5,20,0,2,6,19,82,34
4,13307,檜原村,6,0,2,0,1,0,0,3,0,0,0,0,7,-1
4,13308,奥多摩町,34,3,6,4,11,0,0,0,0,0,1,9,44,-10
2,13350,島部,279,12,74,20,63,0,1,16,0,5,8,80,277,2
3,13360,大島支庁,114,7,12,13,7,0,0,5,0,5,6,59,103,11
3,13380,三宅支庁,33,0,14,2,13,0,0,0,0,0,0,4,35,-2
3,13400,八丈支庁,108,4,42,1,39,0,1,5,0,0,2,14,112,-4
3,13420,小笠原支庁,24,1,6,4,4,0,0,6,0,0,0,3,27,-3
,,,,,,,,,,,,,,,,
外国人人口　令和2年1月,,,,,,,,,,,,,,,,
第１表　区市町村別国籍・地域別外国人人口 (上位10か国・地域) （令和2年1月１日現在）,,,,,,,,,,,,,,,,
注１)住民票に記載される国籍・地域の名称は在留管理制度に基づく在留カード等の「国籍・地域」欄の表記によっている。このため、本統計の国籍・地域の名称は、平成29年1月から在留管理制度に基づく法務省「在留外国人統計」の国籍・地域の名称に合わせており、平成28年10月までの本統計の「中国」には台湾を含んでいる。,,,,,,,,,,,,,,,,
注２）上位10か国・地域とは、令和2年１月１日現在で外国人人口の多い順の国・地域である。,,,,,,,,,,,,,,,,
注３）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
