地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／国立（校）,学校数／公立（校）,学校数／私立（校）,学校数／私立／学校法人立（校）,学校数／私立／準学校法人立（校）,学校数／私立／財団法人立（校）,学校数／私立／社団法人立（校）,学校数／私立／その他の法人立（校）,学校数／私立／個人立（校）,学校数／高等課程を置く学校（校）,学校数／高等課程を置く学校／国立（校）,学校数／高等課程を置く学校／公立（校）,学校数／高等課程を置く学校／私立（校）,学校数／専門課程を置く学校（校）,学校数／専門課程を置く学校／国立（校）,学校数／専門課程を置く学校／公立（校）,学校数／専門課程を置く学校／私立（校）
0,総数,平成29,2017,403,1,8,394,100,236,8,13,20,17,41,－,－,41,359,1,8,350
0,総数,平成30,2018,405,1,8,396,103,236,8,13,19,17,41,－,－,41,360,1,8,351
0,総数,令和元,2019,405,1,8,396,105,237,7,12,18,17,39,－,－,39,362,1,8,353
0,総数,令和2,2020,404,1,8,395,113,229,7,12,18,16,41,－,－,41,359,1,8,350
0,総数,令和3,2021,401,1,8,392,112,230,7,10,18,15,36,－,－,36,357,1,8,348
0,総数,令和4,2022,393,1,8,384,110,226,6,9,18,15,40,－,－,40,352,1,8,343
1,区部,令和4,2022,334,－,3,331,99,192,4,7,17,12,28,－,－,28,304,－,3,301
2,千代田区,令和4,2022,26,－,－,26,10,15,－,－,1,－,1,－,－,1,23,－,－,23
2,中央区,令和4,2022,6,－,－,6,2,2,－,－,－,2,－,－,－,－,4,－,－,4
2,港区,令和4,2022,7,－,－,7,3,3,－,1,－,－,－,－,－,－,6,－,－,6
2,新宿区,令和4,2022,52,－,－,52,12,33,1,－,4,2,4,－,－,4,47,－,－,47
2,文京区,令和4,2022,17,－,－,17,11,4,1,－,－,1,－,－,－,－,16,－,－,16
2,台東区,令和4,2022,8,－,－,8,2,5,－,1,－,－,2,－,－,2,7,－,－,7
2,墨田区,令和4,2022,9,－,－,9,5,4,－,－,－,－,－,－,－,－,9,－,－,9
2,江東区,令和4,2022,6,－,－,6,1,3,1,－,－,1,2,－,－,2,6,－,－,6
2,品川区,令和4,2022,9,－,－,9,2,5,－,－,1,1,－,－,－,－,9,－,－,9
