区分,学校数（学科）,学校数／国立（学科）,学校数／公立（学科）,学校数／私立（学科）,学校数／私立／学校法人立（学科）,学校数／私立／準学校法人立（学科）,学校数／私立／財団法人立（学科）,学校数／私立／社団法人立（学科）,学校数／私立／その他の法人立（学科）,学校数／私立／個人立（学科）
昼間,1387,1,8,1378,446,860,17,13,17,25
その他,169,－,－,169,65,90,4,1,3,6
昼間のうち高等課程,42,－,－,42,3,28,－,5,4,2
その他のうち高等課程,13,－,－,13,2,10,－,－,－,1
昼間のうち専門課程,1304,1,8,1295,438,796,17,8,13,23
その他のうち専門課程,140,－,－,140,57,70,4,1,3,5
昼間のうち一般課程,41,－,－,41,5,36,－,－,－,－
その他のうち一般課程,16,－,－,16,6,10,－,－,－,－
,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,
１１－４　専修学校　設置者、課程別学科数,,,,,,,,,,
注）在籍生徒のいない学科を除く。,,,,,,,,,,
