種別,地域階層,地域,学校数（校）,学生数（人）,学生数／男（人）,学生数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（兼務者）（人）,職員数（本務者）（人）
総数（私立）,0,総数,36,8639,647,7992,682,278,404,1941,376
総数（私立）,1,区部,28,6960,510,6450,545,212,333,1538,289
総数（私立）,2,千代田区,5,1188,12,1176,134,55,79,412,48
総数（私立）,2,中央区,－,－,－,－,－,－,－,－,－
総数（私立）,2,港区,1,919,－,919,36,11,25,64,35
総数（私立）,2,新宿区,1,457,－,457,30,14,16,47,10
総数（私立）,2,文京区,2,178,7,171,22,9,13,50,17
総数（私立）,2,台東区,1,73,10,63,8,3,5,52,6
総数（私立）,2,墨田区,－,－,－,－,－,－,－,－,－
総数（私立）,2,江東区,1,242,41,201,15,7,8,26,12
総数（私立）,2,品川区,1,21,－,21,8,2,6,17,2
総数（私立）,2,目黒区,－,－,－,－,－,－,－,－,－
総数（私立）,2,大田区,－,－,－,－,－,－,－,－,－
総数（私立）,2,世田谷区,－,－,－,－,－,－,－,－,－
総数（私立）,2,渋谷区,5,1154,160,994,89,41,48,164,46
総数（私立）,2,中野区,2,542,51,491,40,13,27,123,28
総数（私立）,2,杉並区,2,546,22,524,47,13,34,217,16
総数（私立）,2,豊島区,2,427,182,245,26,14,12,85,20
総数（私立）,2,北区,2,344,7,337,29,10,19,90,13
総数（私立）,2,荒川区,－,－,－,－,－,－,－,－,－
総数（私立）,2,板橋区,2,785,18,767,48,18,30,171,27
総数（私立）,2,練馬区,－,－,－,－,－,－,－,－,－
総数（私立）,2,足立区,－,－,－,－,－,－,－,－,－
総数（私立）,2,葛飾区,－,－,－,－,－,－,－,－,－
総数（私立）,2,江戸川区,1,84,－,84,13,2,11,20,9
総数（私立）,1,市部,8,1679,137,1542,137,66,71,403,87
総数（私立）,2,八王子市,3,749,89,660,57,29,28,120,36
総数（私立）,2,立川市,－,－,－,－,－,－,－,－,－
総数（私立）,2,武蔵野市,－,－,－,－,－,－,－,－,－
総数（私立）,2,三鷹市,－,－,－,－,－,－,－,－,－
総数（私立）,2,青梅市,－,－,－,－,－,－,－,－,－
総数（私立）,2,府中市,－,－,－,－,－,－,－,－,－
総数（私立）,2,昭島市,－,－,－,－,－,－,－,－,－
総数（私立）,2,調布市,1,215,37,178,21,15,6,149,8
総数（私立）,2,町田市,1,244,3,241,13,2,11,21,13
総数（私立）,2,小金井市,－,－,－,－,－,－,－,－,－
総数（私立）,2,小平市,1,180,8,172,12,5,7,45,6
総数（私立）,2,日野市,－,－,－,－,－,－,－,－,－
総数（私立）,2,東村山市,－,－,－,－,－,－,－,－,－
総数（私立）,2,国分寺市,－,－,－,－,－,－,－,－,－
総数（私立）,2,国立市,1,132,－,132,19,9,10,55,18
総数（私立）,2,福生市,－,－,－,－,－,－,－,－,－
総数（私立）,2,狛江市,－,－,－,－,－,－,－,－,－
総数（私立）,2,東大和市,－,－,－,－,－,－,－,－,－
総数（私立）,2,清瀬市,－,－,－,－,－,－,－,－,－
総数（私立）,2,東久留米市,－,－,－,－,－,－,－,－,－
総数（私立）,2,武蔵村山市,－,－,－,－,－,－,－,－,－
総数（私立）,2,多摩市,－,－,－,－,－,－,－,－,－
総数（私立）,2,稲城市,1,159,－,159,15,6,9,13,6
総数（私立）,2,羽村市,－,－,－,－,－,－,－,－,－
総数（私立）,2,あきる野市,－,－,－,－,－,－,－,－,－
総数（私立）,2,西東京市,－,－,－,－,－,－,－,－,－
総数（私立）,1,郡部,－,－,－,－,－,－,－,－,－
総数（私立）,2,瑞穂町,－,－,－,－,－,－,－,－,－
総数（私立）,2,日の出町,－,－,－,－,－,－,－,－,－
総数（私立）,2,檜原村,－,－,－,－,－,－,－,－,－
総数（私立）,2,奥多摩町,－,－,－,－,－,－,－,－,－
総数（私立）,1,島部,－,－,－,－,－,－,－,－,－
総数（私立）,2,大島町,－,－,－,－,－,－,－,－,－
総数（私立）,2,利島村,－,－,－,－,－,－,－,－,－
総数（私立）,2,新島村,－,－,－,－,－,－,－,－,－
総数（私立）,2,神津島村,－,－,－,－,－,－,－,－,－
総数（私立）,2,三宅村,－,－,－,－,－,－,－,－,－
総数（私立）,2,御蔵島村,－,－,－,－,－,－,－,－,－
総数（私立）,2,八丈町,－,－,－,－,－,－,－,－,－
総数（私立）,2,青ヶ島村,－,－,－,－,－,－,－,－,－
総数（私立）,2,小笠原村,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,
付表Ⅱ　１　大学・短大及び高専　１－２短期大学　,,,,,,,,,,,
注１）学校数は短期大学本部の所在する地域に計上した。,,,,,,,,,,,
注２）学生数は、本科学生のみであり、専攻科・別科の学生、通信教育の学生及び聴講生等は含まない。,,,,,,,,,,,
注３）教員数（本務者・兼務者）、職員数（本務者）は短期大学本部の所在する地域に計上した。,,,,,,,,,,,
注４）文部科学省「令和４年度学校基本統計（学校基本調査報告書）」の数値を基に集計したものである。,,,,,,,,,,,
注５）国立及び公立の学校はない。,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,
