種別,和暦（年度）,西暦（年度）,学校数（校）,学校数／本校（校）,学校数／分校（校）,学級数（学級）,児童生徒数（人）,児童生徒数／男（人）,児童生徒数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）
総数（公立）,平成28,2016,6,6,－,184,5439,2848,2591,330,158,172
総数（公立）,平成29,2017,6,6,－,181,5373,2801,2572,328,152,176
総数（公立）,平成30,2018,7,7,－,203,5977,3104,2873,373,171,202
総数（公立）,令和元,2019,7,7,－,210,6272,3240,3032,379,179,200
総数（公立）,令和2,2020,8,8,－,258,7625,3971,3654,463,220,243
総数（公立）,令和3,2021,8,8,－,267,7917,4121,3796,487,229,258
総数（公立）,令和4,2022,8,8,－,280,8200,4316,3884,503,237,266
総数（公立）,令和5,2023,8,8,－,293,8405,4430,3975,515,224,291
,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,
付表　学校数等の推移　１－５学校数等の推移（義務教育学校）,,,,,,,,,,,,
注1）義務教育学校は平成28年度から設置された。,,,,,,,,,,,,
注2）国立・私立には義務教育学校はない。,,,,,,,,,,,,
