経営体階層コード,経営体階層,漁業経営体数（経営体）,漁船／無動力漁船隻数（隻）,漁船／船外機付漁船隻数（隻）,漁船／動力漁船／隻数（隻）,漁船／動力漁船／トン数（ｔ）,陸上作業最盛期の陸上作業従事者数／計／計（人）,陸上作業最盛期の陸上作業従事者数／計／男（人）,陸上作業最盛期の陸上作業従事者数／計／女（人）,陸上作業最盛期の陸上作業従事者数／家族／計（人）,陸上作業最盛期の陸上作業従事者数／家族／男（人）,陸上作業最盛期の陸上作業従事者数／家族／女（人）,陸上作業最盛期の陸上作業従事者数／雇用者／計（人）,陸上作業最盛期の陸上作業従事者数／雇用者／男（人）,陸上作業最盛期の陸上作業従事者数／雇用者／女（人）
0,総数,604,2,147,506,10069.4,958,768,190,798,648,150,160,120,40
1,漁船非使用,34,-,-,-,-,39,35,4,39,35,4,-,-,-
1,漁船使用,563,2,145,497,9965.9,851,677,174,754,608,146,97,69,28
2,無動力漁船のみ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,船外機付漁船,92,-,98,-,-,117,99,18,113,98,15,4,1,3
2,動力漁船使用,471,2,47,497,9965.9,734,578,156,641,510,131,93,68,25
3,1トン未満,19,-,5,19,12,23,20,3,23,20,3,-,-,-
3,1～3,90,-,14,87,156,121,104,17,112,97,15,9,7,2
3,3～5,117,1,10,116,469.9,163,133,30,155,126,29,8,7,1
3,5～10,171,-,6,180,1296.1,284,209,75,252,184,68,32,25,7
3,10～20,68,1,9,72,881.7,121,97,24,93,80,13,28,17,11
3,20～30,2,-,3,5,55.2,11,8,3,6,3,3,5,5,-
3,30～50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,50～100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,100～200,1,-,-,1,195,-,-,-,-,-,-,-,-,-
3,200～500,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,500～1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1000～3000,3,-,-,17,6900,11,7,4,-,-,-,11,7,4
3,3000トン以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,大型定置網,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,さけ定置網,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,小型定置網,4,-,2,6,78.8,49,49,-,5,5,-,44,44,-
1,海面養殖／魚類養殖／ぎんざけ養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／魚類養殖／ぶり類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／魚類養殖／まだい養殖,1,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／魚類養殖／ひらめ養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／魚類養殖／まぐろ類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／魚類養殖／その他の魚類養殖,1,-,-,3,24.7,3,3,-,-,-,-,3,3,-
1,海面養殖／ほたてがい養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／かき類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／その他の貝類養殖,1,-,-,-,-,16,4,12,-,-,-,16,4,12
1,海面養殖／くるまえび養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／ほや類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／その他の水産動物類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／こんぶ類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／わかめ類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／のり類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／その他の海藻類養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／真珠養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,海面養殖／真珠母貝養殖,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,（再掲）沿岸漁業層計,530,1,135,411,2037.5,815,656,159,699,565,134,116,91,25
9,（再掲）沿岸漁業層計／海面養殖層計,3,-,-,3,24.7,19,7,12,-,-,-,19,7,12
9,（再掲）沿岸漁業層計／上記以外の沿岸漁業層計,527,1,135,408,2012.8,796,649,147,699,565,134,97,84,13
9,（再掲）中小漁業層計,71,1,12,78,1131.9,132,105,27,99,83,16,33,22,11
9,（再掲）大規模漁業層計,3,-,-,17,6900,11,7,4,-,-,-,11,7,4
,,,,,,,,,,,,,,,
2013年漁業センサス,,,,,,,,,,,,,,,
第４表　経営体階層別漁業経営体数、漁船隻数、陸上作業最盛期の陸上作業従事者数　（1）総数（全経営組織）,,,,,,,,,,,,,,,
経営体階層コード（0：総数　1：漁船非使用・使用・定置網（3区分）・海面養殖（18区分）　2：漁船（3区分）　3：動力漁船トン数（13区分）　9：再掲）,,,,,,,,,,,,,,,
