性別階層,年月階層,性別,月次,移動者数(人),区相互間、市町村相互間の移動者数/総数(人),区相互間、市町村相互間の移動者数/区相互間(人),区相互間、市町村相互間の移動者数/市町村相互間(人),区部と市町村部との移動者数/総数(人),区部と市町村部との移動者数/区部から市町村部へ(人),区部と市町村部との移動者数/市町村部から区部へ(人)
0,0,総数,年計,459298,365364,301608,63756,93934,48013,45921
0,1,総数,1月,30408,24618,20419,4199,5790,2923,2867
0,1,総数,2月,35995,28597,23713,4884,7398,3615,3783
0,1,総数,3月,60059,44960,36313,8647,15099,7454,7645
0,1,総数,4月,43118,33369,27096,6273,9749,5456,4293
0,1,総数,5月,37297,29880,24636,5244,7417,3758,3659
0,1,総数,6月,35863,29043,24200,4843,6820,3483,3337
0,1,総数,7月,35592,28651,23864,4787,6941,3635,3306
0,1,総数,8月,36234,29072,23940,5132,7162,3582,3580
0,1,総数,9月,33665,27162,22839,4323,6503,3316,3187
0,1,総数,10月,37872,30656,25589,5067,7216,3544,3672
0,1,総数,11月,35777,29078,24049,5029,6699,3465,3234
0,1,総数,12月,37418,30278,24950,5328,7140,3782,3358
1,0,男,年計,234107,186266,154272,31994,47841,24468,23373
1,1,男,1月,15488,12554,10451,2103,2934,1490,1444
1,1,男,2月,18446,14692,12188,2504,3754,1839,1915
1,1,男,3月,29952,22410,18146,4264,7542,3764,3778
1,1,男,4月,22014,17068,13944,3124,4946,2742,2204
1,1,男,5月,19031,15202,12569,2633,3829,1925,1904
1,1,男,6月,18463,14985,12593,2392,3478,1767,1711
1,1,男,7月,18256,14683,12263,2420,3573,1862,1711
1,1,男,8月,18612,14966,12316,2650,3646,1791,1855
1,1,男,9月,17444,14026,11850,2176,3418,1740,1678
1,1,男,10月,19411,15648,13095,2553,3763,1819,1944
1,1,男,11月,18030,14679,12164,2515,3351,1779,1572
1,1,男,12月,18960,15353,12693,2660,3607,1950,1657
2,0,女,年計,225191,179098,147336,31762,46093,23545,22548
2,1,女,1月,14920,12064,9968,2096,2856,1433,1423
2,1,女,2月,17549,13905,11525,2380,3644,1776,1868
2,1,女,3月,30107,22550,18167,4383,7557,3690,3867
2,1,女,4月,21104,16301,13152,3149,4803,2714,2089
2,1,女,5月,18266,14678,12067,2611,3588,1833,1755
2,1,女,6月,17400,14058,11607,2451,3342,1716,1626
2,1,女,7月,17336,13968,11601,2367,3368,1773,1595
2,1,女,8月,17622,14106,11624,2482,3516,1791,1725
2,1,女,9月,16221,13136,10989,2147,3085,1576,1509
2,1,女,10月,18461,15008,12494,2514,3453,1725,1728
2,1,女,11月,17747,14399,11885,2514,3348,1686,1662
2,1,女,12月,18458,14925,12257,2668,3533,1832,1701
,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,
第3表 月別、男女別都内間移動者数(令和5年) 外国人含む,,,,,,,,,,
性別階層(0:総数 1:男 2:女),,,,,,,,,,
年月階層(0:年計 1:月次),,,,,,,,,,
