地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注１）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14002563,6871064,7131499,96.3,100,2194.05,6382,-8924,7247106
1,13100,区部,9683771,4746936,4936835,96.2,69.16,627.53,15432,-7918,5215364
1,13200,市部,4239684,2084022,2155662,96.7,30.28,783.95,5408,-989,1997113
2,13300,郡部,55009,27376,27633,99.1,0.39,375.86,146,-6,21946
2,13350,島部,24099,12730,11369,112,0.17,406.71,59,-11,12683
1,13100,区部,9683771,4746936,4936835,96.2,69.16,627.53,15432,-7918,5215364
4,13101,千代田区,66738,33613,33125,101.5,0.48,11.66,5724,19,37106
4,13102,中央区,170472,81399,89073,91.4,1.22,10.21,16697,15,93527
4,13103,港区,258235,122059,136176,89.6,1.84,20.37,12677,-163,145083
4,13104,新宿区,346700,173522,173178,100.2,2.48,18.22,19029,-334,221916
4,13105,文京区,239962,115408,124554,92.7,1.71,11.29,21254,-131,133626
4,13106,台東区,212171,108886,103285,105.4,1.52,10.11,20986,-118,126137
4,13107,墨田区,272396,134761,137635,97.9,1.95,13.77,19782,-137,147577
4,13108,江東区,523549,257444,266105,96.7,3.74,42.99,12178,-453,265985
4,13109,品川区,419275,206831,212444,97.4,2.99,22.84,18357,-482,235823
4,13110,目黒区,284951,134043,150908,88.8,2.03,14.67,19424,-544,154034
4,13111,大田区,741826,369651,372175,99.3,5.3,61.86,11992,-586,398707
4,13112,世田谷区,938704,443021,495683,89.4,6.7,58.05,16171,-635,490681
4,13113,渋谷区,242232,117041,125191,93.5,1.73,15.11,16031,-378,149014
4,13114,中野区,342642,171137,171505,99.8,2.45,15.59,21978,-548,206915
4,13115,杉並区,587045,282346,304699,92.7,4.19,34.06,17236,-510,334351
4,13116,豊島区,298543,149638,148905,100.5,2.13,13.01,22947,-565,182590
4,13117,北区,352928,175304,177624,98.7,2.52,20.61,17124,-263,189551
4,13118,荒川区,216977,107471,109506,98.1,1.55,10.16,21356,-121,112451
4,13119,板橋区,581522,284308,297214,95.7,4.15,32.22,18048,-467,315340
4,13120,練馬区,750832,360578,390254,92.4,5.36,48.08,15616,-564,376253
4,13121,足立区,693077,346152,346925,99.8,4.95,53.25,13016,-325,348640
4,13122,葛飾区,450977,224526,226451,99.1,3.22,34.8,12959,22,217053
4,13123,江戸川区,692017,347797,344220,101,4.94,49.9,13868,-650,333004
1,13200,市部,4239684,2084022,2155662,96.7,30.28,783.95,5408,-989,1997113
4,13201,八王子市,579694,291371,288323,101.1,4.14,186.38,3110,-115,270712
4,13202,立川市,184305,91404,92901,98.4,1.32,24.36,7566,43,91067
4,13203,武蔵野市,150614,72076,78538,91.8,1.08,10.98,13717,-93,78440
4,13204,三鷹市,195997,94671,101326,93.4,1.4,16.42,11936,-126,96899
4,13205,青梅市,132464,66136,66328,99.7,0.95,103.31,1282,-22,56991
4,13206,府中市,262758,131134,131624,99.6,1.88,29.43,8928,50,124831
4,13207,昭島市,114127,56763,57364,99,0.82,17.34,6582,-73,52847
4,13208,調布市,243213,117241,125972,93.1,1.74,21.58,11270,-76,121726
4,13209,町田市,432497,211063,221434,95.3,3.09,71.55,6045,11,195168
4,13210,小金井市,127287,62240,65047,95.7,0.91,11.3,11264,-6,63813
4,13211,小平市,198992,97403,101589,95.9,1.42,20.51,9702,-119,92214
4,13212,日野市,190740,94921,95819,99.1,1.36,27.55,6923,4,91411
4,13213,東村山市,151932,73772,78160,94.4,1.09,17.14,8864,10,69195
4,13214,国分寺市,130493,63664,66829,95.3,0.93,11.46,11387,-32,64793
4,13215,国立市,77035,37416,39619,94.4,0.55,8.15,9452,-46,38598
4,13218,福生市,55846,27752,28094,98.8,0.4,10.16,5497,-50,28156
4,13219,狛江市,84463,40813,43650,93.5,0.6,6.39,13218,-38,42748
4,13220,東大和市,83961,40976,42985,95.3,0.6,13.42,6256,30,36825
4,13221,清瀬市,76357,36563,39794,91.9,0.55,10.23,7464,-40,35412
4,13222,東久留米市,115368,55638,59730,93.1,0.82,12.88,8957,-36,51680
4,13223,武蔵村山市,70788,35234,35554,99.1,0.51,15.32,4621,10,30322
4,13224,多摩市,146057,71247,74810,95.2,1.04,21.01,6952,-210,68787
4,13225,稲城市,93998,47220,46778,100.9,0.67,17.97,5231,7,40655
4,13227,羽村市,54178,27356,26822,102,0.39,9.9,5473,-19,24134
4,13228,あきる野市,79160,39137,40023,97.8,0.57,73.47,1077,11,32295
4,13229,西東京市,207360,100811,106549,94.6,1.48,15.75,13166,-64,97394
1,13550,町村部　注２）,79108,40106,39002,102.8,0.56,782.57,101,-17,34629
2,13300,郡部,55009,27376,27633,99.1,0.39,375.86,146,-6,21946
4,13303,瑞穂町,31481,15830,15651,101.1,0.22,16.85,1868,0,13124
4,13305,日の出町,16914,8258,8656,95.4,0.12,28.07,603,-1,6044
4,13307,檜原村,1953,964,989,97.5,0.01,105.41,19,-1,809
