地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成19年中の増減
0,13000,総数,1612,-184,10290,20415,5547,2983,3936,2705,772,5703,1347,-807,54319
1,13100,区部,1973,561,9315,12538,3996,2538,3326,2473,521,4641,1037,-840,42079
1,13200,市部,-354,-728,1280,7784,1574,452,638,237,279,1084,352,59,12657
2,13300,郡部,-4,-27,-46,-33,-19,-1,-32,-11,-14,-22,-32,-15,-256
2,13350,島部,-3,10,-259,126,-4,-6,4,6,-14,0,-10,-11,-161
1,13100,区部,1973,561,9315,12538,3996,2538,3326,2473,521,4641,1037,-840,42079
4,13101,千代田区,34,-49,36,197,106,53,56,-41,33,40,3,-36,432
4,13102,中央区,107,55,145,119,155,106,120,157,72,172,216,100,1524
4,13103,港区,1323,130,767,1058,503,104,178,315,151,146,123,484,5282
4,13104,新宿区,148,-156,384,625,-242,168,149,29,153,316,-45,-55,1474
4,13105,文京区,62,103,67,324,29,42,118,113,124,111,129,-94,1128
4,13106,台東区,74,82,278,257,-15,22,51,-59,108,185,-17,57,1023
4,13107,墨田区,10,17,331,261,257,154,194,5,70,252,58,78,1687
4,13108,江東区,1,165,845,1070,473,176,250,126,-75,297,30,133,3491
4,13109,品川区,83,162,526,358,232,155,108,115,18,491,152,49,2449
4,13110,目黒区,-61,44,-102,144,16,-8,88,31,42,3,12,-158,51
4,13111,大田区,-202,-107,520,1108,345,39,384,144,-47,344,209,-142,2595
4,13112,世田谷区,3,-128,508,991,237,293,249,144,-51,242,34,-28,2494
4,13113,渋谷区,57,64,-335,692,-13,78,-107,51,-445,-20,-152,-127,-257
4,13114,中野区,54,-49,446,448,164,28,102,-74,-191,115,-102,-12,929
4,13115,杉並区,15,74,591,531,184,147,327,225,5,45,-93,71,2122
4,13116,豊島区,-1,16,430,427,-174,519,48,-24,52,220,103,-101,1515
4,13117,北区,125,-97,409,435,112,144,-32,218,145,190,-18,-167,1464
4,13118,荒川区,11,-62,975,241,107,166,96,70,81,229,41,-135,1820
4,13119,板橋区,38,-136,469,583,253,24,154,61,-114,134,-43,-59,1364
4,13120,練馬区,11,86,607,921,377,-20,213,207,56,261,58,-150,2627
