地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成25年の増減
0,13000,総数,-467,-1114,9604,16417,4070,384,2985,507,1726,4404,456,6,38978
1,13100,区部,37,-117,8674,11784,3591,623,2636,884,1323,3745,574,-207,33547
1,13200,市部,-474,-956,1237,4518,475,-239,355,-350,441,681,-92,241,5837
2,13300,郡部,-17,-21,-31,-11,-4,8,-3,-13,-22,12,-13,-15,-130
2,13350,島部,-13,-20,-276,126,8,-8,-3,-14,-16,-34,-13,-13,-276
1,13100,区部,37,-117,8674,11784,3591,623,2636,884,1323,3745,574,-207,33547
4,13101,千代田区,45,50,182,288,28,23,-21,78,49,78,90,13,903
4,13102,中央区,188,71,304,209,167,140,244,90,196,129,167,102,2007
4,13103,港区,307,54,326,304,265,-64,85,84,223,282,285,-45,2106
4,13104,新宿区,-247,-100,394,790,45,-36,-176,-27,213,440,10,-64,1242
4,13105,文京区,46,23,420,352,168,-15,95,116,133,198,-67,103,1572
4,13106,台東区,56,26,116,231,61,40,52,-5,0,196,48,116,937
4,13107,墨田区,20,220,233,126,98,110,66,130,37,150,38,15,1243
4,13108,江東区,-27,118,309,852,504,248,270,139,157,459,217,227,3473
4,13109,品川区,-24,21,228,313,183,72,89,32,31,150,-48,84,1131
4,13110,目黒区,89,95,566,481,192,-6,114,-6,29,6,-60,-117,1383
4,13111,大田区,-50,91,1044,857,478,75,161,-38,43,253,15,-76,2853
4,13112,世田谷区,139,55,1093,1319,334,277,266,68,243,132,154,67,4147
4,13113,渋谷区,-1,-60,409,433,40,-55,-29,52,17,22,147,4,979
4,13114,中野区,42,-197,482,465,158,-6,144,102,-86,134,-111,-137,990
4,13115,杉並区,-48,-94,984,862,98,110,247,-127,-68,15,-88,-178,1713
4,13116,豊島区,-94,20,313,417,82,81,219,-41,68,259,-55,4,1273
