国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和2年中の死亡数
総数,0,13000,総数,12697,9715,10694,10107,9316,9250,9421,9805,9802,10313,10401,10657,122178
総数,1,13100,区部,8506,6431,7219,6783,6332,6192,6345,6543,6582,6943,6879,7109,81864
総数,1,13200,市部,4031,3155,3360,3204,2903,2962,2962,3162,3104,3237,3403,3434,38917
総数,2,13300,郡部,115,97,76,81,57,80,81,70,81,96,85,73,992
総数,2,13350,島部,45,32,39,39,24,16,33,30,35,37,34,41,405
総数,1,13100,区部,8506,6431,7219,6783,6332,6192,6345,6543,6582,6943,6879,7109,81864
総数,4,13101,千代田区,45,34,31,31,23,33,41,35,33,32,33,30,401
総数,4,13102,中央区,100,67,90,72,66,70,88,83,56,82,104,77,955
総数,4,13103,港区,168,130,145,132,109,118,139,133,126,162,149,138,1649
総数,4,13104,新宿区,264,212,245,247,188,210,207,264,198,212,264,235,2746
総数,4,13105,文京区,174,136,152,131,132,116,107,134,117,149,132,159,1639
総数,4,13106,台東区,198,134,188,158,156,170,175,169,185,174,187,160,2054
総数,4,13107,墨田区,259,202,237,230,202,187,176,190,211,199,208,220,2521
総数,4,13108,江東区,430,291,360,358,332,320,335,327,372,360,313,337,4135
総数,4,13109,品川区,304,263,272,270,256,237,261,263,267,251,275,266,3185
総数,4,13110,目黒区,210,162,180,172,185,164,150,162,170,159,162,160,2036
総数,4,13111,大田区,691,491,605,539,518,550,495,563,553,564,583,605,6757
総数,4,13112,世田谷区,732,568,577,589,571,499,538,494,540,594,547,597,6846
総数,4,13113,渋谷区,143,129,119,125,118,127,128,129,130,163,123,117,1551
総数,4,13114,中野区,286,220,234,243,209,222,215,243,241,240,234,246,2833
総数,4,13115,杉並区,527,394,458,353,344,347,377,374,354,398,365,411,4702
総数,4,13116,豊島区,266,211,236,176,210,166,175,193,197,208,211,202,2451
総数,4,13117,北区,363,285,334,294,270,255,269,283,266,319,289,326,3553
総数,4,13118,荒川区,230,174,188,175,146,162,164,140,162,183,170,180,2074
総数,4,13119,板橋区,510,381,461,439,408,417,390,413,429,488,462,481,5279
総数,4,13120,練馬区,689,531,537,565,485,446,504,478,528,526,524,566,6379
総数,4,13121,足立区,765,582,606,593,580,551,587,575,597,594,637,621,7288
総数,4,13122,葛飾区,495,357,432,395,339,388,368,348,362,374,421,448,4727
総数,4,13123,江戸川区,657,477,532,496,485,437,456,550,488,512,486,527,6103
総数,1,13200,市部,4031,3155,3360,3204,2903,2962,2962,3162,3104,3237,3403,3434,38917
総数,4,13201,八王子市,539,429,485,443,400,460,417,434,419,438,480,465,5409
総数,4,13202,立川市,186,152,177,161,142,149,133,127,120,163,173,150,1833
総数,4,13203,武蔵野市,140,95,109,99,80,97,79,89,92,88,93,96,1157
総数,4,13204,三鷹市,164,115,133,143,117,125,123,126,124,109,142,152,1573
総数,4,13205,青梅市,197,126,137,143,141,127,134,131,132,152,168,142,1730
総数,4,13206,府中市,238,182,185,160,155,174,161,174,187,184,195,182,2177
総数,4,13207,昭島市,126,75,92,96,65,96,94,103,100,109,107,123,1186
総数,4,13208,調布市,200,141,152,156,152,150,134,168,154,169,148,183,1907
総数,4,13209,町田市,425,350,361,325,290,315,310,351,329,295,355,376,4082
総数,4,13210,小金井市,90,82,67,82,70,81,84,74,72,84,89,87,962
総数,4,13211,小平市,149,145,152,153,125,128,145,117,158,129,157,146,1704
総数,4,13212,日野市,172,142,124,126,122,110,118,135,121,133,161,122,1586
総数,4,13213,東村山市,161,130,123,146,123,115,122,112,135,154,114,125,1560
総数,4,13214,国分寺市,87,72,71,99,62,64,66,96,89,90,105,84,985
総数,4,13215,国立市,61,55,55,54,45,53,74,54,49,52,53,58,663
総数,4,13218,福生市,69,61,64,43,50,45,44,58,44,55,46,54,633
総数,4,13219,狛江市,76,57,74,74,74,60,48,72,62,49,55,74,775
総数,4,13220,東大和市,89,71,93,66,57,62,65,67,61,59,71,57,818
総数,4,13221,清瀬市,70,82,72,68,80,61,64,70,73,77,69,95,881
総数,4,13222,東久留米市,158,101,112,102,86,87,98,90,116,119,116,120,1305
総数,4,13223,武蔵村山市,73,49,63,68,48,45,43,54,63,58,62,57,683
総数,4,13224,多摩市,149,124,114,111,108,89,91,106,96,119,100,112,1319
総数,4,13225,稲城市,74,54,58,51,62,48,48,63,45,54,48,45,650
総数,4,13227,羽村市,60,31,54,36,40,40,35,48,37,56,53,54,544
総数,4,13228,あきる野市,94,74,82,63,78,54,70,86,81,85,89,107,963
総数,4,13229,西東京市,184,160,151,136,131,127,162,157,145,157,154,168,1832
総数,1,13550,町村部,160,129,115,120,81,96,114,100,116,133,119,114,1397
総数,2,13300,郡部,115,97,76,81,57,80,81,70,81,96,85,73,992
総数,4,13303,瑞穂町,58,41,31,23,23,30,33,24,34,42,30,25,394
総数,4,13305,日の出町,33,34,27,29,21,30,27,25,25,27,27,33,338
総数,4,13307,檜原村,9,10,7,12,5,7,5,6,5,11,8,3,88
総数,4,13308,奥多摩町,15,12,11,17,8,13,16,15,17,16,20,12,172
総数,2,13350,島部,45,32,39,39,24,16,33,30,35,37,34,41,405
総数,3,13360,大島支庁,28,21,21,14,13,9,10,16,15,14,18,20,199
総数,4,13361,大島町,18,13,13,8,8,6,4,6,10,10,13,15,124
総数,4,13362,利島村,0,1,0,1,0,1,1,0,0,0,1,0,5
総数,4,13363,新島村,5,5,7,3,3,0,3,5,2,3,3,4,43
総数,4,13364,神津島村,5,2,1,2,2,2,2,5,3,1,1,1,27
総数,3,13380,三宅支庁,9,1,7,9,2,0,7,4,2,6,5,3,55
総数,4,13381,三宅村,7,1,6,9,2,0,6,3,2,5,5,3,49
総数,4,13382,御蔵島村,2,0,1,0,0,0,1,1,0,1,0,0,6
総数,3,13400,八丈支庁,7,10,11,13,7,5,15,10,16,16,8,17,135
総数,4,13401,八丈町,7,9,11,13,7,5,15,10,15,16,8,17,133
総数,4,13402,青ヶ島村,0,1,0,0,0,0,0,0,1,0,0,0,2
総数,3,13420,小笠原支庁,1,0,0,3,2,2,1,0,2,1,3,1,16
総数,4,13421,小笠原村,1,0,0,3,2,2,1,0,2,1,3,1,16
日本人,0,13000,総数,12598,9635,10613,10039,9246,9174,9342,9724,9721,10235,10316,10570,121213
日本人,1,13100,区部,8426,6366,7149,6725,6282,6132,6284,6480,6513,6885,6807,7033,81082
日本人,1,13200,市部,4012,3140,3349,3194,2883,2946,2944,3145,3092,3217,3390,3424,38736
日本人,2,13300,郡部,115,97,76,81,57,80,81,69,81,96,85,72,990
日本人,2,13350,島部,45,32,39,39,24,16,33,30,35,37,34,41,405
日本人,1,13100,区部,8426,6366,7149,6725,6282,6132,6284,6480,6513,6885,6807,7033,81082
日本人,4,13101,千代田区,44,34,31,31,23,32,41,34,33,32,33,30,398
日本人,4,13102,中央区,99,65,88,72,64,70,87,81,56,81,101,75,939
日本人,4,13103,港区,166,128,142,131,107,115,136,130,124,157,148,135,1619
