地域階層,地域コード,地域,人口総数（A＋B）,住民基本台帳／世帯数,住民基本台帳／人口／総数（A）,住民基本台帳／人口／男,住民基本台帳／人口／女,外国人登録人口（B）,前月人口総数との増減
0,13000,総数,13096022,6368548,12685838,6286087,6399751,410184,-1562
1,13100,区部,8916137,4487529,8573516,4236755,4336761,342621,-1477
1,13200,市部,4092348,1841088,4025717,2005553,2020164,66631,-48
2,13300,郡部,59456,24711,58767,29563,29204,689,-36
2,13350,島部,28081,15220,27838,14216,13622,243,-1
1,13100,区部,8916137,4487529,8573516,4236755,4336761,342621,-1477
4,13101,千代田区,50977,26959,48394,23868,24526,2583,1
4,13102,中央区,123953,68721,118966,56504,62462,4987,80
4,13103,港区,228099,118360,206990,96568,110422,21109,131
4,13104,新宿区,317985,172551,284633,142358,142275,33352,-652
4,13105,文京区,199701,104117,192463,91709,100754,7238,-45
4,13106,台東区,182075,95459,169352,86940,82412,12723,-7
4,13107,墨田区,250412,126871,240768,121100,119668,9644,-3
4,13108,江東区,475490,228029,454394,226595,227799,21096,218
4,13109,品川区,364503,193497,353077,173362,179715,11426,-39
4,13110,目黒区,262785,141684,255343,119850,135493,7442,9
4,13111,大田区,695169,348806,676927,340356,336571,18242,127
4,13112,世田谷区,855183,437439,839481,400727,438754,15702,-4
4,13113,渋谷区,208262,119024,198407,93910,104497,9855,148
4,13114,中野区,310987,177402,299225,150444,148781,11762,-563
4,13115,杉並区,539143,292841,528358,254008,274350,10785,-195
4,13116,豊島区,267646,146789,248214,125201,123013,19432,-173
4,13117,北区,333429,169126,317720,157838,159882,15709,60
4,13118,荒川区,205216,96248,189595,94874,94721,15621,8
4,13119,板橋区,536151,268232,518408,258311,260097,17743,-162
4,13120,練馬区,708528,335635,695250,342688,352562,13278,38
4,13121,足立区,669358,306159,646102,326606,319496,23256,-178
4,13122,葛飾区,450377,207177,435828,219239,216589,14549,73
4,13123,江戸川区,680708,306403,655621,333699,321922,25087,-349
1,13200,市部,4092348,1841088,4025717,2005553,2020164,66631,-48
4,13201,八王子市,564940,248051,555735,279857,275878,9205,57
4,13202,立川市,178804,83068,175287,87601,87686,3517,-60
4,13203,武蔵野市,138554,71226,136227,65472,70755,2327,55
4,13204,三鷹市,179769,87669,176777,87061,89716,2992,33
4,13205,青梅市,139959,59567,138355,69753,68602,1604,46
4,13206,府中市,252094,115730,247817,126264,121553,4277,5
4,13207,昭島市,113723,50185,111565,56099,55466,2158,-19
4,13208,調布市,222404,107743,218500,108105,110395,3904,-36
4,13209,町田市,425260,180976,420083,207245,212838,5177,56
4,13210,小金井市,116055,54930,113796,56799,56997,2259,11
4,13211,小平市,184150,82179,180049,89345,90704,4101,0
4,13212,日野市,178373,80300,175816,88906,86910,2557,-49
4,13213,東村山市,153558,68403,151222,74817,76405,2336,12
4,13214,国分寺市,117308,54534,115621,57467,58154,1687,-27
4,13215,国立市,74657,34637,73197,36286,36911,1460,47
4,13218,福生市,59793,27713,57358,28896,28462,2435,-90
4,13219,狛江市,76830,37815,75867,37229,38638,963,-74
4,13220,東大和市,84498,35777,83501,41524,41977,997,41
4,13221,清瀬市,74203,32928,73187,35560,37627,1016,61
4,13222,東久留米市,116291,50661,114558,56596,57962,1733,-73
4,13223,武蔵村山市,71778,28864,70596,35515,35081,1182,69
4,13224,多摩市,146786,65689,144527,71600,72927,2259,-233
4,13225,稲城市,85077,35555,83999,42646,41353,1078,-6
4,13227,羽村市,57589,24238,56062,28645,27417,1527,-73
4,13228,あきる野市,81873,32936,81236,40729,40507,637,106
4,13229,西東京市,198022,89714,194779,95536,99243,3243,93
1,13550,町村部,87537,39931,86605,43779,42826,932,-37
2,13300,西多摩郡,59456,24711,58767,29563,29204,689,-36
4,13303,瑞穂町,34105,13716,33531,17068,16463,574,-20
4,13305,日の出町,16575,6874,16497,8196,8301,78,5
4,13307,檜原村,2665,1242,2653,1319,1334,12,-5
4,13308,奥多摩町,6111,2879,6086,2980,3106,25,-16
2,13350,島部,28081,15220,27838,14216,13622,243,-1
3,13360,大島支庁,13976,7272,13915,6948,6967,61,-18
4,13361,大島町,8648,4854,8595,4327,4268,53,-15
4,13362,利島村,314,173,313,170,143,1,0
4,13363,新島村,3039,1386,3035,1455,1580,4,-5
4,13364,神津島村,1975,859,1972,996,976,3,2
3,13380,三宅支庁,3133,1924,3095,1680,1415,38,1
4,13381,三宅村,2817,1747,2780,1512,1268,37,0
4,13382,御蔵島村,316,177,315,168,147,1,1
3,13400,八丈支庁,8457,4662,8333,4185,4148,124,9
4,13401,八丈町,8275,4551,8153,4082,4071,122,9
4,13402,青ヶ島村,182,111,180,103,77,2,0
3,13420,小笠原支庁,2515,1362,2495,1403,1092,20,7
4,13421,小笠原村,2515,1362,2495,1403,1092,20,7
,,,,,,,,,
住民基本台帳による世帯と人口_平成23年7月,,,,,,,,,
住民基本台帳による世帯と人口 平成23年7月１日現在,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,
