地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13297867,11281,12880328,6367641,6512687,417539,198931,218608,6786676,6478014,224371,84291
1,13100,区部,9102241,10113,8751101,4317217,4433884,351140,168968,182172,4833406,4574919,192731,65756
1,13200,市部,4109809,1157,4044325,2007495,2036830,65484,29591,35893,1912532,1863100,31294,18138
2,13300,郡部,58754,43,58088,29181,28907,666,298,368,25575,25068,245,262
2,13350,島部,27063,-32,26814,13748,13066,249,74,175,15163,14927,101,135
1,13100,区部,9102241,10113,8751101,4317217,4433884,351140,168968,182172,4833406,4574919,192731,65756
4,13101,千代田区,56817,272,54284,26939,27345,2533,1430,1103,31856,29893,1593,370
4,13102,中央区,137395,348,132255,62855,69400,5140,2608,2532,79203,75242,2966,995
4,13103,港区,240101,712,221398,103470,117928,18703,9931,8772,137059,123899,10207,2953
4,13104,新宿区,328504,957,291973,145994,145979,36531,18563,17968,205171,176062,25670,3439
4,13105,文京区,207242,400,199583,94974,104609,7659,3748,3911,112906,106789,4962,1155
4,13106,台東区,189911,306,176520,90696,85824,13391,6586,6805,109804,99879,8005,1920
4,13107,墨田区,258043,455,248260,124952,123308,9783,4015,5768,138821,131619,4682,2520
4,13108,江東区,493525,509,470876,234338,236538,22649,10497,12152,248990,234509,10164,4317
4,13109,品川区,372029,122,361284,177135,184149,10745,5251,5494,205412,197510,5475,2427
4,13110,目黒区,269731,325,262386,123376,139010,7345,3897,3448,150247,144564,4049,1634
4,13111,大田区,707781,599,688413,344892,343521,19368,9025,10343,370086,356163,9359,4564
4,13112,世田谷区,874250,532,858533,408304,450229,15717,8050,7667,455740,443359,8243,4138
4,13113,渋谷区,217205,252,207976,99209,108767,9229,5078,4151,131175,124063,5371,1741
4,13114,中野区,317035,388,304768,153602,151166,12267,6115,6152,191105,180878,8326,1901
4,13115,杉並区,547470,152,536048,257389,278659,11422,5663,5759,305023,295653,7025,2345
4,13116,豊島区,275403,723,253947,128092,125855,21456,10703,10753,166796,149559,14981,2256
4,13117,北区,337946,414,322044,160223,161821,15902,7595,8307,183119,171765,8831,2523
4,13118,荒川区,209086,647,192878,96445,96433,16208,7759,8449,108620,97537,8784,2299
4,13119,板橋区,543669,593,525711,261105,264606,17958,7969,9989,286271,272955,9540,3776
4,13120,練馬区,714776,209,701258,344297,356961,13518,6131,7387,350880,340649,6729,3502
4,13121,足立区,673834,448,650365,327885,322480,23469,10134,13335,323908,308697,8972,6239
4,13122,葛飾区,449954,229,435008,218395,216613,14946,6842,8104,218055,207895,6760,3400
4,13123,江戸川区,680534,521,655333,332650,322683,25201,11378,13823,323159,305780,12037,5342
1,13200,市部,4109809,1157,4044325,2007495,2036830,65484,29591,35893,1912532,1863100,31294,18138
4,13201,八王子市,562978,38,553528,277890,275638,9450,4286,5164,257382,250132,4757,2493
4,13202,立川市,179243,103,175952,87785,88167,3291,1408,1883,86236,83987,1301,948
4,13203,武蔵野市,142179,71,139700,66991,72709,2479,1269,1210,73986,71951,1434,601
4,13204,三鷹市,181997,246,179019,87900,91119,2978,1437,1541,90365,87912,1642,811
4,13205,青梅市,137137,-113,135695,68148,67547,1442,528,914,61093,59995,484,614
4,13206,府中市,254579,-393,250297,126868,123429,4282,1764,2518,119789,116526,2095,1168
4,13207,昭島市,112751,104,110558,55382,55176,2193,987,1206,51867,50349,938,580
4,13208,調布市,224317,34,220671,108536,112135,3646,1692,1954,111411,108580,1841,990
4,13209,町田市,426415,-33,421538,207486,214052,4877,2242,2635,188238,184653,2012,1573
4,13210,小金井市,117424,152,115407,57264,58143,2017,975,1042,57380,55761,1174,445
4,13211,小平市,186951,78,182823,90250,92573,4128,1965,2163,86621,83321,2538,762
4,13212,日野市,180822,176,178267,89867,88400,2555,1208,1347,83930,81980,1289,661
4,13213,東村山市,151565,-28,149348,73427,75921,2217,995,1222,70457,68847,938,672
4,13214,国分寺市,119486,87,117776,58404,59372,1710,784,926,57041,55730,913,398
4,13215,国立市,74593,73,73274,36145,37129,1319,593,726,35811,34872,608,331
4,13218,福生市,58643,33,55926,28093,27833,2717,1344,1373,29381,27247,1589,545
4,13219,狛江市,78933,34,77915,38046,39869,1018,481,537,39517,38716,476,325
4,13220,東大和市,86124,36,85055,42199,42856,1069,402,667,37743,37014,379,350
4,13221,清瀬市,74397,77,73322,35552,37770,1075,462,613,34145,33357,415,373
4,13222,東久留米市,116469,16,114807,56496,58311,1662,684,978,52186,51065,525,596
4,13223,武蔵村山市,72098,16,70956,35616,35340,1142,442,700,30253,29462,359,432
4,13224,多摩市,147601,8,145563,71653,73910,2038,816,1222,68544,67032,869,643
4,13225,稲城市,86443,112,85334,43186,42148,1109,528,581,37147,36375,430,342
4,13227,羽村市,56607,8,55423,28229,27194,1184,514,670,25162,24344,491,327
4,13228,あきる野市,81731,-78,81087,40543,40544,644,259,385,34236,33768,214,254
4,13229,西東京市,198326,300,195084,95539,99545,3242,1526,1716,92611,90124,1583,904
1,13550,町村部,85817,11,84902,42929,41973,915,372,543,40738,39995,346,397
2,13300,郡部,58754,43,58088,29181,28907,666,298,368,25575,25068,245,262
4,13303,瑞穂町,33804,-13,33260,16882,16378,544,258,286,14343,13939,205,199
4,13305,日の出町,17037,76,16955,8379,8576,82,22,60,7307,7238,24,45
4,13307,檜原村,2386,-6,2373,1192,1181,13,3,10,1179,1169,6,4
4,13308,奥多摩町,5527,-14,5500,2728,2772,27,15,12,2746,2722,10,14
2,13350,島部,27063,-32,26814,13748,13066,249,74,175,15163,14927,101,135
3,13360,大島支庁,13401,-26,13329,6701,6628,72,46,26,7230,7160,45,25
4,13361,大島町,8263,-21,8202,4165,4037,61,42,19,4811,4752,42,17
4,13362,利島村,304,-2,304,163,141,0,0,0,165,165,0,0
