年月,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
接続係数,1.002603,1.040704,1.376951,1.399478,1.303439,0.938654,1.089787,1.83536,0.840406,1.066386,0.772959,0.761268,0.959213,0.877461,1.273374,1.127336,1.104386,0.979356,1.183761,1.344363,2.271851,1.682129,1.091342,0.975374,1.02268
2000-01,135.1,156.9,194.7,887.4,―,―,―,―,198.3,124.2,99.5,51.1,112.2,109.3,627,206.5,217.2,85.1,―,242.3,409.2,356.9,160.2,252.4,140.9
2000-02,159,170.4,204.1,887.4,―,―,―,―,201.8,154.1,125.4,64.4,145,128.5,659.6,225.5,326.2,95.3,―,284.5,428.9,479.9,185.2,277.2,155.5
2000-03,187.9,181,214.1,747.2,―,―,―,―,188.3,217.6,166.2,71.6,148.6,134.6,667.1,253.9,313.1,104.9,―,318.1,481.4,556.4,201,287.4,169.9
2000-04,148,170.1,219.3,655.9,―,―,―,―,218,130.7,116.1,52.7,133.1,118,679.7,232.9,254.8,107.1,―,310.1,492.1,444.4,242.2,201.1,214.9
2000-05,125.3,162.8,209.3,669.1,―,―,―,―,206.8,109.3,65.9,49,125.5,111,642.7,209,291.2,102.3,―,249.5,453.9,383.5,132.2,217.4,156.2
2000-06,142.8,176.7,222,704.9,―,―,―,―,206.6,121.6,85.3,58.8,146.4,134.2,642.7,230.5,229.9,101.9,―,269.5,501.2,374.3,162,268.8,167
2000-07,139.5,172.5,226.5,728.4,―,―,―,―,191,123.8,83.4,58.9,142.5,134.6,605.6,219.5,220.3,102.9,―,258.4,495,382.9,121.5,258.6,160.5
2000-08,136.1,156.4,214.3,748.6,―,―,―,―,201.4,137.1,78.5,51.8,125.8,129,549.7,206.3,256.4,101.8,―,249.5,439.4,424.6,106.3,251.6,142.4
2000-09,164.3,177.6,221.6,753.3,―,―,―,―,208.4,186.7,112.1,66,138.2,135.9,625.7,235.6,240.2,98.2,―,277.9,455.1,464.6,132.9,300.8,162.9
2000-10,141.7,179.4,234.9,664.2,―,―,―,―,240.5,130.2,85.7,50.5,139.3,135.3,627.8,227,215.8,100.8,―,264.3,484.8,425.4,140.5,214,155.7
2000-11,141.4,179.6,243.4,720.9,―,―,―,―,235.1,131.3,93.5,44.8,139.8,136.2,617.6,211.8,202,101.3,―,251.9,458.7,378.5,143.9,232.8,152.1
2000-12,146.5,175.2,222.7,772.7,―,―,―,―,236.6,150.8,103.3,39.7,148.7,132.4,594.3,183.9,174.4,116.4,―,254.4,341.5,392.3,184.9,258.2,165.8
2001-01,122.8,161.8,208.9,804.6,―,―,―,―,176.2,111.8,88.3,38.5,116.4,109.5,502.6,165,181.7,91,―,223.4,310.1,366.5,142.9,226.6,140.5
2001-02,139.6,170.1,218.1,803.9,―,―,―,―,161.3,126.9,107.9,47.1,139,127.6,562.2,172.5,250.6,91.3,―,263.1,324.6,472.7,160.5,243.1,168.1
2001-03,178.1,173,198,857.7,―,―,―,―,135.3,197.7,175.9,56,148.6,133.8,573.5,204.5,257.4,104.6,―,315.7,434.6,569.7,213.8,310.3,158.4
2001-04,123.9,168.4,210.4,711.2,―,―,―,―,174.5,119.5,80.1,34.7,135.5,129.9,591.2,172.8,236.6,106.2,―,282.9,460.7,461.6,175.1,191.4,182.1
2001-05,118.9,156.4,190.8,734.7,―,―,―,―,148.2,94.2,89.7,38.8,133.5,120.8,485.7,167.5,219,99.6,―,233.7,353.5,396.3,147.4,198.1,138.3
2001-06,129.9,170.4,183.3,736.1,―,―,―,―,155.9,100.1,106.7,44.3,156.7,137.1,549,160.5,197.8,99.1,―,232.2,443.9,328,127.1,228.3,144
2001-07,123.4,155.2,179.6,790.7,―,―,―,―,144.6,104.1,86.3,43.4,151.2,133.7,565.5,150.6,171.6,101.3,―,241.3,478.2,376.8,121.8,216.9,131.1
2001-08,122.5,144.7,172.9,718.8,―,―,―,―,131.3,108.8,104.3,38.1,133.8,119.2,510.9,161.3,216.2,95.5,―,230.2,374.9,401.4,112.6,224.9,130.2
2001-09,141.6,159.2,181.9,748.6,―,―,―,―,125.8,165.5,128.3,44.8,140.4,125.6,516.5,156.5,219,93.4,―,257.6,389.6,396.6,180.9,300.4,140.9
2001-10,114.6,157.9,188,707.7,―,―,―,―,121.9,93.9,78.7,43.3,158.1,133.5,537.1,163.5,187.6,94.5,―,240.1,496.9,355.8,144.4,184.9,127.6
2001-11,117.7,158,181.9,705.6,―,―,―,―,126.6,105.5,90.2,39.1,154.3,129.6,527,148.8,183.4,90,―,224.2,424.6,317.8,115,204.7,151.7
2001-12,118,149,169.4,690.5,―,―,―,―,100.7,115.8,106.3,36.8,148.6,122.8,482.5,139.8,144.5,101.5,―,216,351.7,336.3,109.1,208.8,147.6
2002-01,104.3,140.5,163,577.8,―,―,―,―,97.2,103.3,90.7,37.5,117.4,106.2,332.4,103.9,141.7,78.7,―,183.2,295.6,259.9,104.8,183.9,133.7
2002-02,120.9,152.2,177.4,544,―,―,―,―,100.7,113.9,114.4,44,125.6,124,373.1,121.5,207.8,87.6,―,229.3,339,313,176.6,192.4,169.5
2002-03,156.9,163.4,171.3,562.6,―,―,―,―,107.7,188.2,181.3,51.5,135.2,114.4,378.2,117.6,190.1,84.8,―,281.6,413,369.6,267.9,255.2,176.8
2002-04,105.3,150.6,167.7,562.6,―,―,―,―,114.6,82.8,78.2,39.7,137.7,127.1,346.7,121.3,209.6,87.5,―,229.3,327.4,343,191.2,141.4,158.8
2002-05,106.5,150,169.2,584,―,―,―,―,117.7,90,79.8,40.7,130.5,120.1,334.8,133.3,178,81.5,―,206.5,332.8,259.6,157.8,152,162.1
2002-06,114.3,161.2,169.9,566.1,―,―,―,―,127.4,97.4,92,46.1,138.3,127.3,369.5,113.9,151.5,79.2,―,198.2,401.4,229.1,125,207,131.8
2002-07,121.1,159,172.5,603.3,―,―,―,―,146,102.9,88.9,48.9,150.9,135.1,346.7,106.5,164.8,82.5,―,231,383,291.2,181.8,215.2,158.4
2002-08,114.6,140.1,164.7,576.4,―,―,―,―,133.5,100.3,102.3,38.9,123,111.6,305.4,100.6,190.1,79.5,―,192,323.5,306,112.2,200.8,106.5
2002-09,141,160.5,168,604,―,―,―,―,140.1,149.8,136.4,48.6,129.6,112.6,323.6,102.6,189.5,80.1,―,225.3,378.7,325,153.3,224.4,136.7
2002-10,117.8,165,173.2,689.1,―,―,―,―,144.3,86.3,93.5,46.5,148.7,135.3,348.6,122,172.1,84.9,―,211.3,442.8,289,112.6,136,144.7
2002-11,120.5,164,169.2,618.6,―,―,―,―,124.3,109.2,96.7,55.2,145.9,134.3,349.9,101.5,160,84.5,―,205.6,451,239.2,100.2,162.6,157
2002-12,120.5,160,164.1,604.7,―,―,―,―,117.6,118.7,97.9,54.7,141.7,127.3,333,99.7,141.3,92.3,―,213.2,399.8,242.9,137.3,201.1,163.8
2003-01,112.1,150,161.5,567.5,―,―,―,―,120.6,96.1,91,55.9,110,112.7,268.8,75.5,159.7,71.3,111.2,198.8,332.1,261.9,148.3,180.6,143.3
2003-02,121.9,159.6,161.4,570.8,―,―,―,―,116.6,103.4,112,59.5,133.8,122.1,316.6,73.2,200.1,77.1,118.4,217.8,393.7,328.2,138.1,184.4,165.1
2003-03,154.7,167.1,165.1,595.8,―,―,―,―,136,203.9,184.3,64.2,139.2,127.2,307.3,91.9,163.7,84.2,130.9,288.1,416.7,363.3,320.5,219.7,138.8
2003-04,113.1,155.7,171.7,588.9,―,―,―,―,123.3,70.6,81.5,53.7,132.9,149.6,298,98.1,148.1,84.8,121,204.1,433.2,332.6,133,117.1,125.9
2003-05,108.1,149.4,177.2,548,―,―,―,―,131.8,78.5,76.1,52.1,135.5,112.1,270.2,107.5,165.1,83,114.1,168.3,386,227.4,87.3,129.3,111.1
2003-06,120.3,146.7,178.2,525.2,―,―,―,―,127.6,104.9,87,60.8,137.7,130.8,272.5,103.3,170.8,84.5,132.7,182.8,462.5,182.7,101.3,179.8,90.4
2003-07,118.3,152.3,180.4,521.2,―,―,―,―,122.8,79.9,85.4,67.7,139.7,129.9,286.6,97.1,139.8,88.2,117.9,206.9,465.5,255.2,121.8,201.3,120.2
2003-08,108.6,133.2,151.7,462.4,―,―,―,―,123.6,91,81.9,56.6,114.1,106.6,266.3,79.6,138.4,80.3,111.2,171.8,363.7,294.9,87.2,196.1,113
2003-09,137.1,154.1,171.4,454.1,―,―,―,―,143.2,168.6,109.6,75.8,132.8,126.9,307.9,112.8,127.9,86.9,120.4,182.3,372.8,277.7,83.1,230.9,135.4
2003-10,121.7,153.6,182.2,517.7,―,―,―,―,138.8,81.2,89.7,67.1,136.2,131.8,318.3,110.3,155.2,91.4,121.7,201.7,440.1,250.1,91.3,187.5,154.2
2003-11,124.6,154.8,168.5,537.7,―,―,―,―,139.9,98.7,80.2,64.3,112.2,129.1,330.8,94.8,133.6,89.3,128,217.8,463.7,204.2,74.4,165.3,211.3
2003-12,128.8,153,162.8,548.7,―,―,―,―,144.7,127.5,92.1,64.2,129.2,132.4,289.3,94.8,159.4,98.5,129.3,212.4,415.7,222.5,108,163.6,184.8
2004-01,117.1,143,157,494.2,―,―,―,―,147.7,93.7,96.2,66.8,108.6,114,230.9,78,151.2,71.7,107.6,215.6,400.3,250,130.7,181.7,171.6
2004-02,126.8,153.5,170.1,473.4,―,―,―,―,144,115.8,102.9,70.6,123.4,125,280.8,76.8,179.4,76.5,111.2,204.9,365.5,287.1,129.1,180.2,159.3
2004-03,163.3,169.5,163.3,631,―,―,―,―,177.2,214.6,143.3,78.1,138.8,125.2,305.7,98.4,132.9,88.2,121.7,307.7,456.4,350.6,336.8,182.7,161.2
2004-04,120,158.4,164.1,698.8,―,―,―,―,145.7,80,73.9,67.5,142.5,132.1,280.5,95.1,139.8,85.8,115.1,208.9,451.6,288.7,110.3,135.5,153.6
2004-05,115,150.6,157.4,674.5,―,―,―,―,150.6,94.8,72,58,119.9,114.7,241,92.8,149.4,77.5,109.9,172.8,423.5,222.5,76.3,137,113.9
2004-06,128.5,164.7,164.7,637.2,―,―,―,―,170.9,118.4,82.6,66.6,140.3,117.3,255.2,92.1,162,83.9,126.5,177.9,416.7,194.6,92.8,183.5,107.6
2004-07,125.7,158,174,687,―,―,―,―,156.7,101.3,84.6,63.1,147.9,126.1,263.2,91.3,138.6,88.3,114.2,209.3,388.3,225.1,175.1,198.9,113.9
2004-08,114.5,145,156.6,559.8,―,―,―,―,155.9,109.2,72.3,57.5,114.9,106.6,253.3,80,124.7,80.8,107.8,178.4,392.1,264.1,102.7,192.3,103
2004-09,136.9,158.9,168,710.5,―,―,―,―,164,177.4,96,66.7,133.5,124.1,263.5,85.2,111.8,84.3,119.9,195.3,418.7,267,83.2,226.4,148.4
2004-10,118.8,164,166.3,693.9,―,―,―,―,158.2,77.3,64.3,60.7,127.7,123.5,298.7,99.7,144.1,86.4,120.5,208.5,518.7,247.1,88.3,151.2,142.3
2004-11,122.6,164.1,171.4,712.6,―,―,―,―,161.7,106.6,67.8,62.7,131.7,131.1,261.3,100.6,131.8,86,125.6,229.8,484.4,213.3,78,156.4,229.4
2004-12,126.2,158.1,162.6,667,―,―,―,―,158.9,124.1,74,59.8,134.3,114,241.6,90.8,147.9,93.6,127,229.8,420.7,210.9,154.4,160.5,181.6
