四半期,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
ウェイト,10000,6026.1,3941.2,3423.8,517.4,2084.9,635.8,1449.1,3973.9,2532.7,1441.2
2018-Q1,120.2,126.1,123.7,124.3,120.0,130.7,156.4,119.3,111.2,111.8,110.2
2018-Q2,109.5,107.4,92.1,88.3,117.6,136.3,161.2,125.4,112.8,115.0,109.0
2018-Q3,115.3,118.2,114.0,113.3,118.6,126.4,152.5,114.9,110.9,113.8,105.9
2018-Q4,118.6,118.6,106.4,103.1,128.2,141.9,170.8,129.3,118.4,122.4,111.6
2019-Q1,115.7,119.6,118.9,118.6,121.4,121.1,140.5,112.6,109.7,110.1,109.0
2019-Q2,107.0,105.4,95.1,91.9,116.0,124.9,144.1,116.4,109.3,110.6,107.0
2019-Q3,116.1,121.6,118.1,118.4,116.2,128.3,162.7,113.2,107.7,110.0,103.8
2019-Q4,113.2,116.3,107.3,106.2,114.7,133.1,166.9,118.2,108.6,114.3,98.8
2020-Q1,115.8,117.1,116.2,118.5,101.3,118.7,136.4,110.9,113.8,119.4,103.9
2020-Q2,88.2,87.2,84.4,83.0,93.6,92.5,91.7,92.8,89.6,85.3,97.1
2020-Q3,93.1,93.3,94.6,93.9,99.2,90.9,79.8,95.9,92.8,90.7,96.5
2020-Q4,103.0,102.4,104.8,104.6,105.9,97.9,92.0,100.5,103.8,104.5,102.5
2021-Q1,108.9,112.5,123.0,126.6,99.4,92.5,85.8,95.4,103.5,104.4,102.0
2021-Q2,105.3,105.2,109.6,110.2,105.2,96.9,98.1,96.4,105.4,107.9,101.1
2021-Q3,105.9,109.8,116.4,118.4,102.6,97.4,92.4,99.5,100.1,104.3,92.7
2021-Q4,109.6,114.5,121.2,121.4,120.0,101.8,104.2,100.8,102.1,105.2,96.6
2022-Q1,113.8,120.8,134.6,138.6,107.8,94.8,92.7,95.7,103.2,106.4,97.8
2022-Q2,106.3,107.9,112.4,113.6,104.5,99.5,92.8,102.4,103.9,107.8,97.0
2022-Q3,107.8,109.5,116.8,118.5,105.4,95.6,91.1,97.5,105.4,112.5,92.9
2022-Q4,112.4,115.2,122.4,123.5,115.1,101.6,101.3,101.8,108.0,115.0,95.8
2023-Q1,111.0,119.4,133.8,138.3,104.0,92.4,85.5,95.4,98.2,102.5,90.7
2023-Q2,102.1,101.6,103.7,103.4,105.8,97.6,90.5,100.7,102.8,111.8,87.0
2023-Q3,103.9,105.0,107.2,107.3,106.4,101.0,102.9,100.1,102.2,120.4,70.4
2023-Q4,107.8,110.1,114.0,113.9,114.4,102.8,92.6,107.2,104.2,121.2,74.3
2024-Q1,106.9,111.7,119.8,122.2,103.6,96.6,79.1,104.3,99.4,117.1,68.3
2024-Q2,101.7,101.2,98.9,98.2,103.3,105.6,95.3,110.1,102.5,119.9,71.9

東京都工業指数 四半期指数（令和２年基準）平成３０年第１四半期～令和６年第２四半期,,,,,,,,,,,
生産指数（特殊分類別、原指数）,,,,,,,,,,,
（注）四半期指数は速報値で公表し、翌月に確報値に修正している。,,,,,,,,,,,
