産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.7,19.7,17.3,142.1,157.6,121.8,135.2,148.1,118.2,6.9,9.5,3.6
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,21.3,21.7,19.6,174.2,179.9,151.8,163.2,167,148.2,11,12.9,3.6
F 製造業,20.7,21.1,20,165.3,173.8,144.9,156.4,162.7,141.3,8.9,11.1,3.6
G 電気・ガス・熱供給・水道業,19.5,19.6,19.1,161.1,163.2,152.6,150.3,152.4,141.3,10.8,10.8,11.3
H 情報通信業,19.9,19.9,19.7,158.9,161.7,152.2,145.7,146.7,143.3,13.2,15,8.9
I 運輸業,20.6,20.6,20.7,175.8,182.5,145.4,154.1,157.7,137.7,21.7,24.8,7.7
J 卸売・小売業,18.5,19.2,17.4,140.8,153.7,123,135.3,146.9,119.2,5.5,6.8,3.8
K 金融・保険業,20,20.7,19.5,160.1,172.5,149.6,148.6,156.9,141.6,11.5,15.6,8
L 不動産業,20.6,21.2,19.2,165.9,175.5,143.1,157.6,165.5,138.9,8.3,10,4.2
"M 飲食店,宿泊業",15.3,16.8,14.1,105.2,124.2,89.2,102,118.7,88,3.2,5.5,1.2
"N 医療,福祉",16.5,17,16.3,110.5,124.6,106.7,107.5,119.8,104.2,3,4.8,2.5
"O 教育,学習支援業",16.1,16,16.1,115.9,113.5,117.7,114,111.8,115.7,1.9,1.7,2
P 複合サービス事業,20.1,20.6,19.6,157.6,164.6,151,145.1,152.7,138,12.5,11.9,13
Q サービス業（他に分類されないもの）,20,20.7,19.1,151.5,163,135.2,144.7,154.2,131.2,6.8,8.8,4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年７月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
