産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,270150,339257,180977,262994,329391,177317,253028,9966,7156,9866,3660
D 鉱業,-,-,-,-,-,-,-,-,-,-,-
E 建設業,388610,422188,257543,366653,398916,240722,347375,19278,21957,23272,16821
F 製造業,308371,357892,193782,304013,352835,191043,291513,12500,4358,5057,2739
G 電気・ガス・熱供給・水道業,352158,386963,206117,351809,386531,206117,333478,18331,349,432,0
H 情報通信業,375309,416002,277004,359938,395715,273507,342751,17187,15371,20287,3497
I 運輸業,371653,408212,214191,343754,378176,195499,303755,39999,27899,30036,18692
J 卸売・小売業,261665,331666,173312,255906,323873,170120,249391,6515,5759,7793,3192
K 金融・保険業,334250,444325,230505,328208,436383,226254,304248,23960,6042,7942,4251
L 不動産業,391285,453965,235920,378194,438423,228904,372197,5997,13091,15542,7016
"M 飲食店,宿泊業",128349,172008,91525,128147,171602,91495,124348,3799,202,406,30
"N 医療,福祉",209355,272508,191330,202114,261980,185028,195799,6315,7241,10528,6302
"O 教育,学習支援業",244976,277842,222439,236791,266958,216105,234799,1992,8185,10884,6334
P 複合サービス事業,340588,420578,265282,321800,395398,252513,299290,22510,18788,25180,12769
Q サービス業（他に分類されないもの）,291052,346888,210994,287133,341068,209800,277967,9166,3919,5820,1194
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１０月分,,,,,,,,,,,
第８－１表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模５人～２９人）,,,,,,,,,,,
