事業所規模,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),超過労働給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５～29人,平成17,2005,年平均,317844,394956,213803,273796,338155,186962,263599,10197,44048,56801,26841
５～29人,平成18,2006,年平均,318621,390200,218327,273498,333397,189570,262175,11323,45123,56803,28757
５～29人,平成19,2007,年平均,311198,390251,205738,264419,329283,177887,253796,10623,46779,60968,27851
５～29人,平成19,2007,1月,278853,347071,185452,262330,326081,175045,251834,10496,16523,20990,10407
５～29人,平成19,2007,2月,274063,338418,184459,267594,329245,181754,256402,11192,6469,9173,2705
５～29人,平成19,2007,3月,281341,349238,188150,267858,332293,179419,256262,11596,13483,16945,8731
５～29人,平成19,2007,4月,278019,347158,184396,268019,333474,179385,256314,11705,10000,13684,5011
５～29人,平成19,2007,5月,273891,340931,182867,265267,330143,177180,254447,10820,8624,10788,5687
５～29人,平成19,2007,6月,371523,463015,247843,267821,332211,180777,256714,11107,103702,130804,67066
５～29人,平成19,2007,7月,371162,475690,232824,260160,324488,175024,250093,10067,111002,151202,57800
５～29人,平成19,2007,8月,278891,352072,184637,261193,327649,175600,250960,10233,17698,24423,9037
５～29人,平成19,2007,9月,265383,334475,176638,260846,327887,174734,251249,9597,4537,6588,1904
５～29人,平成19,2007,10月,270150,339257,180977,262994,329391,177317,253028,9966,7156,9866,3660
５～29人,平成19,2007,11月,282886,353591,190915,263556,328762,178737,253230,10326,19330,24829,12178
５～29人,平成19,2007,12月,505877,639082,328542,265433,329677,179905,255049,10384,240444,309405,148637
30～99人,平成17,2005,年平均,407484,496440,271357,328170,398758,220152,307925,20245,79314,97682,51205
30～99人,平成18,2006,年平均,407296,494973,273071,325373,394378,219734,303436,21937,81923,100595,53337
30～99人,平成19,2007,年平均,425608,509899,279802,336918,399631,228439,316945,19973,88690,110268,51363
30～99人,平成19,2007,1月,341378,406742,230165,330307,392323,224790,311286,19021,11071,14419,5375
30～99人,平成19,2007,2月,335421,399456,224635,331273,393588,223463,312366,18907,4148,5868,1172
30～99人,平成19,2007,3月,379757,453658,250371,337388,400121,227554,316131,21257,42369,53537,22817
30～99人,平成19,2007,4月,366339,433312,247931,343726,404083,237015,321529,22197,22613,29229,10916
30～99人,平成19,2007,5月,364589,429512,251882,336340,396871,231258,316198,20142,28249,32641,20624
30～99人,平成19,2007,6月,675348,821924,424720,337810,400703,230270,318724,19086,337538,421221,194450
30～99人,平成19,2007,7月,444688,542940,277870,336810,400649,228421,317002,19808,107878,142291,49449
30～99人,平成19,2007,8月,347479,411632,235792,339174,401259,231086,319393,19781,8305,10373,4706
30～99人,平成19,2007,9月,344544,407984,233989,336312,398566,227824,317662,18650,8232,9418,6165
30～99人,平成19,2007,10月,349542,414207,237696,340350,403836,230544,320905,19445,9192,10371,7152
30～99人,平成19,2007,11月,382778,453448,261137,335456,400002,224357,315080,20376,47322,53446,36780
30～99人,平成19,2007,12月,770499,940034,477014,337951,403334,224766,316916,21035,432548,536700,252248
100～499人,平成17,2005,年平均,491137,571734,321385,382797,443139,255707,352041,30756,108340,128595,65678
100～499人,平成18,2006,年平均,497115,584004,322487,383329,446545,256279,352614,30715,113786,137459,66208
100～499人,平成19,2007,年平均,484486,566942,320819,374699,434161,256673,345211,29488,109787,132781,64146
100～499人,平成19,2007,1月,380536,443509,255857,372930,433558,252892,344219,28711,7606,9951,2965
