規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1136108,1356934,678542,427109,490048,296694,389859,37250,708999,866886,381848
100～499人,791400,948115,482835,373473,431855,258522,344730,28743,417927,516260,224313
100人以上,931934,1116458,561015,395340,455818,273771,363129,32211,536594,660640,287244
30～99人,706281,841427,451391,351240,411305,237954,332847,18393,355041,430122,213437
５～29人,363873,457135,247057,261277,328251,177387,250475,10802,102596,128884,69670
30人以上,849926,1017876,520101,379313,439863,260403,352124,27189,470613,578013,259698
５人以上,692118,856676,414305,340990,407777,228237,319121,21869,351128,448899,186068
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
