規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.5,162.1,148.4,13.7,14.4,88.4,84.8,3.6
５人以上,鉱業,18.5,154.1,136.6,17.5,14.3,65.5,63,2.5
５人以上,建設業,20.4,172.2,155.9,16.3,15.9,110.5,106.9,3.6
５人以上,製造業,19.2,157.4,146.2,11.2,17,107.6,104.6,3
５人以上,電気・ガス・熱供給・水道業,17.9,148.6,136.1,12.5,15.7,118.6,115,3.6
５人以上,情報通信業,19.2,166.7,145.8,20.9,16.1,113,101.8,11.2
５人以上,運輸業,20.2,180.8,156,24.8,16.1,108.9,99.3,9.6
５人以上,卸売・小売業,19.7,159.9,151,8.9,15.5,93.9,90.8,3.1
５人以上,金融・保険業,19.3,157.4,143.3,14.1,14.9,95.4,91.7,3.7
５人以上,不動産業,20,164.8,152.9,11.9,15.2,91,88.6,2.4
５人以上,"飲食店,宿泊業",20.9,179.5,166.8,12.7,13.1,77.8,74.5,3.3
５人以上,"医療,福祉",19.9,157.1,146.6,10.5,13.4,70.3,67.8,2.5
５人以上,"教育,学習支援業",18.3,141.2,131.9,9.3,8.4,46.6,45.1,1.5
５人以上,複合サービス事業,20.2,174.1,158,16.1,17.7,110.5,100.8,9.7
５人以上,サービス業（他に分類されないもの）,19.4,162,147.3,14.7,15.9,103.3,98.9,4.4
30人以上,調査産業計,19.3,161.3,146.2,15.1,15.1,94.1,89.7,4.4
30人以上,鉱業,18.5,154.1,136.6,17.5,14.3,65.5,63,2.5
30人以上,建設業,19.9,170.8,152.7,18.1,16.2,118.4,114.8,3.6
30人以上,製造業,18.8,154.6,142.3,12.3,16.9,115.7,111.1,4.6
30人以上,電気・ガス・熱供給・水道業,18,149.4,136.5,12.9,15.5,117.7,114,3.7
30人以上,情報通信業,19.1,168,145.1,22.9,17.3,121.7,108,13.7
30人以上,運輸業,20.2,180.3,156,24.3,15.6,112.2,102.1,10.1
30人以上,卸売・小売業,19.3,156.9,147.5,9.4,17.5,107.8,103.9,3.9
30人以上,金融・保険業,19.2,156.4,141.8,14.6,14.5,94.2,90.4,3.8
30人以上,不動産業,19.3,160.8,146.1,14.7,16,83.1,81.8,1.3
30人以上,"飲食店,宿泊業",22.2,200.6,183.4,17.2,13,77.4,74.2,3.2
30人以上,"医療,福祉",19.6,156.1,144.5,11.6,13.1,67.3,65.3,2
30人以上,"教育,学習支援業",18.3,140.9,131,9.9,6.8,40.9,39.2,1.7
30人以上,複合サービス事業,20.7,179.7,162,17.7,18.6,116.3,103.8,12.5
30人以上,サービス業（他に分類されないもの）,19.1,161.3,145.4,15.9,16.3,103.3,98.7,4.6
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
