規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5467591,39769,54569,5452627,1490722,51805,42819,1499872
５人以上,鉱業,2035,23,32,2026,6,0,0,6
５人以上,建設業,312537,2016,2518,312034,12371,124,382,12114
５人以上,製造業,646700,3208,5133,644855,52022,1377,1557,51762
５人以上,電気・ガス・熱供給・水道業,34040,86,238,33888,747,0,0,747
５人以上,情報通信業,697613,2561,6124,694048,25065,277,526,24818
５人以上,運輸業,316417,4189,3351,317255,47391,5752,811,52332
５人以上,卸売・小売業,1119644,6590,10281,1115953,377944,10101,9467,378578
５人以上,金融・保険業,346428,3765,4793,345402,20260,552,1248,19562
５人以上,不動産業,109192,1067,1913,108296,20331,299,248,20432
５人以上,"飲食店,宿泊業",194138,2457,2652,193942,415568,15357,11515,419411
５人以上,"医療,福祉",361881,1976,4994,358864,148978,6802,7451,148328
５人以上,"教育,学習支援業",247320,755,342,247734,134008,3727,1363,136371
５人以上,複合サービス事業,46582,526,528,46578,13174,21,1909,11288
５人以上,サービス業（他に分類されないもの）,1033064,10550,11670,1031752,222857,7416,6342,224123
30人以上,調査産業計,4005893,28020,37531,3996006,745120,24800,25381,744915
30人以上,鉱業,2035,23,32,2026,6,0,0,6
30人以上,建設業,193621,837,1662,192796,3907,34,11,3930
30人以上,製造業,498445,2179,3838,496787,30054,543,1010,29586
30人以上,電気・ガス・熱供給・水道業,31148,86,238,30996,514,0,0,514
30人以上,情報通信業,603248,1696,4697,600245,19932,228,526,19636
30人以上,運輸業,255366,3749,2681,256434,32987,1498,603,33882
30人以上,卸売・小売業,733219,4121,4930,732410,149353,2769,3122,149000
30人以上,金融・保険業,296058,3320,4445,294935,14669,390,1076,13981
30人以上,不動産業,65491,567,444,65564,14690,299,222,14817
30人以上,"飲食店,宿泊業",82617,1341,862,83095,138132,3838,4609,137362
30人以上,"医療,福祉",258022,1180,3938,255265,92960,5988,6618,92329
30人以上,"教育,学習支援業",208438,359,305,208492,81790,3493,1050,84233
30人以上,複合サービス事業,34975,488,490,34972,9637,21,1909,7750
30人以上,サービス業（他に分類されないもの）,743210,8074,8969,741989,156489,5699,4625,157889
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
