事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.5,108,95.6,105.9,89.4,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99,108.9,97.8,106.1,105.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,99.4,101.2,98.2,99.1,99.9,99.5,98.6,101.8,96.7,107.8,92,103.4,100.5,99.5,96.5
５人以上,平成19,2007,年平均,99.5,96.9,98.2,99.2,100.6,103,101.5,100.8,99,107.5,87,107,94.8,99.7,97.4
５人以上,平成20,2008,年平均,99.4,100.6,97.2,100.6,104.2,105.8,103.7,102.7,100.2,101,79,107.1,90,112.2,98.1
５人以上,平成21,2009,年平均,98.8,105,97.4,100.1,101.6,106.3,106.4,101.7,98.7,98.5,80,108.9,90.2,113.2,98.1
５人以上,平成21,2009,1月,97.7,110.9,97.2,100.4,100.7,104.4,105.7,99.2,97.5,95.8,77.7,106.2,91,111.7,98.1
５人以上,平成21,2009,2月,98.5,107.6,97.4,99.9,100.3,106.4,106.5,102.5,97,95.4,78.7,106.3,90.4,110.7,98.2
５人以上,平成21,2009,3月,99.5,106.8,98.5,100.7,101,107.8,104.9,102,99.7,96.1,82,107.4,92.8,109.7,99.6
５人以上,平成21,2009,4月,100,107.3,98.6,100.9,103.8,106.6,107.3,104.2,99.8,97.6,81.7,110.3,92.6,118.5,98.4
５人以上,平成21,2009,5月,97.2,107.3,93.7,98.5,100.6,104.5,106.3,99.9,96.3,97.2,76.9,107.9,91.9,112.3,95.9
５人以上,平成21,2009,6月,98.9,106,97.6,100.2,101.1,106.5,107.4,103.3,97.6,97.9,77.9,107.9,91.2,114.2,97.4
５人以上,平成21,2009,7月,99.1,105.5,98.7,100.1,102,107.1,106.5,101.1,99.8,100.9,83.7,111.9,89.8,111,97.5
５人以上,平成21,2009,8月,99.3,102.2,96.7,100.4,101.1,106.9,107,103,100,101.1,81.3,109.8,87.4,113,99.3
５人以上,平成21,2009,9月,98.6,102.8,99.4,100.4,102.4,106.5,107.9,101.2,99.3,101.4,78.2,111.2,88.7,112.7,96.8
５人以上,平成21,2009,10月,98.7,103.2,97.1,99.6,103.3,105.6,104.6,100,98.3,99.2,82.3,110,90.3,124.5,99.7
５人以上,平成21,2009,11月,98.6,100,96.9,100.1,101.7,105.9,105.9,101.5,99.4,98.3,80.4,110,87.4,109.6,98.3
５人以上,平成21,2009,12月,98.9,100.1,96.9,100,101.6,107.3,106.8,102.3,100.2,100.6,78.8,108.1,88.3,110.6,98.4
５人以上,平成16,2004,年平均（前年比（％））,1.5,0.8,2.3,0.2,18.5,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均（前年比（％））,1,-8.2,2.2,-5.7,-5.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成18,2006,年平均（前年比（％））,-0.6,1.2,-1.8,-0.9,-0.1,-0.5,-1.4,1.8,-3.3,7.8,-8,3.4,0.5,-0.5,-3.5
５人以上,平成19,2007,年平均（前年比（％））,0.1,-4.2,0,0.1,0.7,3.5,2.9,-1,2.4,-0.3,-5.4,3.5,-5.7,0.2,0.9
５人以上,平成20,2008,年平均（前年比（％））,-0.1,3.8,-1,1.4,3.6,2.7,2.2,1.9,1.2,-6,-9.2,0.1,-5.1,12.5,0.7
５人以上,平成21,2009,年平均（前年比（％））,-0.6,4.4,0.2,-0.5,-2.5,0.5,2.6,-1,-1.5,-2.5,1.3,1.7,0.2,0.9,0
