規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.2,17.2,146.1,152.2,134.7,131.6,136,123.5,14.5,16.2,11.2
100～499人,17.8,18.3,17,145.3,155,128.3,131.6,138.5,119.6,13.7,16.5,8.7
100人以上,17.8,18.3,17.1,145.6,153.7,131.1,131.6,137.3,121.3,14,16.4,9.8
30～99人,18.4,19.1,17.3,146.8,161.5,125.3,134.3,145,118.7,12.5,16.5,6.6
５～29人,17.9,19,16.5,137.1,153.7,117.3,128.9,142.7,112.4,8.2,11,4.9
30人以上,18,18.6,17.1,146,156.2,129,132.5,139.8,120.4,13.5,16.4,8.6
５人以上,18,18.7,16.9,143.3,155.4,125,131.4,140.5,117.6,11.9,14.9,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
