規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,7148633,4274518,2874115,423849,229428,194421,282954,163747,119207,7289528,4340199,2949329,23,12.6,38.4
５人以上,"鉱業,採石業,砂利採取業",1852,1465,387,128,100,28,30,23,7,1950,1542,408,2.7,2.7,2.9
５人以上,建設業,338162,292476,45686,17829,14701,3128,8188,7634,554,347803,299543,48260,3.7,2.2,12.9
５人以上,製造業,687037,508452,178585,27921,20037,7884,14051,10657,3394,700907,517832,183075,6.8,2.6,18.6
５人以上,電気・ガス・熱供給・水道業,22495,19824,2671,1434,1349,85,986,891,95,22943,20282,2661,9.2,9,11
５人以上,情報通信業,741916,566518,175398,38758,25815,12943,15428,10710,4718,765246,581623,183623,3.3,1.8,8
５人以上,"運輸業,郵便業",441691,358352,83339,22688,14931,7757,15172,12436,2736,449207,360847,88360,16.7,12.6,33.3
５人以上,"卸売業,小売業",1423375,774632,648743,62172,30180,31992,45633,25041,20592,1439914,779771,660143,29.3,15.3,45.8
５人以上,"金融業,保険業",379605,196593,183012,27060,15886,11174,18836,12347,6489,387829,200132,187697,9.8,0.8,19.5
５人以上,"不動産業,物品賃貸業",194970,129191,65779,11017,6849,4168,7961,5487,2474,198026,130553,67473,16,11.2,25.3
５人以上,"学術研究,専門・技術サービス業",366269,252654,113615,23324,15904,7420,12464,8102,4362,377129,260456,116673,4.6,1.5,11.3
５人以上,"宿泊業,飲食サービス業",616635,272996,343639,41192,17756,23436,34607,15634,18973,623220,275118,348102,68.4,54.4,79.5
５人以上,"生活関連サービス業,娯楽業",217855,102217,115638,15836,6003,9833,8365,4437,3928,225326,103783,121543,34.8,29.3,39.5
５人以上,"教育,学習支援業",397713,215400,182313,54785,28004,26781,45065,24871,20194,407433,218533,188900,30.6,24.1,38.2
５人以上,"医療,福祉",546662,152982,393680,36571,10997,25574,22185,6351,15834,561048,157628,403420,31.9,23.9,35.1
５人以上,複合サービス事業,19774,10027,9747,2204,1394,810,1839,1180,659,20139,10241,9898,23.8,9.3,38.8
５人以上,サービス業（他に分類されないもの）,752622,420739,331883,40930,19522,21408,32144,17946,14198,761408,422315,339093,25.6,13.7,40.4
30人以上,調査産業計,4970211,3098192,1872019,302642,173436,129206,190017,116937,73080,5082836,3154691,1928145,17.2,8.7,31
30人以上,"鉱業,採石業,砂利採取業",1852,1465,387,128,100,28,30,23,7,1950,1542,408,2.7,2.7,2.9
30人以上,建設業,208906,182434,26472,13216,10262,2954,5004,4587,417,217118,188109,29009,1.7,0.8,7.8
30人以上,製造業,533653,402363,131290,23729,17268,6461,11270,8896,2374,546112,410735,135377,5.5,2.2,15.5
30人以上,電気・ガス・熱供給・水道業,19499,17095,2404,1013,928,85,627,532,95,19885,17491,2394,7,6.2,12.3
30人以上,情報通信業,629287,486887,142400,32997,22008,10989,13186,9194,3992,649098,499701,149397,2.7,1.5,6.4
30人以上,"運輸業,郵便業",359624,294158,65466,20124,13172,6952,12397,10447,1950,367351,296883,70468,16.1,13.1,29
30人以上,"卸売業,小売業",852471,481126,371345,35659,21119,14540,22694,14669,8025,865436,487576,377860,23.8,10.4,41.2
30人以上,"金融業,保険業",318189,166921,151268,22956,13636,9320,16391,11101,5290,324754,169456,155298,9.6,0.8,19.3
30人以上,"不動産業,物品賃貸業",127934,83618,44316,7334,4175,3159,4618,3150,1468,130650,84643,46007,16.2,9.8,28
30人以上,"学術研究,専門・技術サービス業",263715,194925,68790,18971,13653,5318,10603,7473,3130,272083,201105,70978,1.9,0.7,5.4
30人以上,"宿泊業,飲食サービス業",236080,104134,131946,11572,4321,7251,12402,5520,6882,235250,102935,132315,49.6,34.6,61.2
30人以上,"生活関連サービス業,娯楽業",116401,57691,58710,5542,2145,3397,3808,1834,1974,118135,58002,60133,33.1,19.9,45.8
30人以上,"教育,学習支援業",310176,178433,131743,43824,24180,19644,35928,20900,15028,318072,181713,136359,26.8,22.1,33
30人以上,"医療,福祉",371690,113271,258419,27385,8473,18912,14460,4843,9617,384615,116901,267714,23.1,19.9,24.5
30人以上,複合サービス事業,6954,4440,2514,1335,1077,258,1084,950,134,7205,4567,2638,28.1,13.4,53.7
30人以上,サービス業（他に分類されないもの）,613780,329231,284549,36857,16919,19938,25515,12818,12697,625122,333332,291790,26.4,13.4,41.3
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年４月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
