規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,調査産業計,572027,399536,370357,29179,172491,110933,106543,102522,4021,4390
５人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－,－,－
５人以上,建設業,692735,398172,364817,33355,294563,154308,135352,131725,3627,18956
５人以上,製造業,723261,411835,384648,27187,311426,136138,121528,118273,3255,14610
５人以上,電気・ガス・熱供給・水道業,554829,434768,391686,43082,120061,185782,185782,183981,1801,－
５人以上,情報通信業,510133,411671,372290,39381,98462,148597,141721,136308,5413,6876
５人以上,"運輸業,郵便業",615680,415009,360432,54577,200671,137411,135093,115483,19610,2318
５人以上,"卸売業,小売業",653214,406140,384395,21745,247074,110837,103568,100643,2925,7269
５人以上,"金融業,保険業",581226,522484,483285,39199,58742,139980,135739,133109,2630,4241
５人以上,"不動産業,物品賃貸業",529597,391568,363430,28138,138029,110468,104138,97306,6832,6330
５人以上,"学術研究,専門・技術サービス業",615999,432784,407912,24872,183215,149562,132267,130415,1852,17295
５人以上,"宿泊業,飲食サービス業",401436,295106,270448,24658,106330,87689,86776,82353,4423,913
５人以上,"生活関連サービス業,娯楽業",403464,324147,304726,19421,79317,103403,101145,97344,3801,2258
５人以上,"教育,学習支援業",511058,423414,411026,12388,87644,96540,95422,94616,806,1118
５人以上,"医療,福祉",457825,347125,328948,18177,110700,129415,123503,121707,1796,5912
５人以上,複合サービス事業,402866,373890,351943,21947,28976,133833,131379,129408,1971,2454
５人以上,サービス業（他に分類されないもの）,433644,330214,303991,26223,103430,131071,127950,121671,6279,3121
30人以上,調査産業計,609279,419228,386406,32822,190051,119587,114660,110015,4645,4927
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－,－,－
30人以上,建設業,799770,423404,380918,42486,376366,196814,179106,171410,7696,17708
30人以上,製造業,792707,432099,400485,31614,360608,136077,123626,119405,4221,12451
30人以上,電気・ガス・熱供給・水道業,554829,434768,391686,43082,120061,185782,185782,183981,1801,－
30人以上,情報通信業,518111,418096,374787,43309,100015,148549,141279,135323,5956,7270
30人以上,"運輸業,郵便業",646093,425493,370509,54984,220600,147228,144673,121838,22835,2555
30人以上,"卸売業,小売業",736062,441123,415200,25923,294939,121818,112269,108782,3487,9549
30人以上,"金融業,保険業",585341,545217,502856,42361,40124,142813,140547,137501,3046,2266
30人以上,"不動産業,物品賃貸業",553867,411914,381275,30639,141953,99463,97391,90948,6443,2072
30人以上,"学術研究,専門・技術サービス業",665308,457095,428813,28282,208213,163661,159786,155769,4017,3875
30人以上,"宿泊業,飲食サービス業",497550,334504,311763,22741,163046,86209,84278,80533,3745,1931
30人以上,"生活関連サービス業,娯楽業",448483,350639,324506,26133,97844,102330,99253,94605,4648,3077
30人以上,"教育,学習支援業",533389,448582,435956,12626,84807,101109,99837,99078,759,1272
30人以上,"医療,福祉",471704,354675,335084,19591,117029,141428,134909,132981,1928,6519
30人以上,複合サービス事業,392646,379435,355811,23624,13211,125968,125968,122855,3113,－
30人以上,サービス業（他に分類されないもの）,429292,324097,297294,26803,105195,134045,130510,123655,6855,3535
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年７月分,,,,,,,,,,,
第５表  産業、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,,
