規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,20,166.4,152.3,14.1,13.7,82.4,79.8,2.6
５人以上,建設業,21.3,184.2,163.5,20.7,13.6,80,78.8,1.2
５人以上,製造業,20,167,155.4,11.6,16.3,108.8,105.1,3.7
５人以上,電気・ガス・熱供給・水道業,18.6,159,146.5,12.5,15.2,112.9,111,1.9
５人以上,情報通信業,19.7,167.5,150.9,16.6,13.8,89.8,86.4,3.4
５人以上,"運輸業,郵便業",20,173.5,153.6,19.9,16.8,119,106.4,12.6
５人以上,"卸売業,小売業",20.2,166.5,155.9,10.6,14.7,90.9,87.5,3.4
５人以上,"金融業,保険業",19,158.7,140.2,18.5,15.1,96,95.1,0.9
５人以上,"不動産業,物品賃貸業",20.5,171.9,156.6,15.3,13.6,83.7,80.1,3.6
５人以上,"学術研究,専門・技術サービス業",19.7,164.3,146.6,17.7,14.4,98.5,95.8,2.7
５人以上,"宿泊業,飲食サービス業",21.9,192.7,171.2,21.5,13,76.9,74.3,2.6
５人以上,"生活関連サービス業,娯楽業",21.1,175.8,163.6,12.2,13.4,87.4,86.4,1
５人以上,"教育,学習支援業",19.3,147.1,140,7.1,8.7,45.4,44.5,0.9
５人以上,"医療,福祉",20,156.2,149.6,6.6,13,68.4,67.5,0.9
５人以上,複合サービス事業,18.5,149.6,140.8,8.8,17.7,124.7,123,1.7
５人以上,サービス業（他に分類されないもの）,19.5,160.9,147.8,13.1,16,94.6,92.2,2.4
30人以上,調査産業計,19.7,164.1,149.8,14.3,14.3,85.6,83.1,2.5
30人以上,建設業,21.1,184,161.5,22.5,15,103.3,98.1,5.2
30人以上,製造業,19.8,165.9,153.4,12.5,15.9,107.5,103.9,3.6
30人以上,電気・ガス・熱供給・水道業,18.6,160.8,147.8,13,14.2,122.1,121.6,0.5
30人以上,情報通信業,19.6,167.6,150.2,17.4,13.5,85.2,83.1,2.1
30人以上,"運輸業,郵便業",19.8,170.8,152.6,18.2,16.7,122.7,110.1,12.6
30人以上,"卸売業,小売業",20,163.6,152.9,10.7,15.9,99.2,96,3.2
30人以上,"金融業,保険業",18.8,158.1,138.6,19.5,14.8,94.5,93.6,0.9
30人以上,"不動産業,物品賃貸業",19.9,167,152.3,14.7,15.8,84.9,83.5,1.4
30人以上,"学術研究,専門・技術サービス業",19.6,164.4,145.3,19.1,14.3,104.5,100.2,4.3
30人以上,"宿泊業,飲食サービス業",20.6,178.9,160,18.9,13.9,79.4,76.9,2.5
30人以上,"生活関連サービス業,娯楽業",20.9,174.4,161.1,13.3,14.2,91.4,90.2,1.2
30人以上,"教育,学習支援業",19.3,144.9,139.1,5.8,7.9,41.2,40.6,0.6
30人以上,"医療,福祉",20,155,148.1,6.9,13.7,69.4,68.7,0.7
30人以上,複合サービス事業,19,150.7,139,11.7,19.6,130.9,130.8,0.1
30人以上,サービス業（他に分類されないもの）,19.3,159.4,146.6,12.8,16.3,96.8,94.2,2.6
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年７月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
