規模,産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,調査産業計,372493,458485,255685,329048,400714,231700,306057,22991,43445,57771,23985
５人以上,"鉱業,採石業,砂利採取業",607513,649212,462295,574145,615041,431724,540354,33791,33368,34171,30571
５人以上,建設業,501919,541272,325144,425006,457240,280210,383708,41298,76913,84032,44934
５人以上,製造業,509651,572707,352119,390904,439126,270431,364943,25961,118747,133581,81688
５人以上,電気・ガス・熱供給・水道業,591935,614111,451498,584233,606356,444128,498586,85647,7702,7755,7370
５人以上,情報通信業,450251,483020,352423,415023,447982,316626,382591,32432,35228,35038,35797
５人以上,"運輸業,郵便業",391153,419836,289553,366067,390148,280769,318336,47731,25086,29688,8784
５人以上,"卸売業,小売業",362404,461879,236489,324507,410783,215300,309124,15383,37897,51096,21189
５人以上,"金融業,保険業",689125,902944,441080,498560,627993,348408,465374,33186,190565,274951,92672
５人以上,"不動産業,物品賃貸業",371335,427115,273417,345940,399225,252403,320658,25282,25395,27890,21014
５人以上,"学術研究,専門・技術サービス業",518563,597424,369825,452011,516620,330153,423255,28756,66552,80804,39672
５人以上,"宿泊業,飲食サービス業",128942,160401,104310,126339,157413,102009,117449,8890,2603,2988,2301
５人以上,"生活関連サービス業,娯楽業",244911,300406,201430,221812,271634,182776,208984,12828,23099,28772,18654
５人以上,"教育,学習支援業",321312,377823,267651,302088,353742,253040,291491,10597,19224,24081,14611
５人以上,"医療,福祉",276587,361993,245606,264214,350149,233042,248457,15757,12373,11844,12564
５人以上,複合サービス事業,364292,431599,262247,356456,423627,254618,327014,29442,7836,7972,7629
５人以上,サービス業（他に分類されないもの）,293505,344849,226774,276677,321700,218162,254628,22049,16828,23149,8612
30人以上,調査産業計,417636,500524,291967,362847,430790,259836,335199,27648,54789,69734,32131
30人以上,"鉱業,採石業,砂利採取業",607513,649212,462295,574145,615041,431724,540354,33791,33368,34171,30571
30人以上,建設業,555057,589039,373131,448811,476032,303084,398565,50246,106246,113007,70047
30人以上,製造業,577919,643766,409710,421012,468634,299359,390959,30053,156907,175132,110351
30人以上,電気・ガス・熱供給・水道業,597717,618791,462151,592781,613301,460782,500295,92486,4936,5490,1369
30人以上,情報通信業,463818,494963,365042,428368,459842,328548,393395,34973,35450,35121,36494
30人以上,"運輸業,郵便業",389492,417622,294972,369406,394506,285068,318207,51199,20086,23116,9904
30人以上,"卸売業,小売業",413643,517159,267731,361296,450028,236222,342898,18398,52347,67131,31509
30人以上,"金融業,保険業",760080,990769,479663,532857,668230,368303,497238,35619,227223,322539,111360
30人以上,"不動産業,物品賃貸業",389733,445092,288839,363828,416521,267793,337247,26581,25905,28571,21046
30人以上,"学術研究,専門・技術サービス業",541332,612406,387073,470580,530514,340499,436380,34200,70752,81892,46574
30人以上,"宿泊業,飲食サービス業",164299,202778,131544,156978,194538,125006,145207,11771,7321,8240,6538
30人以上,"生活関連サービス業,娯楽業",262268,346378,203427,227615,294530,180804,212967,14648,34653,51848,22623
30人以上,"教育,学習支援業",359859,419512,298088,337162,391178,281227,325598,11564,22697,28334,16861
30人以上,"医療,福祉",307089,372053,278243,293449,361622,263178,272970,20479,13640,10431,15065
30人以上,複合サービス事業,383338,431663,255478,373603,422397,244500,335702,37901,9735,9266,10978
30人以上,サービス業（他に分類されないもの）,276371,322490,222963,266314,309909,215828,243074,23240,10057,12581,7135
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年3月分,,,,,,,,,,,,
第１表  規模、産業、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,,
