規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1097418,459990,421331,38659,637428,158186,146051,138521,7530,12135
100～499人,845330,412619,384228,28391,432711,142469,134505,129207,5298,7964
100人以上,974341,436862,403216,33646,537479,149436,139623,133335,6288,9813
30～99人,689435,381571,350075,31496,307864,104489,99472,96284,3188,5017
５～29人,527976,357462,340365,17097,170514,98451,94846,91953,2893,3605
30人以上,894022,421275,388235,33040,472747,127381,119921,115154,4767,7460
５人以上,804305,405635,376503,29132,398670,114071,108385,104481,3904,5686
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年６月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
