規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,6057902,57526,71959,6044599,1963185,83409,69922,1975542
５人以上,"鉱業,採石業,砂利採取業",1486,18,10,1494,11,0,0,11
５人以上,建設業,376566,2286,2158,376696,8526,168,92,8600
５人以上,製造業,524224,3891,3949,524127,55360,1047,1081,55365
５人以上,電気・ガス・熱供給・水道業,24561,46,33,24576,516,2,8,508
５人以上,情報通信業,823144,5870,7848,821134,29901,1197,647,30483
５人以上,"運輸業,郵便業",412226,4347,4274,412260,63167,894,1230,62870
５人以上,"卸売業,小売業",1196224,10346,12591,1194318,466918,20077,11527,475129
５人以上,"金融業,保険業",377775,3348,3770,377348,22209,295,296,22213
５人以上,"不動産業,物品賃貸業",178267,1945,1520,178638,39066,719,1042,38797
５人以上,"学術研究,専門・技術サービス業",354810,2662,3098,354507,32294,322,623,31860
５人以上,"宿泊業,飲食サービス業",144314,2563,3133,143749,468255,16241,27588,456903
５人以上,"生活関連サービス業,娯楽業",142662,1641,1989,142312,103335,5666,3122,105881
５人以上,"教育,学習支援業",243626,4465,6813,241759,168867,12463,9075,171774
５人以上,"医療,福祉",515836,4204,7136,513179,257472,10184,6730,260651
５人以上,複合サービス事業,30912,113,245,30782,6885,52,130,6805
５人以上,サービス業（他に分類されないもの）,711269,9781,13392,707720,240403,14082,6731,247692
30人以上,調査産業計,4584732,40213,54734,4570846,1078010,44072,39575,1081872
30人以上,"鉱業,採石業,砂利採取業",1486,18,10,1494,11,0,0,11
30人以上,建設業,251836,1617,1245,252209,3099,8,39,3067
30人以上,製造業,390904,2071,3131,389804,36074,729,664,36179
30人以上,電気・ガス・熱供給・水道業,24561,46,33,24576,516,2,8,508
30人以上,情報通信業,726382,4264,6318,724296,23328,783,647,23496
30人以上,"運輸業,郵便業",347739,3890,3948,347642,53316,894,1230,53019
30人以上,"卸売業,小売業",831711,7135,9172,829673,218055,4765,3355,219466
30人以上,"金融業,保険業",312452,2568,3542,311472,15474,204,168,15516
30人以上,"不動産業,物品賃貸業",122408,1288,1131,122511,23652,480,414,23772
30人以上,"学術研究,専門・技術サービス業",254188,2017,2050,254137,17700,170,378,17510
30人以上,"宿泊業,飲食サービス業",63665,605,1908,62366,141320,2915,12289,131942
30人以上,"生活関連サービス業,娯楽業",81855,730,484,82100,54345,1013,1232,54127
30人以上,"教育,学習支援業",200064,3667,4852,199360,126431,10929,8606,128273
30人以上,"医療,福祉",370999,1947,4432,368789,143083,7506,3867,146447
30人以上,複合サービス事業,19922,113,149,19888,4573,52,130,4493
30人以上,サービス業（他に分類されないもの）,584560,8237,12329,580529,217033,13622,6548,224046
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年９月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
