事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成27,2015,年平均,17.6,18.8,16.2,136.1,153.3,115,127.6,141.7,110.3,8.5,11.6,4.7
５～29人,平成28,2016,年平均,17.6,18.7,16.2,135.5,151.9,115.7,127.1,140.6,110.9,8.4,11.3,4.8
５～29人,平成29,2017,年平均,17.4,18.7,16,134.9,152.5,114.1,126,140.1,109.3,8.9,12.4,4.8
５～29人,平成30,2018,年平均,17,18.3,15.7,128.6,145.3,110.2,120.9,134.8,105.6,7.7,10.5,4.6
５～29人,平成31・令和元,2019,年平均,16.7,17.9,15.3,126.4,143.4,108.1,118.8,133,103.5,7.6,10.4,4.6
５～29人,令和２,2020,年平均,16.2,17.4,14.8,122.3,139.2,104.5,115.7,129.8,100.8,6.6,9.4,3.7
５～29人,令和２,2020,1月,15.4,16.6,14.2,118.1,134,101.4,110.8,123.9,97.2,7.3,10.1,4.2
５～29人,令和２,2020,2月,16.4,17.6,15.1,125.5,142.7,107.7,117.6,131.5,103.1,7.9,11.2,4.6
５～29人,令和２,2020,3月,16.3,17.6,15,125.4,142.8,106.8,117.6,131.8,102.4,7.8,11,4.4
５～29人,令和２,2020,4月,15.8,17.3,14.2,119.6,137.7,100.5,113.8,129.5,97.2,5.8,8.2,3.3
５～29人,令和２,2020,5月,13.8,15.2,12.4,103.2,118.9,86.6,99,113,84.2,4.2,5.9,2.4
５～29人,令和２,2020,6月,16.6,18,15.1,124.4,141.9,106,118.9,134.1,102.9,5.5,7.8,3.1
５～29人,令和２,2020,7月,17.1,18.4,15.7,128.3,145.7,109.7,121.8,136.4,106.1,6.5,9.3,3.6
５～29人,令和２,2020,8月,15.6,16.7,14.6,117.3,132.3,101.3,111,123.3,97.9,6.3,9,3.4
５～29人,令和２,2020,9月,16.7,17.9,15.5,125.4,142.5,107.6,118.8,132.9,104.1,6.6,9.6,3.5
５～29人,令和２,2020,10月,17,18.3,15.7,128.4,145.8,110.1,121.4,135.7,106.4,7,10.1,3.7
５～29人,令和２,2020,11月,16.7,18,15.4,126.4,143.8,108.1,119.4,133.7,104.4,7,10.1,3.7
５～29人,令和２,2020,12月,16.6,17.8,15.3,125.3,142.2,107.3,118.3,132.1,103.6,7,10.1,3.7
30～99人,平成27,2015,年平均,18.1,18.9,17,142.3,157.1,122.6,130.9,142.1,116,11.4,15,6.6
30～99人,平成28,2016,年平均,18.1,19,17,140.6,154.8,122,130.4,141.5,115.9,10.2,13.3,6.1
30～99人,平成29,2017,年平均,18.1,19,17,140.4,155.2,122,130,141.2,116,10.4,14,6
30～99人,平成30,2018,年平均,18,19,16.8,140.8,156.5,120.9,129.7,141.8,114.3,11.1,14.7,6.6
30～99人,平成31・令和元,2019,年平均,17.3,18.2,16.1,136.9,152.5,116,125,136.7,109.3,11.9,15.8,6.7
30～99人,令和２,2020,年平均,16.9,17.7,15.7,132.4,146.3,113.4,122.3,132.8,107.9,10.1,13.5,5.5
30～99人,令和２,2020,1月,16.4,17,15.5,129.8,142.5,112,118.7,127.9,105.9,11.1,14.6,6.1
30～99人,令和２,2020,2月,16.7,17.4,15.6,131.9,145.1,113.1,120.5,130.1,106.8,11.4,15,6.3
30～99人,令和２,2020,3月,16.9,17.8,15.7,133.8,147.8,114.3,122.8,133.2,108.3,11,14.6,6
30～99人,令和２,2020,4月,16.9,18,15.4,131.9,147.4,110.9,122.7,134.9,106.1,9.2,12.5,4.8
30～99人,令和２,2020,5月,15.2,15.9,14.1,118.2,129.8,102,110.4,119.5,97.7,7.8,10.3,4.3
