事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,TL 調査産業計,平成28,2016,年平均,408611,501351,274902,326130,395143,226630,304022,22108,82481,106208,48272
５人以上,TL 調査産業計,平成29,2017,年平均,411953,504879,279725,327748,396619,229749,305943,21805,84205,108260,49976
５人以上,TL 調査産業計,平成30,2018,年平均,413275,508281,284286,327195,396642,232907,305852,21343,86080,111639,51379
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,414622,512436,283337,328799,400237,232916,306124,22675,85823,112199,50421
５人以上,TL 調査産業計,令和２,2020,年平均,408589,501609,282969,327112,395910,234203,306261,20851,81477,105699,48766
５人以上,TL 調査産業計,令和３,2021,年平均,412797,504714,291341,331358,398960,242032,309193,22165,81439,105754,49309
５人以上,TL 調査産業計,令和３,2021,1月,341734,412645,245852,326983,393997,236370,305741,21242,14751,18648,9482
５人以上,TL 調査産業計,令和３,2021,2月,335260,405371,242171,325226,393330,234802,304454,20772,10034,12041,7369
５人以上,TL 調査産業計,令和３,2021,3月,368581,448930,261839,331922,400347,241020,310054,21868,36659,48583,20819
５人以上,TL 調査産業計,令和３,2021,4月,361250,435078,262047,337840,404229,248632,314324,23516,23410,30849,13415
５人以上,TL 調査産業計,令和３,2021,5月,352411,426164,255580,330710,397702,242756,309149,21561,21701,28462,12824
５人以上,TL 調査産業計,令和３,2021,6月,623223,782636,412718,330659,398074,241637,309534,21125,292564,384562,171081
５人以上,TL 調査産業計,令和３,2021,7月,452863,557883,313504,333470,400706,244250,311209,22261,119393,157177,69254
５人以上,TL 調査産業計,令和３,2021,8月,342907,412152,251887,329492,396858,240942,307571,21921,13415,15294,10945
５人以上,TL 調査産業計,令和３,2021,9月,346388,417542,252676,330619,397507,242524,309101,21518,15769,20035,10152
５人以上,TL 調査産業計,令和３,2021,10月,349777,420687,256802,336447,404127,247708,313320,23127,13330,16560,9094
５人以上,TL 調査産業計,令和３,2021,11月,356415,432467,257022,331074,399255,241968,307656,23418,25341,33212,15054
５人以上,TL 調査産業計,令和３,2021,12月,720177,905597,479942,331849,401439,241685,308193,23656,388328,504158,238257
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,727494,801759,515086,546027,598271,396602,518096,27931,181467,203488,118484
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,802882,863788,591888,577972,621460,427321,545840,32132,224910,242328,164567
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,825999,889972,607677,569232,609297,432501,534408,34824,256767,280675,175176
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,810732,886749,592801,567888,614807,433377,527454,40434,242844,271942,159424
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,1月,537984,568003,431774,531944,560256,431774,496653,35291,6040,7747,－
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,2月,551830,598531,426657,550687,596976,426617,514060,36627,1143,1555,40
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,3月,542675,590785,413619,541531,589230,413579,507026,34505,1144,1555,40
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,4月,558552,603323,442037,553351,598266,436461,511783,41568,5201,5057,5576
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,5月,534125,583052,410106,532039,580210,409935,496565,35474,2086,2842,171
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,6月,1800647,2017150,1125933,564827,609470,425700,528426,36401,1235820,1407680,700233
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,7月,839531,891788,675158,597876,644849,450124,555811,42065,241655,246939,225034
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,8月,588939,635457,442522,585891,631754,441538,540040,45851,3048,3703,984
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,9月,588855,634501,445416,587258,632672,444547,544738,42520,1597,1829,869
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,10月,581024,632625,441389,580634,632214,441055,534960,45674,390,411,334
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,11月,581079,634760,437003,580806,634463,436797,536307,44499,273,297,206
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,12月,2064458,2290572,1459725,611146,672403,447315,565858,45288,1453312,1618169,1012410
５人以上,D 建設業,平成28,2016,年平均,488863,518735,323683,394649,418225,264284,359904,34745,94214,100510,59399
５人以上,D 建設業,平成29,2017,年平均,501419,536570,327484,396588,424321,259362,357035,39553,104831,112249,68122
５人以上,D 建設業,平成30,2018,年平均,512704,549362,349100,391144,420164,261627,349934,41210,121560,129198,87473
５人以上,D 建設業,平成31・令和元,2019,年平均,551867,592798,358185,417931,447292,278996,379122,38809,133936,145506,79189
５人以上,D 建設業,令和２,2020,年平均,531372,562396,374157,404490,426646,292215,368402,36088,126882,135750,81942
５人以上,D 建設業,令和３,2021,年平均,517201,550430,366089,402945,427741,290183,367667,35278,114256,122689,75906
５人以上,D 建設業,令和３,2021,1月,431439,462225,300395,409624,437876,289368,380209,29415,21815,24349,11027
５人以上,D 建設業,令和３,2021,2月,397850,420764,282756,395205,417960,280907,360302,34903,2645,2804,1849
５人以上,D 建設業,令和３,2021,3月,415766,439103,304732,398826,421974,288693,361786,37040,16940,17129,16039
５人以上,D 建設業,令和３,2021,4月,418139,441127,308899,402628,424610,298171,364365,38263,15511,16517,10728
５人以上,D 建設業,令和３,2021,5月,418262,443119,304401,397347,419999,293587,362996,34351,20915,23120,10814
５人以上,D 建設業,令和３,2021,6月,822219,878582,562806,390654,412760,288910,358087,32567,431565,465822,273896
