事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成28,2016,年平均,5083165,3106100,1977064,107253,56371,50882,103105,54982,48123,5087313,3107489,1979823,19.3,10.4,33.4
30人以上,TL 調査産業計,平成29,2017,年平均,5148390,3126096,2022294,110612,58174,52438,102837,55057,47779,5156165,3129213,2026953,19.3,10.4,33.1
30人以上,TL 調査産業計,平成30,2018,年平均,5538582,3312961,2225621,112995,59322,53673,111153,59920,51233,5540424,3312363,2228061,20,11,33.4
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,5652820,3374907,2277913,129406,68685,60721,118853,64053,54800,5663373,3379539,2283834,20,11.4,32.7
30人以上,TL 調査産業計,令和２,2020,年平均,5677271,3408264,2269007,113370,60470,52900,117706,64399,53307,5672935,3404335,2268600,19.4,11.6,30.9
30人以上,TL 調査産業計,令和３,2021,年平均,5636126,3357118,2279008,108216,56774,51442,109779,60668,49112,5634563,3353224,2281338,18.1,10.2,29.6
30人以上,TL 調査産業計,令和３,2021,1月,5634091,3398405,2235686,69133,36267,32866,98792,53868,44924,5604432,3380804,2223628,17.7,10.4,28.9
30人以上,TL 調査産業計,令和３,2021,2月,5606153,3350295,2255858,70945,31351,39594,70861,37995,32866,5606237,3343651,2262586,18.7,10.6,30.7
30人以上,TL 調査産業計,令和３,2021,3月,5609504,3350259,2259245,74794,38419,36375,127782,69757,58025,5556516,3318921,2237595,18.1,10.1,30
30人以上,TL 調査産業計,令和３,2021,4月,5566246,3354899,2211347,362942,208469,154473,249443,156766,92677,5679745,3406602,2273143,17.7,10,29.3
30人以上,TL 調査産業計,令和３,2021,5月,5682799,3382454,2300345,123170,60805,62365,103787,55106,48681,5702182,3388153,2314029,18,10.4,29.2
30人以上,TL 調査産業計,令和３,2021,6月,5703152,3398226,2304926,76973,39921,37052,103328,48854,54474,5676797,3389293,2287504,18.2,10.2,30.1
30人以上,TL 調査産業計,令和３,2021,7月,5673882,3383945,2289937,94119,52733,41386,119798,70610,49188,5648203,3366068,2282135,17.5,10.1,28.5
30人以上,TL 調査産業計,令和３,2021,8月,5648203,3345618,2302585,66741,35921,30820,88609,43257,45352,5626335,3338282,2288053,18,10.1,29.5
30人以上,TL 調査産業計,令和３,2021,9月,5626913,3342019,2284894,82201,39760,42441,85817,44921,40896,5623297,3336858,2286439,17.9,10,29.6
30人以上,TL 調査産業計,令和３,2021,10月,5621768,3331394,2290374,129221,67657,61564,109617,64541,45076,5641372,3334510,2306862,18.2,10.4,29.6
30人以上,TL 調査産業計,令和３,2021,11月,5639839,3339551,2300288,74917,36665,38252,89468,47173,42295,5625288,3329043,2296245,18.3,10.4,29.8
30人以上,TL 調査産業計,令和３,2021,12月,5620957,3308346,2312611,73436,33321,40115,70051,35167,34884,5624342,3306500,2317842,18.6,10.2,30.4
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1393,1032,360,31,24,7,35,27,8,1389,1029,359,0.1,－,0.3
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1381,1073,309,26,21,5,29,25,4,1378,1069,310,0.9,1.1,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1460,1129,331,30,25,6,22,18,4,1468,1136,333,0.9,1.2,0.2
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,1464,1086,378,18,14,4,25,20,5,1457,1080,377,1.1,1.1,0.9
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,1月,1497,1165,332,12,11,1,29,20,9,1480,1156,324,1.6,1.6,1.2
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,2月,1480,1077,403,11,10,1,12,9,3,1479,1078,401,1.4,1.4,1.2
