規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,17,17.7,16.1,135.6,147.4,120.7,124.7,133.5,113.6,10.9,13.9,7.1
５人以上,"鉱業,採石業,砂利採取業",19.2,19.3,18.9,161.4,164.4,152.5,139.6,140.8,135.9,21.8,23.6,16.6
５人以上,建設業,18,18.3,16.8,153.4,157.8,135.4,135.8,138.3,125.6,17.6,19.5,9.8
５人以上,製造業,17.8,18.2,17,146.6,151.5,136.2,135.3,139.9,125.5,11.3,11.6,10.7
５人以上,電気・ガス・熱供給・水道業,19.4,19.4,19.1,162.1,164.1,152.8,147.1,148,142.9,15,16.1,9.9
５人以上,情報通信業,18.7,18.9,18.1,159.3,163,150.9,143.8,146.3,138,15.5,16.7,12.9
５人以上,"運輸業,郵便業",17.9,18.5,16,156.3,166.9,124.4,137.4,144.8,115.1,18.9,22.1,9.3
５人以上,"卸売業,小売業",17.3,17.9,16.6,135.7,146.7,122.2,126.7,135.2,116.2,9,11.5,6
５人以上,"金融業,保険業",18.3,18.7,17.8,150.9,160.1,141.5,134.2,140,128.3,16.7,20.1,13.2
５人以上,"不動産業,物品賃貸業",18.3,18.7,17.4,148.2,154.8,136,135.3,140.2,126.2,12.9,14.6,9.8
５人以上,"学術研究,専門・技術サービス業",18.2,18.4,17.8,152.7,157.5,146.1,138.5,141.4,134.4,14.2,16.1,11.7
５人以上,"宿泊業,飲食サービス業",13.3,14.6,12.3,94.7,112.5,81.2,88.4,103.2,77.1,6.3,9.3,4.1
５人以上,"生活関連サービス業,娯楽業",16.6,17.2,15.9,126.2,133.2,118.9,120.2,126.3,113.8,6,6.9,5.1
５人以上,"教育,学習支援業",12.1,12.4,11.6,86.3,89.6,82.5,82.9,85.9,79.3,3.4,3.7,3.2
５人以上,"医療,福祉",16.3,16.5,16.3,118.6,127.8,115.4,113.8,121.2,111.2,4.8,6.6,4.2
５人以上,複合サービス事業,18.5,19,17.9,143.1,151.8,129.7,136.4,143.4,125.6,6.7,8.4,4.1
５人以上,サービス業（他に分類されないもの）,17.6,18.3,16.9,138.7,151.8,124.9,127.2,135.7,118.3,11.5,16.1,6.6
30人以上,調査産業計,17.5,18,16.8,142.7,151.9,130,130.1,136.5,121.2,12.6,15.4,8.8
30人以上,"鉱業,採石業,砂利採取業",19.2,19.3,18.9,161.4,164.4,152.5,139.6,140.8,135.9,21.8,23.6,16.6
30人以上,建設業,17.6,17.9,16.6,153.5,157.5,138.1,134.8,137,126.2,18.7,20.5,11.9
30人以上,製造業,18,18.2,17.5,152,154.6,146,138.3,141.2,131.8,13.7,13.4,14.2
30人以上,電気・ガス・熱供給・水道業,19.5,19.6,19.1,164,166,154.3,148.2,149.3,142.8,15.8,16.7,11.5
30人以上,情報通信業,18.7,18.9,18.2,160.5,164.1,152.2,144,146.4,138.4,16.5,17.7,13.8
30人以上,"運輸業,郵便業",17.9,18.6,15.9,155.6,166.3,124.5,136.9,144.6,114.5,18.7,21.7,10
30人以上,"卸売業,小売業",17.8,18.2,17.4,144.1,152.2,132.2,133.2,139.1,124.6,10.9,13.1,7.6
30人以上,"金融業,保険業",18.4,18.8,17.9,153,161.3,144.2,134.9,140.2,129.2,18.1,21.1,15
30人以上,"不動産業,物品賃貸業",18.5,18.9,17.9,150.3,155.2,141.1,135.9,139.4,129.4,14.4,15.8,11.7
30人以上,"学術研究,専門・技術サービス業",18.3,18.3,18.3,156.8,160.3,152.3,141.2,143,139,15.6,17.3,13.3
30人以上,"宿泊業,飲食サービス業",14,15.5,12.7,108.7,128.4,91.2,99.9,115.9,85.7,8.8,12.5,5.5
30人以上,"生活関連サービス業,娯楽業",16.4,17,15.7,131.3,138.6,123.4,122.4,128.2,116.2,8.9,10.4,7.2
30人以上,"教育,学習支援業",12.2,12.3,12,88.3,90.4,85.8,84.7,86.7,82.2,3.6,3.7,3.6
30人以上,"医療,福祉",17.2,17,17.3,126.9,132,124.7,121.1,124.8,119.5,5.8,7.2,5.2
30人以上,複合サービス事業,19.1,19.3,18.6,143,152.5,118.1,134.5,142.8,112.8,8.5,9.7,5.3
30人以上,サービス業（他に分類されないもの）,17.6,18.3,16.9,139.9,152.7,127,128.2,136.3,120.1,11.7,16.4,6.9
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年８月分,,,,,,,,,,,,,
第２表  規模、産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
