規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5989854,97062,96337,5992273,1996529,79923,69641,2005117
５人以上,"鉱業,採石業,砂利採取業",1278,16,17,1277,4,0,0,4
５人以上,建設業,391403,3486,4828,390288,12389,390,254,12298
５人以上,製造業,412081,5388,5610,411859,57375,1138,1110,57403
５人以上,電気・ガス・熱供給・水道業,20633,143,63,20707,549,4,38,521
５人以上,情報通信業,842176,9749,14052,837904,47945,2184,897,49201
５人以上,"運輸業,郵便業",359958,8876,6805,362029,48501,770,1753,47518
５人以上,"卸売業,小売業",1241870,18851,19203,1242522,439195,12352,11310,439233
５人以上,"金融業,保険業",371793,7072,7389,371470,25187,269,855,24607
５人以上,"不動産業,物品賃貸業",222319,3185,3571,222048,27708,650,493,27750
５人以上,"学術研究,専門・技術サービス業",389107,9573,6061,392690,26044,427,637,25763
５人以上,"宿泊業,飲食サービス業",178861,3690,5282,177620,490823,27568,18649,499391
５人以上,"生活関連サービス業,娯楽業",149930,1471,2149,149289,83996,5309,2825,86443
５人以上,"教育,学習支援業",258221,3021,1977,259265,133568,9027,5443,137152
５人以上,"医療,福祉",480237,6847,6653,480227,322174,12051,18383,316046
５人以上,複合サービス事業,19750,262,335,19677,4507,0,122,4385
５人以上,サービス業（他に分類されないもの）,650237,15432,12342,653401,276564,7784,6872,277402
30人以上,調査産業計,4591156,78466,72032,4598425,1017368,42057,40593,1017997
30人以上,"鉱業,採石業,砂利採取業",1278,16,17,1277,4,0,0,4
30人以上,建設業,261144,2850,3922,260084,3649,46,254,3429
30人以上,製造業,307907,3440,3665,307716,32491,463,745,32175
30人以上,電気・ガス・熱供給・水道業,16848,143,63,16922,329,4,5,334
30人以上,情報通信業,756438,8877,11103,754242,38353,1969,758,39534
30人以上,"運輸業,郵便業",306054,8876,6630,308300,35695,770,1308,35157
30人以上,"卸売業,小売業",899214,13246,11995,901151,176351,4019,4387,175297
30人以上,"金融業,保険業",305314,6373,5871,305811,21226,269,583,20917
30人以上,"不動産業,物品賃貸業",161289,1953,2007,161242,16880,384,351,16906
30人以上,"学術研究,専門・技術サービス業",293947,9132,5290,297755,11347,302,447,11236
30人以上,"宿泊業,飲食サービス業",93331,1621,1839,93135,127280,7176,5055,129379
30人以上,"生活関連サービス業,娯楽業",81518,1008,1053,81509,38008,2278,1327,38923
30人以上,"教育,学習支援業",209092,2867,1479,210481,88089,7900,4458,91530
30人以上,"医療,福祉",336490,4741,5009,336107,182129,9777,14746,177275
30人以上,複合サービス事業,10454,118,106,10466,2461,0,41,2420
30人以上,サービス業（他に分類されないもの）,550838,13205,11983,552227,243076,6700,6128,243481
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１０月分,,,,,,,,,
第７表  規模、産業、就業形態別常用労働者数,,,,,,,,,
