事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成29,2017,年平均,102.8,－,96.4,106.5,92.1,96.8,119.7,99.1,100.3,105.5,101.2,120.8,90.6,109.9,102.1,101.8,98.2
５人以上,平成30,2018,年平均,102.1,－,97.6,102.2,99.8,98.7,115.6,107.8,99.4,104,101.8,119.1,93,104.4,99.4,112.1,96.1
５人以上,平成31・令和元,2019,年平均,101.4,－,103.8,102.2,103.1,100.8,119.2,100.6,99.3,100.9,105.2,110,95,99,96.2,103.1,102.2
５人以上,令和２,2020,年平均,100,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,101.2,－,97.5,99.6,105.9,101.2,98.8,102.1,91.4,107.8,96.8,109.3,102.4,98.7,105.2,102.9,103.9
５人以上,令和４,2022,年平均,101.1,92.7,103.3,96.2,92.6,99.3,105.8,103.1,90.6,111.9,100.9,130.9,104.7,108.8,97.2,95.8,97.9
５人以上,令和４,2022,1月,84.4,70.2,80.8,77.2,73.5,81.9,89.5,82.3,72.9,101.4,85.2,125.8,95.7,84.4,87.3,75.6,88.4
５人以上,令和４,2022,2月,82.8,70.7,80.5,81.3,73.7,79.5,86.2,81.7,73.8,90.3,83.1,119.1,93,82.5,83.2,73.4,86.4
５人以上,令和４,2022,3月,92,68.7,94.4,89.8,76.3,87.6,100.4,90.3,83.7,92.1,100.9,128.4,96.6,94.5,88.7,76.8,91.6
５人以上,令和４,2022,4月,88.1,73.1,84.2,79.2,77.2,88,92.9,87.9,75.6,98,90.6,126.9,102.5,98.3,84.2,81.4,87
５人以上,令和４,2022,5月,86.4,71,80.2,80.4,73.2,81.6,90.4,84.2,86.9,91.9,91.2,130.2,97,85.6,82.2,76.5,90.9
