規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.3,154.3,138.4,15.9,12.7,84.2,80.6,3.6
100～499人,18.7,160.6,144.9,15.7,14.7,98.9,93.9,5
100人以上,18.5,157.4,141.6,15.8,14,93.3,88.8,4.5
30～99人,19.1,160.8,146.8,14,12.8,75.6,73.4,2.2
５～29人,19.8,163.5,153.5,10,11.5,67,65.2,1.8
30人以上,18.7,158.4,143.1,15.3,13.4,85.4,81.9,3.5
５人以上,18.9,159.5,145.5,14,12.4,75.9,73.3,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
