規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成29,2017,年平均,97.6,1.6,－,89.7,91.5,100.8,94,96.6,99.3,98.1,96.9,99.1,106.5,98.5,102.9,99,99.8,96.7
５人以上,平成30,2018,年平均,98.8,1.2,－,89.8,98.2,116.2,95.3,97.2,99.7,99.4,97.3,99.3,108.6,96.3,103.1,95.4,90.1,100.1
５人以上,平成31・令和元,2019,年平均,100.7,1.9,－,94.7,100.4,106.8,97.4,98.5,100.7,100.7,99.1,100.3,109.3,98.8,102.1,100.1,101.5,102.1
５人以上,令和２,2020,年平均,100,-0.7,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,99.2,-0.8,－,102.7,97.5,102.3,102.6,97.7,99.6,100.1,101.3,100.2,92.9,96.1,99.9,100.6,98.1,98.4
５人以上,令和４,2022,年平均,99.8,0.6,94.9,104,96.8,102.1,103.4,95.8,98.8,98.8,104.8,102.7,96.1,96.8,99,102.9,90.1,99.3
５人以上,令和４,2022,11月,100.3,1,91.7,103.9,94.8,102.6,103,96,99.1,98.5,105.6,104.2,99.9,96.9,100,103.4,89.6,99.7
５人以上,令和４,2022,12月,100.5,1.2,91,103.8,96.2,101.3,103,95.4,99,98.1,105.7,104.9,101.1,96.2,100,103.4,89.8,99.9
５人以上,令和５,2023,1月,100.1,1,89.2,103.5,95.6,100.9,102.6,95.1,98.5,97.9,105.8,104.9,100.3,95.9,99.8,103,89.9,99.8
５人以上,令和５,2023,2月,100.1,1.2,89.6,103.6,97.7,101.4,102.3,95.1,98.1,97.9,105.8,105.6,100.6,95.5,99,102.6,89.6,99.7
５人以上,令和５,2023,3月,99.6,1.3,×,103.5,95.4,×,102.1,94.4,98,97.7,105.6,105.6,100.2,95.7,94.9,102.6,88.3,100.2
５人以上,令和５,2023,4月,101.5,1.5,×,106.4,98.3,×,105.6,95.7,99.1,99.6,109.3,109,100,97.5,98.9,104.8,87.8,100.9
５人以上,令和５,2023,5月,101.8,1.5,90.2,106.3,99.5,111.1,105.9,96,98.8,99.7,109.5,109.2,101.2,98.1,99.2,104.5,87.9,101.5
５人以上,令和５,2023,6月,101.7,1.5,91,106.3,100.2,111.8,105.8,95.4,98.7,99.3,109.6,109.3,102,98.4,100.1,104.6,86.8,99.9
５人以上,令和５,2023,7月,101.8,1.6,91.1,106,99.4,111.4,105.2,95.2,98.3,99,109.7,109.4,102.7,95.9,100.9,105.1,86.8,101.8
