地域階層,地域コード,地域,雇用者／雇い入れた実経営体数（手伝い等を含む）（経営体）,雇用者／実人数（人）,雇用者／常雇い／雇い入れた実経営体数（経営体）,雇用者／常雇い／実人数（人）,雇用者／臨時雇い（手伝い等を含む）／雇い入れた実経営体数（経営体）,雇用者／臨時雇い（手伝い等を含む）／実人数（人）
0,13000,総数,1268,6057,392,2120,1052,3937
1,13100,区部,216,1980,78,1397,175,583
4,13101,千代田区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13102,中央区,5,95,5,87,3,8
4,13103,港区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13104,新宿区,-,-,-,-,-,-
4,13105,文京区,-,-,-,-,-,-
4,13106,台東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13107,墨田区,-,-,-,-,-,-
4,13108,江東区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13109,品川区,-,-,-,-,-,-
4,13110,目黒区,5,65,2,39,3,26
4,13111,大田区,3,8,1,3,2,5
4,13112,世田谷区,48,273,17,143,38,130
4,13113,渋谷区,-,-,-,-,-,-
4,13114,中野区,7,34,3,6,6,28
4,13115,杉並区,27,91,7,10,21,81
4,13116,豊島区,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
4,13117,北区,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-
4,13119,板橋区,6,16,2,5,5,11
4,13120,練馬区,66,152,13,23,59,129
4,13121,足立区,13,37,7,16,10,21
4,13122,葛飾区,12,73,4,13,10,60
4,13123,江戸川区,20,100,13,25,16,75
1,13200,市部,900,3516,267,599,750,2917
4,13201,八王子市,92,369,23,47,84,322
4,13202,立川市,60,240,23,49,50,191
4,13203,武蔵野市,11,79,5,11,10,68
4,13204,三鷹市,64,252,15,31,56,221
4,13205,青梅市,33,110,9,18,27,92
4,13206,府中市,38,267,14,57,31,210
4,13207,昭島市,12,60,2,2,11,58
4,13208,調布市,41,117,14,26,33,91
4,13209,町田市,65,319,24,72,52,247
4,13210,小金井市,33,135,10,25,28,110
4,13211,小平市,47,261,18,35,41,226
4,13212,日野市,36,129,3,11,34,118
4,13213,東村山市,36,112,10,19,29,93
4,13214,国分寺市,39,129,15,26,31,103
4,13215,国立市,16,59,6,11,11,48
4,13218,福生市,6,6,2,2,4,4
4,13219,狛江市,12,24,5,7,8,17
4,13220,東大和市,16,58,5,5,12,53
4,13221,清瀬市,28,63,11,26,21,37
4,13222,東久留米市,37,131,13,25,28,106
4,13223,武蔵村山市,24,74,2,6,22,68
4,13224,多摩市,3,30,1,17,2,13
4,13225,稲城市,63,176,9,15,59,161
4,13227,羽村市,19,105,5,8,17,97
4,13228,あきる野市,31,96,7,16,26,80
4,13229,西東京市,38,115,16,32,23,83
1,13550,町村部,152,561,47,124,127,437
2,13300,西多摩郡,56,156,13,35,47,121
4,13303,瑞穂町,36,94,6,16,32,78
4,13305,日の出町,17,50,5,11,13,39
4,13307,檜原村,2,9,1,7,1,2
4,13308,奥多摩町,1,3,1,1,1,2
2,13350,島部,96,405,34,89,80,316
3,13360,大島支庁,26,125,11,47,17,78
4,13361,大島町,18,106,9,42,10,64
4,13362,利島村,3,5,-,-,3,5
4,13363,新島村,2,7,2,5,1,2
4,13364,神津島村,3,7,-,-,3,7
3,13380,三宅支庁,2,5,-,-,2,5
4,13381,三宅村,2,5,-,-,2,5
4,13382,御蔵島村,-,-,-,-,-,-
3,13400,八丈支庁,57,238,16,30,54,208
4,13401,八丈町,56,234,16,30,53,204
4,13402,青ケ島村,1,4,-,-,1,4
3,13420,小笠原支庁,11,37,7,12,7,25
4,13421,小笠原村,11,37,7,12,7,25
,,,,,,,,
2015年農林業センサス,,,,,,,,
第41表　区市町村別農業労働力（雇用者）,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,
