区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11846,11780,66,0.6,5818,5788,30,0.5,6029,5991,38,0.6
〔就業状態〕／労働力人口,7714,7568,146,1.9,4391,4391,0,0,3323,3177,146,4.6
〔就業状態〕／労働力人口／就業者数,7424,7252,172,2.4,4216,4212,4,0.1,3208,3039,169,5.6
〔就業状態〕／労働力人口／就業者数／自営業主数,621,612,9,1.5,421,428,-7,-1.6,199,183,16,8.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,121,120,1,0.8,22,25,-3,-12,99,95,4,4.2
〔就業状態〕／労働力人口／就業者数／雇用者数,6630,6469,161,2.5,3749,3735,14,0.4,2881,2734,147,5.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3845,3770,75,2,2540,2572,-32,-1.2,1305,1199,106,8.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2240,2181,59,2.7,783,762,21,2.8,1457,1419,38,2.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1375,1362,13,1,379,374,5,1.3,995,988,7,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6143,5990,153,2.6,3554,3538,16,0.5,2589,2452,137,5.6
〔就業状態〕／労働力人口／完全失業者数,290,316,-26,-8.2,175,178,-3,-1.7,115,138,-23,-16.7
〔就業状態〕／非労働力人口,4125,4202,-77,-1.8,1424,1394,30,2.2,2701,2808,-107,-3.8
〔就業者の活動状況別内訳〕／就業者数（再掲）,7424,7252,172,2.4,4216,4212,4,0.1,3208,3039,169,5.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7244,7097,147,2.1,4161,4145,16,0.4,3083,2953,130,4.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6224,6122,102,1.7,4019,3998,21,0.5,2205,2124,81,3.8
