年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成31年・令和元年平均,387,666,761,330,1239,300,229,413,479,237,373,780,638
実数／男女計／令和２年平均,359,664,792,352,1217,341,260,420,430,221,417,796,636
実数／男女計／令和３年平均,362,661,853,378,1228,351,260,444,417,210,419,835,621
実数／男女計／平成31年・令和元年10～12月平均,400,634,758,318,1226,350,237,410,513,240,370,784,604
実数／男女計／令和２年１～３月平均,341,633,801,372,1233,273,260,398,447,258,379,845,619
実数／男女計／令和２年４～６月平均,349,610,740,357,1226,388,232,448,377,181,436,801,625
実数／男女計／令和２年７～９月平均,350,685,815,344,1171,368,288,386,430,218,427,754,641
実数／男女計／令和２年10～12月平均,398,733,820,339,1253,339,262,450,471,228,429,790,662
実数／男女計／令和３年１～３月平均,387,670,808,394,1266,296,256,447,404,248,418,837,565
実数／男女計／令和３年４～６月平均,371,643,838,334,1206,359,231,399,392,204,421,843,641
実数／男女計／令和３年７～９月平均,313,677,855,355,1225,379,266,484,426,176,441,826,618
実数／男女計／令和３年10～12月平均,377,653,910,430,1216,371,285,446,446,214,398,835,658
実数／男女計／令和４年１～３月平均,416,688,872,378,1280,289,258,484,413,242,341,842,564
実数／男／平成31年・令和元年平均,301,471,516,254,612,151,132,258,214,93,162,186,363
実数／男／令和２年平均,284,463,537,263,600,166,147,259,193,99,180,187,365
実数／男／令和３年平均,281,466,581,281,608,169,154,263,178,88,180,195,347
実数／男／平成31年・令和元年10～12月平均,318,433,532,244,616,192,126,252,226,87,181,193,326
実数／男／令和２年１～３月平均,263,436,546,272,600,133,153,246,203,97,185,206,354
実数／男／令和２年４～６月平均,269,440,486,275,610,194,124,280,176,99,176,184,366
実数／男／令和２年７～９月平均,282,487,569,253,589,176,164,235,187,102,178,166,374
実数／男／令和２年10～12月平均,322,494,553,253,606,165,149,280,208,101,185,193,369
実数／男／令和３年１～３月平均,297,469,552,283,603,152,164,268,176,101,192,219,321
実数／男／令和３年４～６月平均,283,459,569,251,616,175,136,235,173,95,154,196,353
実数／男／令和３年７～９月平均,247,474,590,265,612,172,153,283,173,76,197,178,333
実数／男／令和３年10～12月平均,296,461,612,327,602,175,165,266,188,78,178,186,382
実数／男／令和４年１～３月平均,330,485,601,283,605,143,164,264,171,85,155,198,317
実数／女／平成31年・令和元年平均,85,195,244,76,627,149,97,155,264,144,211,593,275
実数／女／令和２年平均,75,200,254,89,618,175,113,160,237,121,236,609,271
実数／女／令和３年平均,82,195,272,97,620,182,105,181,239,123,239,640,273
実数／女／平成31年・令和元年10～12月平均,82,201,227,74,611,158,110,157,287,153,189,591,277
実数／女／令和２年１～３月平均,79,197,255,100,633,141,108,153,245,161,194,639,265
実数／女／令和２年４～６月平均,79,170,254,81,616,194,108,169,202,82,261,617,259
実数／女／令和２年７～９月平均,68,198,246,91,583,192,124,151,243,115,249,589,267
実数／女／令和２年10～12月平均,76,239,267,86,647,174,113,170,263,128,244,597,294
実数／女／令和３年１～３月平均,91,202,256,111,663,143,92,178,229,147,226,618,244
実数／女／令和３年４～６月平均,89,184,269,83,590,183,95,164,218,109,267,647,288
実数／女／令和３年７～９月平均,66,203,265,90,613,207,114,201,253,100,244,648,285
実数／女／令和３年10～12月平均,81,192,298,103,615,196,121,180,258,136,220,649,276
実数／女／令和４年１～３月平均,86,203,272,95,675,146,94,220,242,157,186,644,248
対前年・対前年同期増減数／男女計／平成31年・令和元年平均,-14,4,54,-20,6,4,2,13,-19,9,43,7,37
対前年・対前年同期増減数／男女計／令和２年平均,-28,-2,31,22,-22,41,31,7,-49,-16,44,16,-2
対前年・対前年同期増減数／男女計／令和令和３年平均,3,-3,61,26,11,10,0,24,-13,-11,2,39,-15
対前年・対前年同期増減数／男女計／平成31年・令和元年10～12月平均,9,-16,67,-16,43,68,-12,40,-9,-10,45,-30,-22
対前年・対前年同期増減数／男女計／令和２年１～３月平均,-25,-54,11,28,31,19,22,-2,18,35,15,75,-56
対前年・対前年同期増減数／男女計／令和２年４～６月平均,-24,-41,15,21,-58,83,20,12,-70,-65,70,17,7
対前年・対前年同期増減数／男女計／令和２年７～９月平均,-57,-7,45,22,-74,78,59,-18,-95,-21,36,-26,-14
対前年・対前年同期増減数／男女計／令和２年10～12月平均,-2,99,62,21,27,-11,25,40,-42,-12,59,6,58
対前年・対前年同期増減数／男女計／令和３年１～３月平均,46,37,7,22,33,23,-4,49,-43,-10,39,-8,-54
対前年・対前年同期増減数／男女計／令和３年４～６月平均,22,33,98,-23,-20,-29,-1,-49,15,23,-15,42,16
対前年・対前年同期増減数／男女計／令和３年７～９月平均,-37,-8,40,11,54,11,-22,98,-4,-42,14,72,-23
対前年・対前年同期増減数／男女計／令和３年10～12月平均,-21,-80,90,91,-37,32,23,-4,-25,-14,-31,45,-4
対前年・対前年同期増減数／男女計／令和４年１～３月平均,29,18,64,-16,14,-7,2,37,9,-6,-77,5,-1
対前年・対前年同期増減数／男／平成31年・令和元年平均,-21,-6,14,-18,-5,19,-3,9,-8,9,15,-9,25
対前年・対前年同期増減数／男／令和２年平均,-17,-8,21,9,-12,15,15,1,-21,6,18,1,2
対前年・対前年同期増減数／男／令和３年平均,-3,3,44,18,8,3,7,4,-15,-11,0,8,-18
対前年・対前年同期増減数／男／平成31年・令和元年10～12月平均,10,-22,26,-21,28,69,-20,21,-8,0,19,-20,-36
対前年・対前年同期増減数／男／令和２年１～３月平均,-13,-58,13,3,3,35,9,5,0,16,39,25,-27
対前年・対前年同期増減数／男／令和２年４～６月平均,-19,-21,8,20,-15,34,1,4,-14,-11,12,-1,5
対前年・対前年同期増減数／男／令和２年７～９月平均,-41,-8,47,4,-21,22,29,-28,-50,9,23,-21,-9
対前年・対前年同期増減数／男／令和２年10～12月平均,4,61,21,9,-10,-27,23,28,-18,14,4,0,43
対前年・対前年同期増減数／男／令和３年１～３月平均,34,33,6,11,3,19,11,22,-27,4,7,13,-33
対前年・対前年同期増減数／男／令和３年４～６月平均,14,19,83,-24,6,-19,12,-45,-3,-4,-22,12,-13
対前年・対前年同期増減数／男／令和３年７～９月平均,-35,-13,21,12,23,-4,-11,48,-14,-26,19,12,-41
対前年・対前年同期増減数／男／令和３年10～12月平均,-26,-33,59,74,-4,10,16,-14,-20,-23,-7,-7,13
対前年・対前年同期増減数／男／令和４年１～３月平均,33,16,49,0,2,-9,0,-4,-5,-16,-37,-21,-4
対前年・対前年同期増減数／女／平成31年・令和元年平均,5,10,39,-2,10,-15,5,5,-13,0,28,14,12
対前年・対前年同期増減数／女／令和２年平均,-10,5,10,13,-9,26,16,5,-27,-23,25,16,-4
対前年・対前年同期増減数／女／令和３年平均,7,-5,18,8,2,7,-8,21,2,2,3,31,2
対前年・対前年同期増減数／女／平成31年・令和元年10～12月平均,-1,6,42,5,16,-1,7,18,-2,-10,27,-10,13
対前年・対前年同期増減数／女／令和２年１～３月平均,-11,4,-2,25,28,-14,14,-6,18,19,-24,50,-28
対前年・対前年同期増減数／女／令和２年４～６月平均,-6,-20,8,0,-43,49,20,9,-54,-55,59,18,2
対前年・対前年同期増減数／女／令和２年７～９月平均,-16,1,-1,18,-51,56,29,9,-45,-31,13,-5,-4
対前年・対前年同期増減数／女／令和２年10～12月平均,-6,38,40,12,36,16,3,13,-24,-25,55,6,17
対前年・対前年同期増減数／女／令和３年１～３月平均,12,5,1,11,30,2,-16,25,-16,-14,32,-21,-21
対前年・対前年同期増減数／女／令和３年４～６月平均,10,14,15,2,-26,-11,-13,-5,16,27,6,30,29
対前年・対前年同期増減数／女／令和３年７～９月平均,-2,5,19,-1,30,15,-10,50,10,-15,-5,59,18
対前年・対前年同期増減数／女／令和３年10～12月平均,5,-47,31,17,-32,22,8,10,-5,8,-24,52,-18
対前年・対前年同期増減数／女／令和４年１～３月平均,-5,1,16,-16,12,3,2,42,13,10,-40,26,4
,,,,,,,,,,,,,
東京の労働力統計データ（令和４年１～３月期平均）,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,
