年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成31年・令和元年平均,457,728,795,355,1292,301,260,542,540,298,408,819,703
実数／男女計／令和２年平均,429,711,830,374,1273,343,305,547,481,273,455,839,711
実数／男女計／令和３年平均,421,685,902,402,1294,354,297,570,480,272,458,883,671
実数／男女計／令和２年１～３月平均,415,682,831,397,1284,275,299,523,499,305,411,890,696
実数／男女計／令和２年４～６月平均,420,708,773,371,1289,392,286,577,421,237,488,848,754
実数／男女計／令和２年７～９月平均,421,702,854,362,1224,369,323,519,490,264,470,798,697
実数／男女計／令和２年10～12月平均,463,758,872,370,1310,341,314,573,520,287,457,828,702
実数／男女計／令和３年１～３月平均,444,701,871,421,1328,300,289,549,473,318,451,887,606
実数／男女計／令和３年４～６月平均,430,666,878,346,1281,360,267,533,432,264,466,905,697
実数／男女計／令和３年７～９月平均,387,696,893,385,1281,380,306,611,483,231,478,874,678
実数／男女計／令和３年10～12月平均,423,678,965,457,1285,375,326,585,531,276,438,865,702
実数／男女計／令和４年１～３月平均,476,708,922,409,1340,295,297,626,474,328,373,883,603
実数／男女計／令和４年４～６月平均,405,649,1020,385,1320,337,317,589,500,291,414,957,685
実数／男／平成31年・令和元年平均,365,509,544,278,644,152,152,340,251,122,169,212,405
実数／男／令和２年平均,346,489,567,284,629,168,172,341,221,125,193,214,419
実数／男／令和３年平均,335,482,616,304,642,170,174,342,214,117,196,223,382
実数／男／令和２年１～３月平均,325,464,570,294,632,133,177,323,233,117,197,236,414
実数／男／令和２年４～６月平均,333,490,512,289,638,197,148,355,195,126,194,212,453
実数／男／令和２年７～９月平均,348,497,599,271,618,176,184,326,218,124,192,195,417
実数／男／令和２年10～12月平均,381,510,591,283,635,166,178,363,240,133,189,212,394
実数／男／令和３年１～３月平均,351,486,592,307,635,155,182,330,216,134,205,250,349
実数／男／令和３年４～６月平均,335,474,603,262,648,176,154,325,193,126,175,234,390
実数／男／令和３年７～９月平均,314,489,621,293,645,173,172,361,202,100,214,208,376
実数／男／令和３年10～12月平均,340,478,648,354,640,177,187,352,243,109,190,199,413
実数／男／令和４年１～３月平均,387,495,632,314,633,146,184,343,205,131,161,227,343
実数／男／令和４年４～６月平均,323,458,716,287,649,170,196,363,207,123,182,240,386
実数／女／平成31年・令和元年平均,93,220,251,77,648,149,109,202,289,176,239,607,298
実数／女／令和２年平均,83,221,263,91,644,176,133,206,260,148,263,625,292
実数／女／令和３年平均,86,203,286,99,652,183,123,228,266,155,262,660,289
実数／女／令和２年１～３月平均,90,217,261,103,652,142,122,200,265,188,214,653,282
実数／女／令和２年４～６月平均,87,218,261,81,651,195,138,222,227,112,294,635,300
実数／女／令和２年７～９月平均,74,205,255,91,606,193,140,192,271,140,278,603,280
実数／女／令和２年10～12月平均,82,248,281,88,674,174,135,211,280,153,268,616,308
実数／女／令和３年１～３月平均,93,214,279,114,692,145,107,219,257,184,246,637,257
実数／女／令和３年４～６月平均,96,192,275,85,633,183,114,208,239,138,291,672,307
実数／女／令和３年７～９月平均,73,207,272,93,636,207,134,250,281,132,264,666,302
実数／女／令和３年10～12月平均,83,201,317,103,645,198,139,233,289,166,248,666,289
実数／女／令和４年１～３月平均,90,212,290,95,707,149,112,283,268,198,212,656,260
実数／女／令和４年４～６月平均,82,190,305,98,672,166,121,225,294,168,232,717,299
対前年・対前年同期増減数／男女計／平成31年・令和元年平均,-9,37,48,-22,-12,3,4,-4,-27,13,40,10,53
