男女・年,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成30年平均,466,691,747,377,1304,298,256,546,567,285,368,809,650,557
実数／男女計／平成31年・令和元年平均,457,728,795,355,1292,301,260,542,540,298,408,819,703,564
実数／男女計／令和２年平均,429,711,830,374,1273,343,305,547,481,273,455,839,711,533
実数／男女計／令和３年平均,421,685,902,402,1294,354,297,570,480,272,458,883,671,541
実数／男女計／令和４年平均,430,667,973,383,1302,352,295,587,506,302,420,919,675,520
実数／男／平成30年平均,380,496,530,298,659,133,149,344,258,106,155,218,370,321
実数／男／平成31年・令和元年平均,365,509,544,278,644,152,152,340,251,122,169,212,405,330
実数／男／令和２年平均,346,489,567,284,629,168,172,341,221,125,193,214,419,318
実数／男／令和３年平均,335,482,616,304,642,170,174,342,214,117,196,223,382,317
実数／男／令和４年平均,351,469,670,293,648,179,171,346,216,124,181,230,379,301
実数／女／平成30年平均,86,196,217,78,645,165,107,202,310,178,213,592,280,237
実数／女／平成31年・令和元年平均,93,220,251,77,648,149,109,202,289,176,239,607,298,234
実数／女／令和２年平均,83,221,263,91,644,176,133,206,260,148,263,625,292,215
実数／女／令和３年平均,86,203,286,99,652,183,123,228,266,155,262,660,289,224
実数／女／令和４年平均,79,198,304,91,654,173,124,241,290,178,238,689,296,219
対前年増減数／男女計／平成31年・令和元年平均,-9,37,48,-22,-12,3,4,-4,-27,13,40,10,53,7
対前年増減数／男女計／令和２年平均,-28,-17,35,19,-19,42,45,5,-59,-25,47,20,8,-31
対前年増減数／男女計／令和３年平均,-8,-26,72,28,21,11,-8,23,-1,-1,3,44,-40,8
対前年増減数／男女計／令和４年平均,9,-18,71,-19,8,-2,-2,17,26,30,-38,36,4,-21
対前年増減数／男／平成31年・令和元年平均,-15,13,14,-20,-15,19,3,-4,-7,16,14,-6,35,9
対前年増減数／男／令和２年平均,-19,-20,23,6,-15,16,20,1,-30,3,24,2,14,-12
対前年増減数／男／令和３年平均,-11,-7,49,20,13,2,2,1,-7,-8,3,9,-37,-1
対前年増減数／男／令和４年平均,16,-13,54,-11,6,9,-3,4,2,7,-15,7,-3,-16
対前年増減数／女／平成31年・令和元年平均,7,24,34,-1,3,-16,2,0,-21,-2,26,15,18,-3
対前年増減数／女／令和２年平均,-10,1,12,14,-4,27,24,4,-29,-28,24,18,-6,-19
対前年増減数／女／令和３年平均,3,-18,23,8,8,7,-10,22,6,7,-1,35,-3,9
対前年増減数／女／令和４年平均,-7,-5,18,-8,2,-10,1,13,24,23,-24,29,7,-5
,,,,,,,,,,,,,,
東京の労働力統計データ（令和４年平均）,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,
