年・期平均,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成28年(2016年),3.2,3.2,3.3,3.2,3.3,3.1,3.1,3.3,2.8
完全失業率／平成29年(2017年),2.9,3,2.7,2.9,3,2.8,2.8,3,2.7
完全失業率／平成30年(2018年),2.6,2.7,2.4,2.5,2.6,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年(2019年),2.3,2.5,2.2,2.3,2.4,2.1,2.4,2.5,2.2
完全失業率／令和２年(2020年),3.1,3.3,2.8,3,3.2,2.7,2.8,3,2.5
完全失業率／令和３年(2021年),3,3.4,2.5,3,3.3,2.6,2.8,3.1,2.5
完全失業率／令和４年(2022年),2.6,2.8,2.5,2.7,2.8,2.5,2.6,2.8,2.4
完全失業率／平成30年(2018年)１～３月,2.7,2.8,2.6,2.5,2.6,2.4,2.5,2.6,2.3
完全失業率／平成30年(2018年)４～６月,2.9,3,2.7,2.6,2.7,2.5,2.5,2.6,2.3
完全失業率／平成30年(2018年)７～９月,2.4,2.9,1.9,2.5,2.7,2.1,2.5,2.6,2.3
完全失業率／平成30年(2018年)10～12月,2.3,2.2,2.4,2.3,2.4,2.1,2.4,2.6,2.1
完全失業率／平成31年・令和元年(2019年)１～３月,2.3,2.4,2.3,2.4,2.5,2.3,2.4,2.6,2.2
完全失業率／平成31年・令和元年(2019年)４～６月,2.4,2.5,2.2,2.4,2.5,2.3,2.4,2.5,2.3
完全失業率／平成31年・令和元年(2019年)７～９月,2.2,2.4,1.9,2.3,2.5,2,2.3,2.5,2.1
完全失業率／平成31年・令和元年(2019年)10～12月,2.4,2.6,2.2,2.1,2.2,2,2.2,2.4,2
完全失業率／令和２年(2020年)１～３月,2.6,3,2.1,2.4,2.6,2.1,2.4,2.6,2.2
完全失業率／令和２年(2020年)４～６月,3.2,3.6,2.8,3.2,3.4,2.8,2.8,3.1,2.5
完全失業率／令和２年(2020年)７～９月,3.5,3.5,3.6,3.3,3.4,3.2,3,3.1,2.8
完全失業率／令和２年(2020年)10～12月,3,3.2,2.8,3.1,3.4,2.6,2.9,3.3,2.5
完全失業率／令和３年(2021年)１～３月,2.7,3,2.5,2.8,3,2.6,2.8,3,2.6
完全失業率／令和３年(2021年)４～６月,3.8,4.6,2.8,3.3,3.7,2.8,3,3.3,2.7
完全失業率／令和３年(2021年)７～９月,3.1,3.5,2.6,3.1,3.4,2.7,2.8,3,2.5
完全失業率／令和３年(2021年)10～12月,2.4,2.5,2.2,2.8,3.1,2.5,2.6,2.9,2.3
完全失業率／令和４年(2022年)１～３月,2.8,3,2.6,2.8,2.9,2.6,2.7,2.9,2.4
完全失業率／令和４年(2022年)４～６月,2.8,2.8,2.7,2.8,2.8,2.8,2.7,2.9,2.5
完全失業率／令和４年(2022年)７～９月,2.5,2.7,2.3,2.6,2.8,2.4,2.6,2.8,2.3
完全失業率／令和４年(2022年)10～12月,2.4,2.5,2.2,2.4,2.8,2,2.4,2.7,2.1
完全失業率／令和５年(2023年)１～３月,2.6,2.9,2.2,2.7,3,2.4,2.6,2.8,2.3
