地域／分類コード／部門名,東京都地域／Ｋ01／農林水産業,東京都地域／Ｋ06／鉱業,東京都地域／Ｋ11／飲食料品,東京都地域／Ｋ15／繊維製品,東京都地域／Ｋ16／パルプ・紙・木製品,東京都地域／Ｋ20／化学製品,東京都地域／Ｋ21／石油・石炭製品,東京都地域／Ｋ22／プラスチック・ゴム,東京都地域／Ｋ25／窯業・土石製品,東京都地域／Ｋ26／鉄鋼,東京都地域／Ｋ27／非鉄金属,東京都地域／Ｋ28／金属製品,東京都地域／Ｋ29／はん用機械,東京都地域／Ｋ30／生産用機械,東京都地域／Ｋ31／業務用機械,東京都地域／Ｋ32／電子部品,東京都地域／Ｋ33／電気機械,東京都地域／Ｋ34／情報・通信機器,東京都地域／Ｋ35／輸送機械,東京都地域／Ｋ39／その他の製造工業製品,東京都地域／Ｋ41／建設,東京都地域／Ｋ46／電力・ガス・熱供給,東京都地域／Ｋ47／水道,東京都地域／Ｋ48／廃棄物処理,東京都地域／Ｋ51／商業,東京都地域／Ｋ53／金融・保険,東京都地域／Ｋ55／不動産,東京都地域／Ｋ57／運輸・郵便,東京都地域／Ｋ59／情報通信,東京都地域／Ｋ61／公務,東京都地域／Ｋ63／教育・研究,東京都地域／Ｋ64／医療・福祉,東京都地域／Ｋ65／その他の非営利団体サービス,東京都地域／Ｋ66／対事業所サービス,東京都地域／Ｋ67／対個人サービス,東京都地域／Ｋ68／事務用品,東京都地域／Ｋ69／分類不明,東京都地域／Ｌ10／本社,その他地域／Ｍ01／農林水産業,その他地域／Ｍ06／鉱業,その他地域／Ｍ11／飲食料品,その他地域／Ｍ15／繊維製品,その他地域／Ｍ16／パルプ・紙・木製品,その他地域／Ｍ20／化学製品,その他地域／Ｍ21／石油・石炭製品,その他地域／Ｍ22／プラスチック・ゴム,その他地域／Ｍ25／窯業・土石製品,その他地域／Ｍ26／鉄鋼,その他地域／Ｍ27／非鉄金属,その他地域／Ｍ28／金属製品,その他地域／Ｍ29／はん用機械,その他地域／Ｍ30／生産用機械,その他地域／Ｍ31／業務用機械,その他地域／Ｍ32／電子部品,その他地域／Ｍ33／電気機械,その他地域／Ｍ34／情報・通信機器,その他地域／Ｍ35／輸送機械,その他地域／Ｍ39／その他の製造工業製品,その他地域／Ｍ41／建設,その他地域／Ｍ46／電力・ガス・熱供給,その他地域／Ｍ47／水道,その他地域／Ｍ48／廃棄物処理,その他地域／Ｍ51／商業,その他地域／Ｍ53／金融・保険,その他地域／Ｍ55／不動産,その他地域／Ｍ57／運輸・郵便,その他地域／Ｍ59／情報通信,その他地域／Ｍ61／公務,その他地域／Ｍ63／教育・研究,その他地域／Ｍ64／医療・福祉,その他地域／Ｍ65／その他の非営利団体サービス,その他地域／Ｍ66／対事業所サービス,その他地域／Ｍ67／対個人サービス,その他地域／Ｍ68／事務用品,その他地域／Ｍ69／分類不明,その他地域／Ｎ10／本社,行和,感応度係数
東京都地域／Ａ01／農林水産業,1.006283,0.000014,0.00948,0.000329,0.001493,0.000122,0.000003,0.007271,0.000072,0.000009,0.000047,0.000008,0.000028,0.00003,0.000043,0.000038,0.000037,0.000047,0.000044,0.000538,0.000134,0.000017,0.000049,0.000031,0.000018,0.000014,0.000009,0.000018,0.000052,0.000027,0.000146,0.000257,0.000231,0.000026,0.002002,0.000109,0.000028,0.00001,0.000099,0.000004,0.000457,0.000011,0.000024,0.000013,0.000001,0.000036,0.000007,0.000005,0.000006,0.000005,0.000006,0.00001,0.000011,0.000008,0.00001,0.000011,0.000015,0.000062,0.000007,0.000004,0.000009,0.000004,0.000005,0.000006,0.000002,0.000005,0.000009,0.000004,0.000005,0.000016,0.00001,0.00001,0.00012,0.000038,0.000006,0.000002,1.030174,0.514034
東京都地域／Ａ06／鉱業,0.000011,1.000044,0.000025,0.000033,0.000033,0.000047,0.000427,0.000034,0.00026,0.000031,0.000784,0.000025,0.000028,0.000021,0.000032,0.000071,0.000024,0.000023,0.000033,0.000026,0.000027,0.002595,0.000087,0.000098,0.000022,0.000012,0.00001,0.000022,0.000015,0.000026,0.000034,0.000034,0.000012,0.000016,0.000055,0.000013,0.000028,0.000013,0.000003,0.00001,0.000003,0.000004,0.000009,0.000007,0.000006,0.000005,0.000257,-0.000006,0.000009,0.000003,0.000004,0.000003,0.000011,0.000019,0.000007,0.000008,0.000006,0.000008,0.000059,0.000004,0.000007,0.000002,0.000003,0.000003,0.000004,0.000003,0.000004,0.000003,0.000002,0.000003,0.000003,0.000003,0.000003,0.000009,0.000004,0.000001,1.005631,0.501787
東京都地域／Ａ11／飲食料品,0.00154,0.000024,1.020511,0.000184,0.000069,0.000535,0.000008,0.000083,0.000044,0.000014,0.000031,0.000012,0.000023,0.000024,0.000026,0.000034,0.000031,0.000034,0.000025,0.00033,0.000027,0.000019,0.000046,0.000022,0.000037,0.000029,0.000018,0.000057,0.000249,0.000098,0.000105,0.001298,0.000158,0.000083,0.014586,0.000081,0.000179,0.000019,0.00081,0.000013,0.004839,0.000063,0.000117,0.000228,0.000002,0.000076,0.000033,0.000009,0.000012,0.000011,0.000012,0.000013,0.000019,0.000019,0.000018,0.000018,0.000018,0.000054,0.000019,0.000009,0.000019,0.00001,0.000017,0.000015,0.000005,0.000015,0.000045,0.000018,0.000021,0.000246,0.000079,0.000017,0.002409,0.000063,0.00004,0.000007,1.050127,0.52399
東京都地域／Ａ15／繊維製品,0.000452,0.000337,0.000135,1.016791,0.000259,0.000099,0.000019,0.000296,0.000167,0.000065,0.000069,0.000083,0.000156,0.000151,0.000153,0.00046,0.000269,0.000209,0.000091,0.000274,0.000203,0.00006,0.000145,0.000261,0.000233,0.000173,0.000039,0.000156,0.000172,0.000235,0.000083,0.000327,0.000901,0.000211,0.000258,0.000757,0.000135,0.000071,0.000062,0.000056,0.000043,0.00098,0.000084,0.000032,0.000004,0.000052,0.000049,0.000024,0.000027,0.000035,0.000036,0.000037,0.000045,0.000074,0.000056,0.000053,0.000047,0.000062,0.00005,0.000019,0.000032,0.000033,0.000059,0.000036,0.000009,0.000036,0.000038,0.000046,0.000017,0.000039,0.00022,0.000045,0.000049,0.000198,0.000029,0.000017,1.027788,0.512843
東京都地域／Ａ16／パルプ・紙・木製品,0.001289,0.000442,0.001303,0.000729,1.017967,0.001539,0.000077,0.000474,0.001651,0.000213,0.000435,0.000353,0.000367,0.000306,0.000649,0.000813,0.000655,0.000744,0.000324,0.002854,0.004222,0.000456,0.000989,0.000752,0.00055,0.000552,0.000269,0.00062,0.000866,0.000428,0.000818,0.000991,0.00112,0.000554,0.000834,0.022393,0.000374,0.000425,0.000846,0.00018,0.000771,0.000402,0.007817,0.000646,0.000024,0.000421,0.000648,0.000139,0.000183,0.000232,0.000185,0.000175,0.00032,0.000359,0.000356,0.000318,0.000218,0.001264,0.000689,0.000136,0.000205,0.000167,0.000386,0.000237,0.000078,0.000224,0.000379,0.000147,0.000214,0.000282,0.000459,0.000198,0.000319,0.01034,0.000164,0.00013,1.100653,0.549202
東京都地域／Ａ20／化学製品,0.002968,0.001073,0.000866,0.003593,0.001524,1.016868,0.000607,0.007349,0.001631,0.000362,0.00038,0.000277,0.000428,0.00037,0.000876,0.001191,0.000801,0.000785,0.000799,0.001118,0.000376,0.000204,0.000821,0.001258,0.000075,0.000095,0.000042,0.000142,0.000264,0.000192,0.000413,0.00583,0.000218,0.0003,0.000473,0.001962,0.000767,0.000066,0.000809,0.000422,0.000464,0.001054,0.001561,0.003307,0.00008,0.001586,0.000697,0.0003,0.000354,0.000766,0.000401,0.000503,0.00084,0.0006,0.000681,0.000653,0.001059,0.002373,0.000644,0.000152,0.00038,0.000337,0.000125,0.000128,0.000061,0.000151,0.000319,0.000159,0.000223,0.001888,0.000283,0.000446,0.000468,0.002307,0.000424,0.000063,1.084431,0.541107
東京都地域／Ａ21／石油・石炭製品,0.000388,0.000575,0.000097,0.000106,0.000077,0.000112,1.001449,0.000063,0.000295,0.000135,0.000076,0.000063,0.000062,0.00005,0.000054,0.000077,0.000048,0.000045,0.000087,0.000069,0.000166,0.000859,0.0003,0.00028,0.000057,0.000034,0.000023,0.001068,0.000053,0.00016,0.000118,0.000094,0.000074,0.000062,0.000122,0.000042,0.000434,0.000032,0.000017,0.000027,0.000014,0.000017,0.000017,0.000044,0.000021,0.000018,0.000022,0.000039,0.000011,0.000019,0.000015,0.000014,0.000013,0.000014,0.000014,0.000013,0.000016,0.000018,0.000019,0.000034,0.000015,0.000013,0.000012,0.000008,0.000003,0.000048,0.000011,0.00001,0.000008,0.000011,0.00001,0.00001,0.000012,0.000019,0.000022,0.000006,1.008558,0.503248
東京都地域／Ａ22／プラスチック・ゴム,0.001445,0.000782,0.001672,0.001092,0.002255,0.001765,0.000127,1.008492,0.000689,0.00028,0.000609,0.000394,0.002449,0.002504,0.003788,0.002667,0.002817,0.003861,0.004382,0.004161,0.001155,0.000212,0.003348,0.003067,0.000282,0.000319,0.000133,0.000431,0.000659,0.000791,0.000461,0.000642,0.00085,0.000575,0.000464,0.005524,0.000991,0.000148,0.000335,0.000239,0.000507,0.000354,0.000573,0.000497,0.000027,0.003225,0.000302,0.00014,0.000253,0.000212,0.000382,0.000906,0.000872,0.000577,0.000838,0.0009,0.001477,0.00109,0.000403,0.000154,0.000723,0.000259,0.000228,0.0002,0.000072,0.000301,0.000257,0.000177,0.000178,0.000184,0.000288,0.000844,0.000203,0.001232,0.000276,0.000082,1.086047,0.541914
東京都地域／Ａ25／窯業・土石製品,0.000158,0.000074,0.000194,0.000096,0.000834,0.00081,0.000395,0.000241,1.011906,0.00023,0.000189,0.000322,0.000922,0.000584,0.00291,0.005293,0.001087,0.00076,0.001036,0.000305,0.003284,0.000214,0.000916,0.000142,0.000064,0.000053,0.000117,0.00011,0.000076,0.000113,0.000299,0.000189,0.000064,0.000073,0.000197,0.000708,0.000741,0.000046,0.000078,0.000056,0.000091,0.00006,0.000166,0.000164,0.00001,0.000154,0.001973,0.000168,0.000153,0.00014,0.00017,0.000135,0.000535,0.000616,0.000267,0.00026,0.000288,0.000143,0.001523,0.000086,0.000181,0.000041,0.000042,0.000031,0.000083,0.000051,0.000045,0.000061,0.000065,0.000054,0.000038,0.000083,0.000051,0.000199,0.000148,0.000017,1.044177,0.521021
東京都地域／Ａ26／鉄鋼,0.00006,0.000125,0.000096,0.000059,0.001365,0.000101,0.000016,0.000112,0.000174,1.008483,0.000056,0.006204,0.004147,0.003044,0.000886,0.000474,0.001475,0.000596,0.00174,0.000144,0.000872,0.000068,0.000163,0.000034,0.000035,0.000024,0.000036,0.000082,0.000041,0.000112,0.000043,0.000047,0.000031,0.000063,0.000049,0.000225,0.000416,0.000019,0.000058,0.000165,0.000103,0.000049,0.000368,0.000087,0.00001,0.000125,0.000204,0.004338,0.000072,0.004364,0.001985,0.001738,0.000653,0.000312,0.001033,0.000386,0.001471,0.000168,0.000651,0.000056,0.000096,0.000026,0.000048,0.000029,0.000041,0.000071,0.000045,0.000071,0.000031,0.000037,0.000045,0.000144,0.000046,0.000202,0.000211,0.000016,1.051276,0.524563
