項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,7846,-,1420,-,304,-,431,-
0,0,0,0,0,調査世帯数,760,-,606,-,103,-,24,-,27,-
0,0,0,0,0,世帯人員,3.06,-,3.06,-,2.97,-,2.86,-,3.46,-
0,0,0,0,0,有業人員,1.36,-,1.34,-,1.52,-,0.83,-,1.46,-
0,0,0,0,0,世帯主平均年齢,56.9,-,59.8,-,45.4,-,59.4,-,41.4,-
2,2,0,0,0,生計支出,375503,-,337751,-,517243,-,247470,-,686475,-
2,3,0,0,0,消費支出,339876,100,337751,100,351005,100,247470,100,407154,100
2,4,1,0,0,食料,81247,23.9,82847,24.5,74009,21.1,66091,26.7,86665,21.3
2,5,1,1,0,穀類,6454,1.9,6400,1.9,6599,1.9,5918,2.4,7354,1.8
2,6,1,1,1,米類,2367,0.7,2343,0.7,2399,0.7,2618,1.1,2527,0.6
2,6,1,1,2,パン,2491,0.7,2488,0.7,2527,0.7,1626,0.7,3049,0.7
2,6,1,1,3,めん類,1228,0.4,1222,0.4,1196,0.3,1311,0.5,1372,0.3
2,6,1,1,4,他の穀類,368,0.1,347,0.1,477,0.1,363,0.1,406,0.1
2,5,1,2,0,魚介類,5919,1.7,6318,1.9,4271,1.2,5234,2.1,4558,1.1
2,6,1,2,1,生鮮魚介,3676,1.1,3938,1.2,2542,0.7,3335,1.3,2871,0.7
2,6,1,2,2,塩干魚介,1008,0.3,1069,0.3,781,0.2,741,0.3,843,0.2
2,6,1,2,3,魚肉練製品,455,0.1,485,0.1,328,0.1,489,0.2,298,0.1
2,6,1,2,4,他の魚介加工品,780,0.2,825,0.2,621,0.2,668,0.3,546,0.1
2,5,1,3,0,肉類,6640,2,6941,2.1,5250,1.5,4689,1.9,7130,1.8
2,6,1,3,1,生鮮肉,5226,1.5,5473,1.6,4117,1.2,3550,1.4,5564,1.4
2,6,1,3,2,加工肉,1414,0.4,1468,0.4,1133,0.3,1139,0.5,1566,0.4
2,5,1,4,0,乳卵類,3829,1.1,3943,1.2,3263,0.9,3681,1.5,3726,0.9
2,6,1,4,1,牛乳,1457,0.4,1539,0.5,1128,0.3,1321,0.5,1146,0.3
2,6,1,4,2,乳製品,1721,0.5,1739,0.5,1542,0.4,1786,0.7,1928,0.5
2,6,1,4,3,卵,651,0.2,665,0.2,593,0.2,574,0.2,651,0.2
2,5,1,5,0,野菜・海藻,9937,2.9,10408,3.1,7675,2.2,9815,4,8909,2.2
2,6,1,5,1,生鮮野菜,6962,2,7258,2.1,5475,1.6,6733,2.7,6646,1.6
