項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,755,-,-,105,-,109,-,104,-,115,-,111,-,105,-,106,-
0,0,0,0,0,世帯人員,2.9,-,-,2.54,-,2.9,-,2.73,-,2.96,-,2.9,-,3.03,-,3.26,-
0,0,0,0,0,有業人員,1.26,-,-,1.06,-,1.26,-,1.26,-,1.29,-,1.35,-,1.22,-,1.39,-
0,0,0,0,0,世帯主平均年齢,59.7,-,-,65.1,-,60.5,-,61.3,-,59,-,57.2,-,58.8,-,56,-
2,2,0,0,0,生計支出,301474,-,-9.5,105648,-,166898,-,210412,-,248928,-,298546,-,381032,-,696747,-
2,3,0,0,0,消費支出,301474,100,-8.6,105648,100,166898,100,210412,100,248928,100,298546,100,381032,100,696747,100
2,4,1,0,0,食料,80926,26.8,1.5,50327,47.6,67227,40.3,70307,33.4,78301,31.5,84867,28.4,103588,27.2,111662,16
2,5,1,1,0,穀類,6153,2,-2.2,4566,4.3,5438,3.3,5840,2.8,6539,2.6,6441,2.2,6908,1.8,7327,1.1
2,6,1,1,1,米類,1844,0.6,-8.9,1482,1.4,1410,0.8,2149,1,2140,0.9,1776,0.6,1898,0.5,2049,0.3
2,6,1,1,2,パン,2567,0.9,-6.7,1957,1.9,2273,1.4,2234,1.1,2665,1.1,2928,1,2965,0.8,2946,0.4
2,6,1,1,3,麺類,1365,0.5,14.6,925,0.9,1325,0.8,1143,0.5,1400,0.6,1427,0.5,1607,0.4,1725,0.2
2,6,1,1,4,他の穀類,377,0.1,15.6,202,0.2,430,0.3,315,0.1,333,0.1,311,0.1,439,0.1,608,0.1
2,5,1,2,0,魚介類,6324,2.1,-3,4647,4.4,6305,3.8,5988,2.8,6174,2.5,6086,2,7738,2,7326,1.1
2,6,1,2,1,生鮮魚介,3846,1.3,-5.8,2887,2.7,3915,2.3,3713,1.8,3496,1.4,3647,1.2,4650,1.2,4613,0.7
2,6,1,2,2,塩干魚介,1097,0.4,-3.4,817,0.8,1100,0.7,1030,0.5,1254,0.5,1119,0.4,1074,0.3,1285,0.2
2,6,1,2,3,魚肉練製品,522,0.2,5,396,0.4,503,0.3,533,0.3,538,0.2,536,0.2,645,0.2,501,0.1
2,6,1,2,4,他の魚介加工品,859,0.3,6.6,546,0.5,787,0.5,713,0.3,885,0.4,785,0.3,1369,0.4,927,0.1
2,5,1,3,0,肉類,7089,2.4,-1.8,4257,4,6294,3.8,6440,3.1,7072,2.8,6961,2.3,9139,2.4,9446,1.4
2,6,1,3,1,生鮮肉,5698,1.9,-1.4,3297,3.1,5028,3,5286,2.5,5757,2.3,5427,1.8,7231,1.9,7851,1.1
2,6,1,3,2,加工肉,1390,0.5,-3.5,960,0.9,1265,0.8,1154,0.5,1315,0.5,1534,0.5,1907,0.5,1595,0.2
2,5,1,4,0,乳卵類,4230,1.4,5.4,3428,3.2,3799,2.3,3848,1.8,3853,1.5,4325,1.4,5200,1.4,5154,0.7
2,6,1,4,1,牛乳,1560,0.5,14.3,1502,1.4,1264,0.8,1566,0.7,1494,0.6,1436,0.5,1721,0.5,1932,0.3
2,6,1,4,2,乳製品,1914,0.6,1.3,1363,1.3,1787,1.1,1606,0.8,1595,0.6,2163,0.7,2520,0.7,2357,0.3
2,6,1,4,3,卵,757,0.3,-0.3,564,0.5,748,0.4,675,0.3,763,0.3,725,0.2,959,0.3,865,0.1
2,5,1,5,0,野菜・海藻,11108,3.7,-0.2,7771,7.4,10516,6.3,10571,5,11441,4.6,10705,3.6,13745,3.6,13000,1.9
2,6,1,5,1,生鮮野菜,8097,2.7,0.5,5707,5.4,7615,4.6,7797,3.7,8082,3.2,7596,2.5,10380,2.7,9499,1.4
2,6,1,5,2,乾物・海藻,733,0.2,5.5,363,0.3,768,0.5,659,0.3,931,0.4,666,0.2,835,0.2,907,0.1
2,6,1,5,3,大豆加工品,1117,0.4,-6.8,727,0.7,1168,0.7,1009,0.5,1257,0.5,1137,0.4,1279,0.3,1243,0.2
2,6,1,5,4,他の野菜・海藻加工品,1161,0.4,-2,975,0.9,965,0.6,1107,0.5,1170,0.5,1305,0.4,1252,0.3,1351,0.2
2,5,1,6,0,果物,3761,1.2,6.2,2775,2.6,3274,2,3694,1.8,3623,1.5,3727,1.2,4380,1.1,4848,0.7
2,6,1,6,1,生鮮果物,3475,1.2,5.2,2663,2.5,3059,1.8,3371,1.6,3323,1.3,3463,1.2,4127,1.1,4318,0.6
