項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1203,-,878,-,1665,-,1555,-,1328,-,1185,-,1293,-,893,-
0,0,0,0,0,調査世帯数,371,-,43,-,34,-,66,-,61,-,46,-,43,-,46,-,32,-
0,0,0,0,0,世帯人員,3.31,-,3.23,-,3.68,-,3.64,-,3.44,-,3.65,-,3.23,-,2.95,-,2.37,-
0,0,0,0,0,有業人員,1.64,-,1.71,-,1.37,-,1.38,-,1.57,-,1.66,-,1.73,-,2.1,-,1.57,-
0,0,0,0,0,世帯主平均年齢,49,-,31.2,-,36.9,-,41.9,-,46.8,-,51.6,-,56.9,-,61.7,-,69.4,-
1,0,0,0,0,受取,1529827,-,1166479,-,1337673,-,1678985,-,1645389,-,1940568,-,1927063,-,1343637,-,859998,-
1,1,0,0,0,実収入,989585,100,770483,100,931199,100,1162990,100,1061830,100,1227609,100,1339024,100,752696,100,418054,100
1,2,0,0,0,経常収入,969974,98,749072,97.2,910643,97.8,1130930,97.2,1049353,98.8,1196113,97.4,1320045,98.6,744348,98.9,413116,98.8
1,3,0,0,0,勤め先収入,934119,94.4,740598,96.1,899770,96.6,1118814,96.2,1026737,96.7,1177631,95.9,1315855,98.3,666933,88.6,240833,57.6
1,4,0,0,0,世帯主収入,827614,83.6,554042,71.9,835319,89.7,993900,85.5,960104,90.4,1126395,91.8,1148751,85.8,532749,70.8,204001,48.8
1,6,0,0,0,うち男,806844,81.5,550438,71.4,813043,87.3,960915,82.6,921438,86.8,1126395,91.8,1139151,85.1,501780,66.7,184587,44.2
1,5,0,0,0,定期収入,397586,40.2,308245,40,403646,43.3,461979,39.7,456758,43,481732,39.2,465774,34.8,316104,42,191142,45.7
1,5,0,0,0,臨時収入,1802,0.2,-,-,1171,0.1,3391,0.3,3506,0.3,1668,0.1,1802,0.1,1096,0.1,135,0
1,5,0,0,0,賞与,428226,43.3,245796,31.9,430502,46.2,528530,45.4,499840,47.1,642996,52.4,681175,50.9,215549,28.6,12724,3
1,4,0,0,0,世帯主の配偶者の収入,100028,10.1,186557,24.2,64451,6.9,124914,10.7,62918,5.9,51236,4.2,146692,11,113969,15.1,27126,6.5
1,6,0,0,0,うち女,91374,9.2,186557,24.2,64451,6.9,76630,6.6,58979,5.6,51236,4.2,146692,11,113969,15.1,27126,6.5
1,4,0,0,0,他の世帯員収入,6478,0.7,-,-,-,-,-,-,3716,0.3,-,-,20412,1.5,20215,2.7,9706,2.3
1,3,0,0,0,事業・内職収入,4045,0.4,-,-,2063,0.2,3031,0.3,3546,0.3,1190,0.1,2912,0.2,14472,1.9,4853,1.2
1,4,0,0,0,家賃収入,2180,0.2,-,-,-,-,-,-,-,-,-,-,1782,0.1,11870,1.6,4853,1.2
1,4,0,0,0,他の事業収入,1121,0.1,-,-,2063,0.2,3031,0.3,2438,0.2,-,-,471,0,-,-,-,-
1,4,0,0,0,内職収入,745,0.1,-,-,-,-,-,-,1108,0.1,1190,0.1,659,0,2602,0.3,-,-
1,3,0,0,0,他の経常収入,31809,3.2,8474,1.1,8811,0.9,9085,0.8,19070,1.8,17292,1.4,1278,0.1,62943,8.4,167431,40.1
1,4,0,0,0,財産収入,893,0.1,-,-,-,-,-,-,-,-,2081,0.2,1278,0.1,2848,0.4,1085,0.3
