年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成21年平均,2009,,44.6,23.4,30.1,34.1,37.9,42.3,48,55.8
nen,平成22年平均,2010,,49.3,26.4,33.4,39.5,43.7,47.3,53.5,59.8
nen,平成23年平均,2011,,48.1,26.2,33.2,38.8,42.2,45.3,50.7,59.6
nen,平成24年平均,2012,,48.8,28.4,33.4,38.7,41.7,46.3,51.7,60.4
nen,平成25年平均,2013,,48.2,26.6,34.1,38.5,41.6,46.4,51.1,58.5
nen,平成26年平均,2014,,47.2,26,31.7,37.5,41.9,45.8,49.2,57.9
nen,平成27年平均,2015,,45.4,23.7,29.6,34.2,37.7,42,47.8,57.8
tuki,平成27年1月,2015,1,46.4,20.4,26.5,31.8,36.6,41.3,47,62.5
tuki,平成27年2月,2015,2,44,23.3,24.6,33.1,34.3,39.3,45.3,58.2
tuki,平成27年3月,2015,3,45.3,24.2,30.3,32.4,39,42.5,47.5,57.8
tuki,平成27年4月,2015,4,52.4,22.4,28.9,35.8,36.5,42.9,49.5,71.4
tuki,平成27年5月,2015,5,49.1,22.8,32.7,34,41.1,41.9,50,64.6
tuki,平成27年6月,2015,6,43.8,27.5,33.3,36.2,36.5,41.7,45.3,53.1
tuki,平成27年7月,2015,7,44.6,26.6,30.3,33.5,34.8,44.2,48.6,55.9
tuki,平成27年8月,2015,8,43.9,25.4,28.8,34.8,38.7,43.1,48.3,53
tuki,平成27年9月,2015,9,44.6,23.8,29.4,32.1,38.2,43.7,47.6,56.1
tuki,平成27年10月,2015,10,44.5,23,30.3,34.8,39.8,43.4,50.6,52.1
tuki,平成27年11月,2015,11,44.6,22.5,32.8,33.6,39.4,43.2,49.1,53.5
tuki,平成27年12月,2015,12,40.2,22.7,27.1,33.3,37.8,41.2,45,46.8
tuki,平成28年1月,2016,1,43.7,21.3,24.7,32.1,33.8,40.5,49.5,57.2
,,,,,,,,,,,
東京都生計分析調査　平成28年1月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
選択的支出係数〔＝（選択的支出÷消費支出）×１００〕,,,,,,,,,,,
